Chembl_ID,UniprotID,Smiles_ID,Investigation,MOA,Toxicity,pIC50,Clue_MOA,Clinical_Phase
CHEMBL99999,Q14790,CC(C)C[C@H](NC(=O)COc1ccc(C2CCCC2)cc1)C(=O)N[C@H]1CC(=O)OC1O,,,,5.229147988357855,,
CHEMBL99995,P45452,Cc1cc(COc2ccc(S(=O)(=O)CC(C=C3CCC(=NO)CC3)N(O)C=O)cc2)c2ccccc2n1,,,,4.823908740944319,,
CHEMBL99989,P00797,CCCC[C@H](N[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)NCCCN)C(C)C,,,,8.022276394711152,,
CHEMBL99988,Q3ZCM7,COc1ccc(C(=O)c2cc(OC)c(OC)c(OC)c2)cc1N,,,,6.221848749616356,,
CHEMBL99981,P45452,CC(C)S(=O)(=O)N(C)C[C@H](C(=O)NO)[C@@H](CC1CCCC1)C(=O)N1CCCCC1,,,,7.397940008672037,,
CHEMBL99903,P00797,CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)NCCCN)C(C)C,,,,8.346787486224656,,
CHEMBL99889,P06737,O=C(N[C@@H](Cc1ccc(F)cc1)C(=O)N1CCC(O)CC1)c1cc2cc(Cl)ccc2[nH]1,,,,6.688246138944246,,
CHEMBL99889,P11217,O=C(N[C@@H](Cc1ccc(F)cc1)C(=O)N1CCC(O)CC1)c1cc2cc(Cl)ccc2[nH]1,,,,6.301029995663981,,
CHEMBL99858,P00797,CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)NCCNc1n[nH]c(N)n1)C(C)C,,,,8.958607314841775,,
CHEMBL99813,P00797,CCCC[C@H](N[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)NCCC(=O)OCc1ccccc1)C(C)C,,,,7.638272163982407,,
CHEMBL99803,P06493,O=C1Cc2c(n(CCO)c3ccc(Br)cc23)-c2ccccc2N1,,,,5.522878745280337,,
CHEMBL99782,P06493,CCC(CO)Nc1nc(NCc2ccccc2)c2nc(S)n(C(C)C)c2n1,,,,5.0,,
