Chembl_ID,Smiles_ID,Drug_Name,Clinical_Phase,MOA,UniprotID
CHEMBL1982660,COC1=CC2=NC=CC(=C2C=C1)NC(=O)NC3=CC=CC(=N3)C(F)(F)F,A-1070722,Preclinical,glycogen synthase kinase inhibitor,P49840
CHEMBL4857232,,AZD1080,Phase 1,glycogen synthase kinase inhibitor,P49840
CHEMBL4864281,,CHIR-98014,Preclinical,glycogen synthase kinase inhibitor,P49840
CHEMBL4863895,,CHIR-99021,Preclinical,glycogen synthase kinase inhibitor,P49840
CHEMBL4876058,,GSK-3-inhibitor-IX,Preclinical,glycogen synthase kinase inhibitor|lipoxygenase inhibitor,P49840
CHEMBL1276127,C1=CC=C2C(=C1)C(=C(N2)O)C3=NC4=CC=CC=C4C3=O,indirubin,Phase 2/Phase 3,CDK inhibitor|glycogen synthase kinase inhibitor,P49840
CHEMBL4858767,,SB-216763,Preclinical,glycogen synthase kinase inhibitor,P49840
CHEMBL4856562,,SB-415286,Preclinical,glycogen synthase kinase inhibitor,P49840
CHEMBL1982660,COC1=CC2=NC=CC(=C2C=C1)NC(=O)NC3=CC=CC(=N3)C(F)(F)F,A-1070722,Preclinical,glycogen synthase kinase inhibitor,P49841
CHEMBL4866975,,AR-A014418,Preclinical,glycogen synthase kinase inhibitor,P49841
CHEMBL4865739,,AT7867,Preclinical,AKT inhibitor,P49841
CHEMBL4857232,,AZD1080,Phase 1,glycogen synthase kinase inhibitor,P49841
CHEMBL4878168,,AZD2858,Preclinical,glycogen synthase kinase inhibitor,P49841
CHEMBL4847515,,bisindolylmaleimide-IX,Preclinical,PKC inhibitor,P49841
CHEMBL4867116,,BX-795,Preclinical,IKK inhibitor,P49841
CHEMBL3916849,C1CCN(C1)C(=O)NC2=CC=CC(=C2)NC3=NC=C(C(=N3)NCCC4=CN=CN4)Br,BX-912,Preclinical,pyruvate dehydrogenase kinase inhibitor,P49841
CHEMBL4877650,,CDK1-5-inhibitor,Preclinical,CDK inhibitor|glycogen synthase kinase inhibitor,P49841
CHEMBL4864281,,CHIR-98014,Preclinical,glycogen synthase kinase inhibitor,P49841
CHEMBL4863895,,CHIR-99021,Preclinical,glycogen synthase kinase inhibitor,P49841
CHEMBL6246,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,ellagic-acid,Phase 2,glutathione transferase inhibitor|non-nucleoside reverse transcriptase inhibitor,P49841
CHEMBL2107337,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)C6CCN(CC6)CC7=CC=CC=N7.Cl,enzastaurin,Phase 3,PKC inhibitor,P49841
CHEMBL4876058,,GSK-3-inhibitor-IX,Preclinical,glycogen synthase kinase inhibitor|lipoxygenase inhibitor,P49841
CHEMBL1496098,C1=CC=C2C(=C1)C(=C(N2)O)C3=C(C4=CC=CC=C4N3)N=O,indirubin-3-monoxime,Preclinical,CDK inhibitor|glycogen synthase kinase inhibitor,P49841
CHEMBL1459534,C1C2(COC3(O1)C4=CC=CC=C4NC3=O)COC5(C6=CC=CC=C6NC5=O)OC2,JW-67,Preclinical,WNT pathway inhibitor,P49841
CHEMBL4867858,,kenpaullone,Preclinical,CDK inhibitor|glycogen synthase kinase inhibitor,P49841
CHEMBL4864558,,LY2090314,Phase 2,glycogen synthase kinase inhibitor,P49841
CHEMBL4847722,,LY294002,Preclinical,DNA dependent protein kinase inhibitor|mTOR inhibitor|phosphodiesterase inhibitor|PI3K inhibitor|PLK inhibitor,P49841
CHEMBL4858681,,PD-98059,Preclinical,MEK inhibitor,P49841
CHEMBL4859598,,PF-573228,Preclinical,focal adhesion kinase inhibitor,P49841
CHEMBL3545083,COCCN1CCN(CC1)CC2=CC=C(C=C2)C3=NNC4=C3C(=O)C5=C4C=CC=C5NC(=O)NN6CCOCC6,RGB-286638,Phase 1,CDK inhibitor,P49841
CHEMBL4846403,,SB-202190,Preclinical,p38 MAPK inhibitor,P49841
CHEMBL4871888,,SB-203580,Preclinical,p38 MAPK inhibitor,P49841
CHEMBL4858767,,SB-216763,Preclinical,glycogen synthase kinase inhibitor,P49841
CHEMBL4856562,,SB-415286,Preclinical,glycogen synthase kinase inhibitor,P49841
CHEMBL600910,CCOC(=O)C1=CC=C(C=C1)NC(=O)C2=NN3C=CC=CC3=C2,TCS-2002,Preclinical,glycogen synthase kinase inhibitor,P49841
CHEMBL3545157,C1=CC=C(C=C1)CN2C(=O)N(SC2=O)C3=CC=CC4=CC=CC=C43,tideglusib,Phase 2,glycogen synthase kinase inhibitor,P49841
CHEMBL4872912,,TWS-119,Preclinical,glycogen synthase kinase inhibitor,P49841
CHEMBL4868542,,U-0126,Preclinical,MEK inhibitor,P49841
CHEMBL4874931,,1-azakenpaullone,Preclinical,glycogen synthase kinase inhibitor,P49841
CHEMBL177820,C1(=C(C2=NNN=C2C(=C1Br)Br)Br)Br,"4,5,6,7-tetrabromobenzotriazole",Preclinical,casein kinase inhibitor,P49841
