Drug_Name,CNS,Smiles_ID
Abacavir,False,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1.O=S(=O)(O)O
Abiraterone,False,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)C(c4cccnc4)=CC[C@@H]32)C1
Acamprosate,True,CC(=O)NCCCS(=O)(=O)O
Acarbose,False,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O
Acebutolol,False,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1
Acenocoumarol,False,CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O
Aceprometazine,False,CC(=O)c1ccc2c(c1)N(CC(C)N(C)C)c1ccccc1S2
Acetaminophen,True,CC(=O)Nc1ccc(O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)cc1
Acetazolamide,False,CC(=O)Nc1nnc(S([NH-])(=O)=O)s1.[Na+]
Acetohexamide,False,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
Acetohydroxamic Acid,False,CC(=O)NO
Acetophenazine,False,CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O
Acetyldigitoxin,False,CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O
Acitretin,False,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C
Aclidinium,False,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1.[Br-]
Acyclovir,False,Nc1nc([O-])c2ncn(COCCO)c2n1.[Na+]
Adapalene,False,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2
Adefovir Dipivoxil,False,CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C
Adenine,False,Nc1[nH]cnc2ncnc1-2
Adenosine,False,Nc1ncnc2c1ncn2C1O[C@H](CO)[C@@H](O)[C@H]1O
Adenosine monophosphate,False,Nc1ncnc2c1ncn2C1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
Adenosine triphosphate,False,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O.[Na+].[Na+]
Adinazolam,False,CN(C)Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2.CS(=O)(=O)O
Afatinib,False,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O
Ajmaline,False,CC[C@H]1C2CC3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H](C2C5O)N3[C@@H]1O
