Chemical_ID,Protein_ID,Combined_Score,Smiles_ID,UniprotID
54671203,ENSP00000315615,0.169611307,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,P24588
25880664,ENSP00000315615,0.104829211,a,P24588
27885548,ENSP00000315615,0.104829211,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)[O-])O)[O-])C(=O)N)[NH+](C)C)O,P24588
44272987,ENSP00000315615,0.100117786,C[C@H]([C@@H](C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC2=CNC=N2)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCCN)N)O,P24588
71464420,ENSP00000315615,0.100117786,C[C@@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC2=CN=CN2)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)O)NC(=O)[C@H](C)NC(=O)[C@H](C(C)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCCN)N,P24588
49869707,ENSP00000358737,0.077738516,CC(C)[C@@H](C(=O)N1CC2(CC2)C[C@H]1C3=NC=C(N3)C4=CC5=C(C=C4)C6=C(C5(F)F)C=C(C=C6)C7=CC8=C(C=C7)N=C(N8)[C@@H]9[C@@H]1CC[C@H](C1)N9C(=O)[C@H](C(C)C)NC(=O)OC)NC(=O)OC,P24539
67505836,ENSP00000358737,0.077738516,CC(C)[C@@H](C(=O)N1CC2(CC2)C[C@H]1C3=NC=C(N3)C4=CC5=C(C=C4)C6=C(C5(F)F)C=C(C=C6)C7=CC8=C(C=C7)N=C(N8)[C@@H]9[C@H]1CC[C@H](C1)N9C(=O)[C@H](C(C)C)NC(=O)OC)NC(=O)OC,P24539
54558800,ENSP00000358737,0.074204947,CC([C@@H](C(=O)[C@@H](CO)O)O)S,P24539
10453870,ENSP00000358737,0.067137809,C1=CC=C2C(=C1)C=C(S2)CC3=C(C=CC(=C3)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)F,P24539
16019988,ENSP00000358737,0.042402827,CCCCC/C=C\\C/C=C\\C/C=C\\C/C=C\\CCCC,P24539
53652941,ENSP00000358737,0.042402827,CCCCCC=CCC=CCC=CCC=CCCCC,P24539
22026445,ENSP00000358737,0.037691402,C(=O)=O.O,P24539
54199752,ENSP00000236957,0.345111896,C[C@H]([C@@H](C(=O)O)N)OC(=O)[C@H](CCSC)N,P24534
18222545,ENSP00000236957,0.34393404,CSCCC(C(=O)NC(CCCCN)C(=O)O)NC(=O)C(CCCCN)N,P24534
18219716,ENSP00000236957,0.283863369,C1=CC(=CC=C1CC(C(=O)NC(CCCCN)C(=O)O)NC(=O)C(CC(=O)O)N)O,P24534
10219643,ENSP00000236957,0.229681979,CC(=O)C1=CC2=C(C=C1)NC(=O)C2,P24534
25204058,ENSP00000236957,0.219081272,CC1=C[N+](=CN1CCCCC(C(=O)O)N)CCCCC(C(=O)O)N,P24534
46878528,ENSP00000236957,0.219081272,CC1=C[N+](=CN1CCCC[C@@H](C(=O)O)N)CCCC[C@@H](C(=O)O)N,P24534
57345923,ENSP00000236957,0.197879859,CN(CC1=C(C2=C(C=C1)OCO2)C(=O)O)CC3=CC=CC=C3C(=O)NCC4=CC=C(C=C4)OC,P24534
16132423,ENSP00000366416,1.0,CCC(C)C(C(=O)NC(C(C)CC)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)O)NC(=O)C(CC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC3=CN=CN3)NC(=O)C4CSSCC(C(=O)NC(C(=O)NC5CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N4)CC6=CC=CC=C6)CC7=CC=C(C=C7)O)C(C)C)NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC5=O)CO)CO)CC(C)C)CCSC)CC(=O)O)CCCCN)CCC(=O)O)CO)N,P24530
44284481,ENSP00000366416,0.997644287,CC[C@H](C)[C@@H](C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC3=CNC=N3)NC(=O)[C@@H]4CSSC[C@H](C(=O)N[C@@H](C(=O)N[C@H]5CSSC[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N4)CC6=CC=CC=C6)CC7=CC=C(C=C7)O)C(C)C)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@H](NC5=O)CO)CO)CC(C)C)CCSC)CC(=O)O)CCCCN)CCC(=O)O)CO)N,P24530
44284384,ENSP00000366416,0.996466431,a,P24530
16132429,ENSP00000366416,0.996466431,CCC(C)C(C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)O)NC(=O)C(C(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CCC(=O)N)NC(=O)C(CC3=CN=CN3)NC(=O)C4CSSCC(C(=O)NC(C(=O)NC5CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N4)CC6=CC=CC=C6)CC(=O)N)CC(C)C)NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC5=O)CC(=O)N)CC(=O)O)CCSC)C(C)O)CC(=O)O)CCC(=O)O)CCC(=O)O)C(C)O)N,P24530
56664647,ENSP00000366416,0.995288575,CC[C@H](C)[C@@H](C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC3=CNC=N3)NC(=O)[C@@H]4CSSC[C@H](C(=O)N[C@@H](C(=O)N[C@H]5CSSC[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N4)CC6=CC=C(C=C6)O)CC7=CC=C(C=C7)O)C(C)C)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@H](NC5=O)CC8=CC=CC=C8)[C@H](C)O)CCC9=CC=C(C=C9)O)CCCCN)CC(=O)O)CCCCN)CCC(=O)O)[C@@H](C)O)N,P24530
10603409,ENSP00000366416,0.955241461,CCCN(CCN1C[C@@H]([C@H]([C@@H]1C2=CC(=C(C=C2)OC)F)C(=O)O)C3=CC4=C(C=C3)OCO4)S(=O)(=O)CCCCl,P24530
10651488,ENSP00000366416,0.946996466,CCCN(CCN1C[C@@H]([C@H]([C@@H]1C2=CC(=C(C=C2)OC)F)C(=O)O)C3=CC4=C(C=C3)OCO4)S(=O)(=O)CCCC(F)(F)F,P24530
16004692,ENSP00000366416,0.939929329,CCCNS(=O)(=O)NC1=C(C(=NC=N1)OCCOC2=NC=C(C=N2)Br)C3=CC=C(C=C3)Br,P24530
45480163,ENSP00000360025,0.548881037,a,P24522
18424374,ENSP00000360025,0.301531213,C1CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],P24522
16755649,ENSP00000360025,0.143698469,CC(C)OC1=C(C=CC(=C1)OC)C2=N[C@@H]([C@@H](N2C(=O)N3CCNC(=O)C3)C4=CC=C(C=C4)Cl)C5=CC=C(C=C5)Cl,P24522
10474339,ENSP00000360025,0.126030624,C1=CC(=CC=C1C2=NN(C(=O)O2)CC3=C(C=CC(=C3)Cl)O)C(F)(F)F,P24522
57169553,ENSP00000360025,0.100117786,C1[C@H](O[C@H](C1O)CO)N2C=NC3=C2NC(=O)NC3=O,P24522
57089381,ENSP00000360025,0.094228504,C1[C@H](O[C@H](C1O)CO)N2C=CC(=O)NC2=O,P24522
10986305,ENSP00000360025,0.087161366,C1=NC(=O)NC(=C1C=O)N,P24522
11169314,ENSP00000377721,0.507656066,C[C@]12CCC/C(=C\\C=C3C[C@H](C[C@@H](C3)O)O)/[C@@H]1CC[C@@H]2[C@@H](CCCC(C)(C)O)CC#CC(C(F)(F)F)(C(F)(F)F)O,P24468
90667287,ENSP00000377721,0.507656066,[2H]C([2H])([2H])C(CCC[C@@H](CC#CC(C(F)(F)F)(C(F)(F)F)O)[C@H]1CC[C@@H]\\2[C@@]1(CCC/C2=C\\C=C3C[C@@H](C[C@H](C3)O)O)C)(C([2H])([2H])[2H])O,P24468
90667288,ENSP00000377721,0.478209658,[2H]C([2H])([2H])C(CCC[C@H](CC#CC(C(F)(F)F)(C(F)(F)F)O)[C@H]1CC[C@@H]\\2[C@@]1(CCC/C2=C\\C=C3C[C@@H](C[C@H](C3)O)O)C)(C([2H])([2H])[2H])O,P24468
16110314,ENSP00000377721,0.473498233,CC[C@H](CCC(C)(C)O)[C@H](C)[C@H]1CC[C@@H]\\2[C@@]1(CCC/C2=C\\C=C/3\\C[C@H](C[C@@H](C3=C)O)O)C,P24468
44420575,ENSP00000377721,0.473498233,CC[C@H](CCC(C)(C)O)[C@H](C)[C@H]1CCC\\2[C@@]1(CCC/C2=C\\C=C/3\\C[C@H](C[C@@H](C3=C)O)O)C,P24468
44420574,ENSP00000377721,0.473498233,C[C@H](CCC(C)(C)O)[C@H](C)[C@H]1CCC\\2[C@@]1(CCC/C2=C\\C=C/3\\C[C@H](C[C@@H](C3=C)O)O)C,P24468
60167573,ENSP00000377721,0.433451119,CCC(CC)(C1=CC(=C(C=C1)OC[C@H](C(C)(C)C)O)C)C2=CC(=C(C=C2)OCC(=O)NO)C,P24468
