TargetID,DrugID,Highest_Status,MOA,Smiles_ID,UniprotID
T71390,D07OAC,Investigative,Inhibitor,C1=NC(=C2C(=N1)N(N=C2Br)[C@H]3[C@@H]([C@@H]([C@H](O3)CN)O)O)N,P31213
T71390,D05XPT,Investigative,Inhibitor,CC1=C(C=CC(=C1)CC(=O)O)C(=O)C2=CC=C(C=C2)OC3=CC=CC=C3,P31213
T71390,D01AUS,Investigative,Inhibitor,C1=CC=C(C=C1)COC2=CC=C(C=C2)C(=O)C3=CC=C(C=C3)C(=O)O,P31213
T71390,D04AED,Investigative,Inhibitor,C1=CC=C(C=C1)C(C2=CC=CC=C2)OC3=CC=C(C=C3)C(=O)C4=CC=C(C=C4)C(=O)O,P31213
T71390,D0Z6BT,Investigative,Inhibitor,C1=CC=C(C=C1)COC2=CC=CC(=C2)C(=O)C3=CC=C(C=C3)C(=O)O,P31213
T71390,D05JGX,Investigative,Inhibitor,C1=CC=C(C=C1)CNC2=CC=C(C=C2)C(=O)C3=CC=C(C=C3)C(=O)O,P31213
T71390,D09XLZ,Investigative,Inhibitor,C1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)C(=O)C3=CC=C(C=C3)C(=O)O,P31213
T71390,D0W6HB,Investigative,Inhibitor,C1=CC=C(C=C1)OC2=CC=C(C=C2)C(=O)C3=CC=C(C=C3)C(=O)O,P31213
T71390,D0Q4GH,Investigative,Inhibitor,C1=CC=C(C=C1)OC2=CC=C(C=C2)C(=O)C3=CC=C(C=C3)/C=C/C(=O)O,P31213
T71390,D04LXR,Investigative,Inhibitor,C1=CC=C(C=C1)OC2=CC=C(C=C2)C(=O)C3=CC=C(C=C3)CCC(=O)O,P31213
T71390,D04GZD,Investigative,Inhibitor,C1=CC=C(C=C1)OC2=CC=C(C=C2)C(=O)C3=CC=C(C=C3)CC(=O)O,P31213
T71390,D07BHS,Investigative,Inhibitor,C1=CC=C(C=C1)OC2=CC=C(C=C2)C(=O)C3=C(C=C(C=C3)CC(=O)O)F,P31213
T71390,D07BQG,Investigative,Inhibitor,C1=CC(=CC=C1CC(=O)O)C(=O)C2=CC=C(C=C2)OC3=CC=C(C=C3)Br,P31213
T71390,D07ZNR,Investigative,Inhibitor,C1(=C(C(=C(C(=C1F)F)O)F)F)N=NC2=C(C(=C(C(=C2F)F)F)F)F,P31213
T71390,D0VR9L,Investigative,Inhibitor,C1(=C(C(=C(C(=C1F)F)O)F)F)N=NC2=C(C(=C(C(=C2F)F)O)F)F,P31213
T71390,D08IWD,Approved,Inhibitor,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)NC(C)(C)C)CC[C@@H]4[C@@]3(C=CC(=O)N4)C,P31213
T70309,D08SPJ,Investigative,Inhibitor,C1CC2=CC=CC=C2N3C1CC(=O)C=C3,P18405
T70309,D07KDB,Investigative,Inhibitor,CC1=C2CCC3=CC=CC=C3N2C=CC1=O,P18405
T70309,D09KZA,Investigative,Inhibitor,CN1CC(CCC1=O)C2=CC=C(C=C2)N=NC3=CC=CC=C3,P18405
T70309,D02ZRX,Investigative,Inhibitor,CN1CC(CCC1=O)C2=CC=CC=C2,P18405
T70309,D0M7OP,Investigative,Inhibitor,C[C@]12CCC(=O)N([C@@H]1CCC3=C2C=CC(=C3)Cl)C,P18405
T70309,D0JH9F,Investigative,Inhibitor,CN1CC(CCC1=O)C2=CC=C(C=C2)Cl,P18405
T70309,D0H7NB,Investigative,Inhibitor,CN1CC(CCC1=S)C2=CC=C(C=C2)Cl,P18405
T70309,D00IFJ,Investigative,Inhibitor,C1CC2=CC(=O)CCN2C3=CC=CC=C31,P18405
T70309,D0P9EL,Discontinued in Phase 1,Inhibitor,CC1=CC2=C(C=C1)N3CCC(=O)C(=C3CC2)C,P18405
T70309,D0C1SI,Discontinued in Phase 2,Inhibitor,CC1CC2C(CCC(=O)N2C)(C3C1C4CCC(C4(CC3)C)C(C)CCCC(C)C)C,P18405
T70309,D01CJY,Phase 2,Inhibitor,,P18405
T70309,D0Z9UB,Terminated,Inhibitor,CN1[C@H]2CCC3=C([C@@H]2CCC1=O)C=CC(=C3)Cl,P18405
T91661,D00WHC,Investigative,Inhibitor,,P55263
T91661,D00RDY,Investigative,Inhibitor,C1=C(C2=C(N=CN=C2N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N)I,P55263
T91661,D0S2FW,Investigative,Inhibitor,C1=C(C2=C(N=CN=C2N1C3[C@@H]([C@@H]([C@H](O3)CO)O)O)N)I,P55263
T91661,D03SHX,Investigative,Inhibitor,C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=C(C3=C(N=CN=C32)N)I)O)O,P55263
T91661,D0K1YY,Investigative,Inhibitor,C1=CC=C(C=C1)CSC2=NC=NC3=C2N=CN3C4C(C(C(O4)CO)O)O,P55263
T91661,D0S9XV,Terminated,Inhibitor,C1[C@@H]([C@H]([C@H]([C@@H]1N2C=C(C3=C(N=CN=C32)N)I)O)O)N,P55263
T91661,D0JI1J,Terminated,Inhibitor,C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=C(C3=C(N=CN=C32)NC4=CC=CC=C4)C5=CC=CC=C5)O)O,P55263
T91661,D08LUT,Terminated,Inhibitor,C1COCCN1C2=NC=C(C=C2)C3=NC4=NC=NC(=C4C(=C3)C5=CC(=CC=C5)Br)N,P55263
T91661,D01GVC,Phase 1,Inhibitor,,P55263
T97071,D0Y6UB,Investigative,Inhibitor,C(CC(=O)O)C(CP(=O)(O)O)C(=O)O,Q04609
T97071,D0Z9BU,Investigative,.,,Q04609
T97071,D06LAX,Investigative,Inhibitor,,Q04609
T97071,D0IW9Q,Investigative,Modulator,,Q04609
T97071,D05UAO,Investigative,.,,Q04609
T97071,D0Z5UD,Investigative,Inhibitor,,Q04609
T97071,D0M1NS,Investigative,Modulator,,Q04609
T97071,D0K3GB,Investigative,Modulator,,Q04609
T97071,D06JOJ,Investigative,Inhibitor,C1=CC(=CC=C1C[C@@H](C(=O)O)NC(=O)N[C@@H](CCC(=O)O)C(=O)O)O,Q04609
T97071,D06DUE,Investigative,Inhibitor,C([C@@H](C(=O)O)N)N1C(=O)NC(=O)O1,Q04609
T97071,D0FU7Y,Investigative,Inhibitor,C(CC(=O)O)C(CC(=O)NO)C(=O)O,Q04609
T97071,D0ZJ9S,Investigative,Inhibitor,C(CC(CCC(=O)O)C(=O)O)CC(=O)NO,Q04609
T97071,D02CYQ,Investigative,Inhibitor,C(CC(=O)O)C(C(=O)NO)C(=O)O,Q04609
T97071,D05SNS,Investigative,Inhibitor,C(CC(=O)NO)C(CCC(=O)O)C(=O)O,Q04609
T97071,D0Y7AN,Investigative,Inhibitor,C(CC(CCC(=O)O)C(=O)O)CS,Q04609
T97071,D08CYU,Investigative,Inhibitor,C(CC(=O)O)C(C(=O)O)S,Q04609
T97071,D08TDE,Investigative,Inhibitor,C(CCS)CC(CCC(=O)O)C(=O)O,Q04609
T97071,D0Q2OH,Investigative,Inhibitor,CSCCCC(CCC(=O)O)C(=O)O,Q04609
T97071,D0Z0UQ,Investigative,Inhibitor,C(CCS)CC(=O)O,Q04609
T97071,D0E0HK,Investigative,Inhibitor,C(CC(=O)O)C(CS)C(=O)O,Q04609
T97071,D0Q3KD,Investigative,Inhibitor,C(CCC(CCC(=O)O)C(=O)O)CCS,Q04609
T97071,D0C2FS,Investigative,Inhibitor,C(CC(=O)O)C(CCS)C(=O)O,Q04609
T97071,D0A1FL,Investigative,Inhibitor,C(CC(=O)O)C(C(=O)O)P(=O)(O)O,Q04609
T97071,D0Z5VI,Investigative,Inhibitor,C(CC(=O)O)C(CCP(=O)(O)O)C(=O)O,Q04609
T97071,D0B9YO,Investigative,Inhibitor,C1=CC=C(C=C1)CC(CCCS)C(=O)O,Q04609
T97071,D05VWZ,Investigative,Inhibitor,C1=CC(=CC(=C1)C(=O)O)CC(CC(=O)O)C(=O)O,Q04609
T97071,D0C5JP,Investigative,Inhibitor,C1=CC(=CC(=C1)C(=O)O)CC(CP(=O)(O)O)C(=O)O,Q04609
T97071,D0X1DO,Investigative,Inhibitor,C1=CC(=CC(=C1)SC(CCCS)C(=O)O)C(=O)O,Q04609
T97071,D0ND1C,Investigative,Inhibitor,C1=CC(=CC(=C1)OC(CCCS)C(=O)O)C(=O)O,Q04609
T97071,D0E3OH,Investigative,Inhibitor,C1=CC(=CC(=C1)C#N)CC(CCCS)C(=O)O,Q04609
T97071,D0D8NM,Investigative,Inhibitor,C1=CC(=CC(=C1)C(=O)N)CC(CCCS)C(=O)O,Q04609
T97071,D0JX2S,Investigative,Inhibitor,C1=CC(=CC(=C1)C(=O)O)CC(CCCS)C(=O)N,Q04609
T97071,D03JFL,Investigative,Inhibitor,C1=CC=C(C(=C1)CC(CCCCCS)C(=O)O)C(=O)O,Q04609
T97071,D03RMT,Investigative,Inhibitor,C1=CC(=CC(=C1)C(=O)O)CC(CCCCS)C(=O)O,Q04609
T97071,D04VFS,Investigative,Inhibitor,C1=CC(=CC(=C1)C(=O)O)CC(CCS)C(=O)O,Q04609
T97071,D0T8ZL,Investigative,Inhibitor,C1=CC(=CC(=C1)C(=O)O)CC(CS)C(=O)O,Q04609
T97071,D04SZR,Investigative,Inhibitor,C1=CC(=CC=C1CC(CCCS)C(=O)O)C(=O)O,Q04609
T97071,D0F8TZ,Investigative,Inhibitor,C1=CC(=CC(=C1)C(=O)O)CC(CCCS)C(=O)O,Q04609
T97071,D0QA5U,Investigative,Inhibitor,C1=CC=C(C(=C1)CC(CCCS)C(=O)O)C(=O)O,Q04609
T97071,D0M8PM,Preclinical,Immunomodulator (Immunostimulant),,Q04609
T97071,D03ZHE,Discontinued in Phase 2,.,,Q04609
T97071,D0N6QB,Phase 1,.,,Q04609
T97071,D0H4IU,Phase 1,Inhibitor,C(CC(=O)O)C(CP(O)OO)C(=O)O,Q04609
T97071,D08JYV,Phase 1,.,,Q04609
T97071,D0O0JB,Phase 1,Modulator,,Q04609
T97071,D04UWG,Phase 1,.,,Q04609
T97071,D0TN7S,Phase 1,Modulator,,Q04609
T97071,D07KHR,Phase 1,.,,Q04609
T97071,D04KRV,Phase 1,Inhibitor,C1=CC(=CC=C1CNCCCC[C@@H](C(=O)O)NC(=O)N[C@@H](CCC(=O)O)C(=O)O)[123I],Q04609
T97071,D0F5KN,Phase 1,Modulator,,Q04609
T97071,D03JTL,Phase 1,Inhibitor,,Q04609
T97071,DY4X5W,Phase 1,.,,Q04609
T97071,DOY4E6,Phase 1,Inhibitor,,Q04609
T97071,DAS4D6,Phase 1,.,,Q04609
T97071,DM6CE2,Phase 1,.,,Q04609
T97071,D2Y9IG,Phase 1,Inhibitor,,Q04609
T97071,D48MDS,Phase 1,.,,Q04609
T97071,DH5S6Z,Phase 1,Inhibitor,,Q04609
T97071,DXV67Q,Phase 1,.,,Q04609
T97071,D0W7FC,Phase 1/2,.,,Q04609
T97071,D0RO2L,Phase 1/2,CAR-T-Cell-Therapy,,Q04609
T97071,D0VI8T,Phase 1/2,CAR-T-Cell-Therapy,,Q04609
T97071,D8UZM7,Phase 1/2,Inhibitor,,Q04609
T97071,DP6J5K,Phase 1/2,.,,Q04609
T97071,D1CZ8K,Phase 1/2,Agonist,,Q04609
T97071,D06URI,Phase 2,Modulator,,Q04609
T97071,D0H5ER,Phase 2,.,,Q04609
T97071,D08FTP,Phase 2,Modulator,,Q04609
T97071,D05MOZ,Phase 2,Inhibitor,,Q04609
T97071,D02EEK,Phase 2,Modulator,,Q04609
T97071,DGQW52,Phase 3,.,,Q04609
T97071,DSM5X9,Phase 3,Agonist,,Q04609
T97071,D09PGL,Approved,.,,Q04609
T97071,DBG46D,Approved,Binder,,Q04609
