SwissProt_Accessions,geneName,DISGENET_Score,Standard_Score,Pubpular_Score,CTD_Score,DH_Score,DP_Score,DC_Score,HP_Score,HC_Score,PC_Score,CTD_Marker,Edager_Marker,BIONDA_Marker,Dis_2_Marker
P22303,ACHE,0.813741472,0.890271618,0.83132346,0.861047357,1.320249169,1.314975109,1.317421561,1.336585898,1.363859996,1.333766162,1,0,0,1
P02649,APOE,0.947873619,1,1,0.795017477,1.455014167,1.455014167,1.30943042,1.5,1.316760482,1.316760482,1,0,1,1
P05067,APP,0.992683335,0.939335097,0.996289774,1,1.446484091,1.493204417,1.493745337,1.447006215,1.447548336,1.496830686,1,1,0,1
P56817,BACE1,0.846360025,0.829495221,0.877627773,0.799833282,1.330811723,1.349169193,1.303111531,1.33362453,1.301791367,1.305937509,1,0,0,1
P06276,BCHE,0.820686204,0.85270711,0.840292761,0.729264887,1.323165946,1.32214264,1.233268014,1.341314896,1.235810033,1.234759277,1,0,0,1
P23560,BDNF,0.897566842,0.576367205,0.66012363,0.869226288,1.082874348,1.171058927,1.372054095,1.070347985,1.079545795,1.167994725,1,0,0,1
P10636,MAPT,0.947850005,0.850884029,0.886941355,0.740226053,1.361248374,1.39392221,1.257067833,1.354241264,1.246377422,1.249826659,1,0,0,1
P49768,PSEN1,0.910926231,0.91805477,0.92567715,0.719730505,1.411734519,1.412622471,1.232419567,1.41894263,1.233266985,1.234199153,1,1,0,1
P49810,PSEN2,0.759174736,0.708481816,0.86640177,0.578163049,1.209404778,1.266145747,1.072960394,1.216537333,1.071702604,1.081191091,1,1,0,1
P37840,SNCA,0.688319266,0.200106492,0.725212472,0.797329532,0.55563954,1.188310368,1.190940065,0.56138596,0.575331999,1.227778027,0,0,0,1
P04217,A1BG,,,0.435642762,0.554392484,,,,,,0.91020374,0,0,0,0
Q9NQ94,A1CF,0.590371048,,,0.205993424,,,0.556886216,,,,0,0,0,0
P01023,A2M,0.731986182,0.415664876,0.629563595,0.564723904,0.878929233,1.127582778,1.057145533,0.877909763,0.882685357,1.058753843,1,1,0,0
Q9NPC4,A4GALT,,,0.28082351,0.477880599,,,,,,0.695696262,0,0,0,0
Q86V21,AACS,,,0.546354027,0.540181818,,,,,,1.03925111,0,0,0,0
Q8N5Z0,AADAT,,0.017390686,0.527381037,0.16881638,,,,0.11042486,0.018076294,0.483915368,0,0,0,0
Q6PD74,AAGAB,,,0.419535623,0.450570992,,,,,,0.909831892,0,0,0,0
Q2M2I8,AAK1,0.454192126,,0.503342655,0.499252102,,0.942471402,0.943304098,,,0.998412407,0,0,0,0
Q9H7C9,AAMDC,,,0.594778971,0.475414461,,,,,,0.95622924,0,0,0,0
Q13685,AAMP,,,0.538267975,0.43505402,,,,,,0.911677294,0,0,0,0
Q16613,AANAT,,,0.374081301,0.421824387,,,,,,0.855536437,0,0,0,0
Q5JTZ9,AARS2,,,0.527643984,0.333975934,,,,,,0.771872139,0,0,0,0
Q9NRN7,AASDHPPT,,,0.419274769,0.439327208,,,,,,0.912786683,0,0,0,0
Q9NY61,AATF,0.613548087,0.11805037,0.515530514,0.300452477,0.386889258,1.003153945,0.714777205,0.373183458,0.401062919,0.721611215,0,0,0,0
P80404,ABAT,,0.068357702,0.475782737,0.535656961,,,,0.242624172,0.25495029,0.963861229,0,0,0,0
O95477,ABCA1,0.691904078,0.338215574,0.59837883,0.727723581,0.772276826,1.093887317,1.191972381,0.771880054,0.774583579,1.094081758,0,0,0,0
Q9BZC7,ABCA2,0.595288596,0.2520417,0.626748017,0.346339435,0.637221705,1.092814948,0.783867967,0.637892266,0.687758967,0.782781146,0,0,0,0
P78363,ABCA4,0.636331545,,0.40348094,0.372378842,,0.861560152,0.819324139,,,0.859583913,0,0,0,0
Q8WWZ7,ABCA5,,,0.530434766,0.481467554,,,,,,0.971733383,0,0,0,0
Q8IZY2,ABCA7,0.731655574,0.375963898,0.783047069,0.428768995,0.826735363,1.233360293,0.895647808,0.831146081,0.855967395,0.899183236,1,0,0,0
O94911,ABCA8,0.444153607,,,0.360292955,,,0.82850995,,,,0,0,0,0
P08183,ABCB1,0.701555384,0.200353889,0.352384157,0.7357797,0.558007156,0.792704584,1.201830657,0.581879726,0.563633894,0.794945195,0,0,0,0
