SwissProt_Accessions,geneName,DISGENET_Score,Standard_Score,Pubpular_Score,CTD_Score,DH_Score,DP_Score,DC_Score,HP_Score,HC_Score,PC_Score,CTD_Marker,Edager_Marker,BIONDA_Marker,Dis_2_Marker
Q96Q42,ALS2,0.506818604,0.707366784,0.791251949,0.505306201,0.990299181,0.994093971,1.005005784,1.209729074,0.988515439,0.992332211,0,1,1,1
Q96LT7,C9orf72,0.920539406,,0.929427204,0.383956193,,1.421586151,0.861390836,,,0.863017931,1,1,1,1
P35637,FUS,0.904661567,0.834447326,0.886117179,0.695507249,1.341005937,1.388066938,1.207660137,1.339047301,1.200762655,1.205595034,1,1,1,1
P42858,HTT,0.489861009,0.295489821,0.571925907,0.632505229,0.717669316,0.976241583,0.971315221,0.70836052,0.707201026,1.06665019,0,0,0,1
Q96CV9,OPTN,0.879178596,0.543992653,0.751347288,0.613853701,1.045047512,1.259826604,1.12085709,1.034478163,1.03625843,1.111385597,1,1,1,1
P37840,SNCA,0.621758428,,0.529579022,0.824200961,,1.019055711,1.123980727,,,1.023002969,0,0,1,1
P00441,SOD1,1,0.777007305,1,1,1.299770395,1.5,1.5,1.299770395,1.299770395,1.5,1,1,1,1
Q13148,TARDBP,0.888287745,0.942036864,0.967401194,0.659315787,1.394397481,1.397698438,1.169183483,1.445326062,1.175835622,1.179438895,1,1,1,1
Q9UHD9,UBQLN2,0.6539549,0.614580078,0.772686153,0.375750823,1.112319175,1.154472035,0.823807998,1.11304449,0.824638826,0.829820519,0,1,1,1
P55072,VCP,0.837195969,0.536678974,0.740803865,0.549536244,1.032267204,1.245806306,1.046685918,1.025755092,1.034737755,1.040355339,0,1,1,1
P04217,A1BG,0.466533277,,0.337793779,0.463973466,,0.788984976,0.963308131,,,0.789601311,0,0,0,0
Q9NQ94,A1CF,0.543773748,,,0.532561514,,,1.030801667,,,,0,0,0,0
P01023,A2M,,,0.273870794,0.664061028,,,,,,0.674801502,0,0,0,0
A8K2U0,A2ML1,,,0.514329815,0.28857976,,,,,,0.702641123,0,0,0,0
Q9NPC4,A4GALT,,,0.285487127,0.527134078,,,,,,0.696040188,0,0,0,0
Q9NRG9,AAAS,,,0.535392465,0.360442435,,,,,,0.809824647,0,0,0,0
Q8N5Z0,AADAT,,,0.445404441,0.426838272,,,,,,0.921070198,0,0,0,0
Q6PD74,AAGAB,,,0.372536236,0.482590602,,,,,,0.836559155,0,0,0,0
Q2M2I8,AAK1,0.387484396,,0.531178416,0.508377998,,0.84872824,0.852509527,,,1.004269352,0,0,0,0
Q13685,AAMP,,,0.517613825,0.532286234,,,,,,1.015068175,0,0,0,0
