SwissProt_Accessions,geneName,DISGENET_Score,Standard_Score,Pubpular_Score,CTD_Score,DH_Score,DP_Score,DC_Score,HP_Score,HC_Score,PC_Score,CTD_Marker,Edager_Marker,BIONDA_Marker,Dis_2_Marker
P05067,APP,0.571699269,0.22552579,0.531845782,0.558802351,0.591570481,1.026236032,1.057184038,0.592695458,0.591700394,1.027847144,0,0,0,1
Q96LT7,C9orf72,0.753517235,,0.995645679,,,1.276699971,,,,,,0,1,1
Q9UQN3,CHMP2B,0.843317265,0.751665133,0.861374172,,1.256858874,1.344855705,,1.258426587,,,1,0,1,1
P35637,FUS,0.620266596,0.768054631,0.84950862,,1.118888465,1.124599594,,1.273174568,,,,0,1,1
P28799,GRN,1,1,0.96129778,0.195978635,1.5,1.466695577,0.622622163,1.466695577,0.622622163,0.611021007,1,1,1,1
P10636,MAPT,0.99094318,0.975241749,0.939928649,,1.477445698,1.446753824,,1.444547125,,,1,1,1,1
P37840,SNCA,0.578212894,0.108655246,0.611908511,,0.360040857,1.075040561,,0.36642718,,,,0,0,1
P00441,SOD1,0.647550217,,0.61202399,0.716040848,,1.109843192,1.146278881,,,1.108650314,0,0,0,1
Q13148,TARDBP,0.878197579,0.988681469,1,,1.391592191,1.393242422,,1.490316254,,,,0,0,1
P55072,VCP,0.670512874,0.789581383,0.879840307,0.198812145,1.172383625,1.179703605,0.550982325,1.296480422,0.571554444,0.592880635,0,0,1,1
P01023,A2M,,0.001349275,,0.305235523,,,,,-0.04759045,,0,0,0,0
P80404,ABAT,,,0.451427805,0.195978635,,,,,,0.5446979,0,0,0,0
O95477,ABCA1,,,0.284778511,0.138826285,,,,,,0.468170104,0,0,0,0
P00519,ABL1,0.59310232,,,0.205826081,,,0.556697997,,,,0,0,0,0
Q13085,ACACA,,,0.461096986,0.272228543,,,,,,0.684546977,0,0,0,0
P12821,ACE,0.587870463,0.002248129,0.040186398,,0.093340134,0.197410508,,-0.110966233,,,,0,1,0
P22303,ACHE,0.572211954,0.213292165,0.419903197,,0.569654305,0.887503085,,0.585869424,,,,0,0,0
P00813,ADA,0.566980097,,,0.193128886,,,0.532271828,,,,0,0,0,0
O95450,ADAMTS2,0.524649619,0.458225175,0.524820372,,0.94364985,1.024619946,,0.943620704,,,,0,0,0
Q9NS39,ADARB2,,0.220634792,0.588201015,,,,,0.583081278,,,,0,0,0
P18509,ADCYAP1,,,0.364380986,0.224954585,,,,,,0.627378793,0,0,0,0
O60242,ADGRB3,,0.093000872,,0.289005838,,,,,0.328191822,,0,0,0,0
Q9BV57,ADI1,,,0.49005813,0.242081144,,,,,,0.626571205,0,0,0,0
Q15848,ADIPOQ,,,0.087374899,0.586121304,,,,,,0.313111942,0,0,0,0
Q9H2P0,ADNP,,0.149684009,0.53530583,0.24337446,,,,0.444422147,0.527981401,0.624242064,0,0,0,0
Q9UKV8,AGO2,,,0.378230273,0.209987442,,,,,,0.591861215,0,0,0,0
O00468,AGRN,,0.195408886,0.426323644,0.212742462,,,,0.548243057,0.674045908,0.583212114,0,0,0,0
O00253,AGRP,,,0.440015745,0.371352766,,,,,,0.845844544,0,0,0,0
P02768,ALB,0.609310575,,0.06884115,0.474670031,,0.275530006,0.954161018,,,0.243773162,0,0,0,0
P04075,ALDOA,,,0.55065237,0.171218744,,,,,,0.489262435,0,0,0,0
Q5BKT4,ALG10,,0.047096689,,0.309776923,,,,,0.1579641,,0,0,0,0
Q86V81,ALYREF,0.376218071,,0.563634867,,,0.828921763,,,,,,0,0,0
Q9UKV5,AMFR,,,0.486085953,0.263622745,,,,,,0.66503253,0,0,0,0
P03950,ANG,,0.007082119,0.48309745,0.212742462,,,,0.058415575,-0.051632575,0.573187446,0,0,1,0
P15144,ANPEP,0.508441363,,,0.195978635,,,0.538555482,,,,0,0,0,0
P07355,ANXA2,,0.0036912,0.403990396,0.168223073,,,,0.009538482,-0.09078483,0.494759743,0,0,0,0
P08758,ANXA5,,,0.12674462,0.175678682,,,,,,0.536797163,0,0,0,0
P08133,ANXA6,,,0.439607909,0.215482302,,,,,,0.585623103,0,0,0,0
P27695,APEX1,0.545539985,,0.315328058,,,0.741340681,,,,,,0,0,0
P02654,APOC1,0.397658184,,0.429220513,0.216846583,,0.886448767,0.599193607,,,0.590594769,0,0,0,0
P02649,APOE,0.640565688,0.393141136,0.572838606,,0.847602736,1.067234446,,0.851449535,,,,0,1,0
P10275,AR,,,0.110176658,0.057633743,,,,,,0.362503837,0,0,0,0
Q9H1Y0,ATG5,,0.021795878,0.40811744,0.171218744,,,,0.079548113,0.049098412,0.500522205,0,0,0,0
O95352,ATG7,0.503209506,0.050690778,0.501607681,0.188823406,0.199266632,1.001281362,0.524782395,0.198841084,0.211954448,0.524876721,0,0,0,0
Q13315,ATM,,,0.220440804,0.15141632,,,,,,0.554674706,0,0,0,0
Q9NQ11,ATP13A2,,0.049251021,0.588244454,,,,,0.220898928,,,,0,0,0
Q9NTI2,ATP8A2,,,0.47680684,0.280687942,,,,,,0.695674178,0,0,0,0
Q99700,ATXN2,0.473047814,0.354996195,0.655065287,,0.813212024,0.949967113,,0.79496344,,,,0,0,0
P54252,ATXN3,,0.156823467,0.552667886,,,,,0.460231674,,,,0,0,0
P61769,B2M,,,0.164021966,0.184480324,,,,,,0.632741392,0,0,0,0
P56817,BACE1,,,0.519472042,0.198812145,,,,,,0.543472069,0,0,0,0
Q92934,BAD,,,0.222213746,0.135628334,,,,,,0.507825644,0,0,0,0
O95816,BAG2,,,0.511742212,0.226293158,,,,,,0.595530845,0,0,0,0
P06276,BCHE,0.598334177,0.225390232,0.476729603,0.130792512,0.591717276,0.957548339,0.411141618,0.597935359,0.490292578,0.401118162,0,0,0,0
P10415,BCL2,,,0.10052927,0.368348045,,,,,,0.330545217,0,0,0,0
Q16548,BCL2A1,,,0.341187438,0.200222869,,,,,,0.586598938,0,0,0,0
P23560,BDNF,,0.036777437,0.348741412,0.786669157,,,,0.120564724,0.267779264,0.794974268,0,0,1,0
Q14457,BECN1,,,0.24876038,0.132409683,,,,,,0.474743404,0,0,0,0
P12644,BMP4,,,0.277549201,0.178629906,,,,,,0.574758322,0,0,0,0
Q13873,BMPR2,,,0.363039172,0.219563965,,,,,,0.617165377,0,0,0,0
Q12981,BNIP1,0.270666749,,,0.261136341,,,0.753229531,,,,0,0,0,0
P38398,BRCA1,0.587870463,,0.100550038,0.165209247,,0.343662145,0.479680654,,,0.460840628,0,0,0,0
Q9UIR0,BTNL2,0.576968187,,0.575242226,,,1.075045991,,,,,,0,0,0
P01024,C3,,,0.138365461,0.287826052,,,,,,0.465121327,0,0,0,0
P13671,C6,,,0.310011383,0.340455888,,,,,,0.792138173,0,0,0,0
P07451,CA3,,,0.338974573,0.227628138,,,,,,0.644343639,0,0,0,0
P22748,CA4,,0.002539129,0.487383096,0.25486539,,,,0.045183803,-0.064454218,0.649615073,0,0,0,0
P05937,CALB1,,,0.39981186,0.220917108,,,,,,0.606575555,0,0,0,0
Q9UQM7,CAMK2A,0.376218071,,,0.679265257,,,0.824719301,,,,0,0,0,0
Q86X55,CARM1,0.460879028,,0.483567062,,,0.955236514,,,,,,0,0,0
P42575,CASP2,0.487550997,,,0.175678682,,,0.499110074,,,,0,0,0,0
P42574,CASP3,0.59310232,0.04483,0.232465773,0.310905822,0.211241699,0.603895476,0.731272588,0.160174933,0.148981005,0.669609261,0,0,0,0
Q03135,CAV1,,,0.295927367,0.15141632,,,,,,0.495246262,0,0,0,0
P35520,CBS,0.566980097,0.460860089,,,0.940914408,,,,,,,0,1,0
P06307,CCK,,,0.264368874,0.203032367,,,,,,0.640907842,0,0,0,0
P13500,CCL2,,,0.23232044,0.040451542,,,,,,0.139004267,0,0,0,0
P41002,CCNF,0.43424412,0.032202298,0.704991072,,0.123750206,0.901568885,,0.223265997,,,,0,0,0
P06493,CDK1,0.524649619,,,0.10927622,,,0.353638458,,,,0,0,0,0
