SwissProt_Accessions,geneName,DISGENET_Score,Standard_Score,Pubpular_Score,CTD_Score,DH_Score,DP_Score,DC_Score,HP_Score,HC_Score,PC_Score,CTD_Marker,Edager_Marker,BIONDA_Marker,Dis_2_Marker
P31749,AKT1,0.717759785,0.830112724,0.703873969,0.999332804,1.222610629,1.203910208,1.242593205,1.208802308,1.34931679,1.228940097,0,0,1,1
P01133,EGF,0.856935269,,0.539846859,0.951856746,,1.037868273,1.367288579,,,1.050548269,1,0,1,1
P00533,EGFR,1,1,0.804326809,0.977912057,1.5,1.325480046,1.481059553,1.325480046,1.481059553,1.322249144,1,0,1,1
O75874,IDH1,0.716447561,0.977222582,0.948893399,0.711918268,1.237961578,1.233973557,1.211940706,1.452657912,1.233508947,1.229511358,0,0,1,1
P16455,MGMT,0.845661009,0.986695251,1,0.958677872,1.361752977,1.363700389,1.357878985,1.488612184,1.462502768,1.46442114,1,0,1,1
P01106,MYC,0.870622078,0.201646133,0.594795446,0.926430185,0.594978224,1.099614351,1.376566675,0.549170021,0.609725175,1.106460027,1,0,1,1
O43490,PROM1,0.838218265,0.956820664,0.853088044,0.834668273,1.350799274,1.339436349,1.334942735,1.364427426,1.347530504,1.336160963,1,0,1,1
P60484,PTEN,0.913411794,0.988464655,0.842520235,0.860422035,1.423034001,1.349418268,1.365793505,1.359130271,1.37547344,1.344037833,0,1,1,1
P04637,TP53,0.87701199,0.952055002,0.687038843,0.992581848,1.385522299,1.196138629,1.391086768,1.205218677,1.457582096,1.211179201,0,0,1,1
P15692,VEGFA,0.868516415,0.706801845,0.675458006,0.956324562,1.215070961,1.183570648,1.378395751,1.175095718,1.225474331,1.19418227,1,0,1,1
P04217,A1BG,0.419343921,,0.422066857,0.467775716,,0.918417081,0.904955723,,,0.908599082,0,0,0,0
P01023,A2M,,,0.346256467,0.753532952,,,,,,0.78803734,0,0,0,0
P22760,AADAC,,,0.463295639,0.436745969,,,,,,0.929162377,0,0,0,0
Q9UDR5,AASS,,,0.576291563,0.588236724,,,,,,1.075010988,0,0,0,0
