SwissProt_Accessions,geneName,DISGENET_Score,Standard_Score,Pubpular_Score,CTD_Score,DH_Score,DP_Score,DC_Score,HP_Score,HC_Score,PC_Score,CTD_Marker,Edager_Marker,BIONDA_Marker,Dis_2_Marker
P31749,AKT1,0.707102375,,0.718955507,0.949797817,,1.207151598,1.224876209,,,1.236561029,0,0,0,1
P01133,EGF,0.672748066,,0.578156062,0.706410953,,1.071981421,1.172320256,,,1.071683918,0,0,0,1
P00533,EGFR,0.834429214,0.229072112,0.808801377,0.859338462,0.629257406,1.310587253,1.336484833,0.6239652,0.634740678,1.312647785,0,0,1,1
O75874,IDH1,0.880045564,,1,0.599501745,,1.394906538,1.105695862,,,1.122698842,1,1,1,1
P16455,MGMT,0.792555639,,0.981863922,0.920424933,,1.311770368,1.303706708,,,1.428306715,1,0,1,1
P01106,MYC,0.698885201,,0.634816338,0.910965083,,1.132882504,1.211771683,,,1.14656842,0,0,1,1
O43490,PROM1,0.661093846,0.268244694,0.837545772,0.750104631,0.665761728,1.166064067,1.160998758,0.688850991,0.674587679,1.254880718,0,0,0,1
P60484,PTEN,0.918218977,,0.804364348,0.806298432,,1.314555241,1.316367735,,,1.304482296,1,1,1,1
P04637,TP53,1,,0.728577637,0.994045756,,1.253258461,1.494911449,,,1.252341676,1,1,1,1
P15692,VEGFA,0.685986355,,0.680393242,0.912290512,,1.180295341,1.199017355,,,1.193386013,0,0,1,1
P04217,A1BG,,,0.43951632,0.369031726,,,,,,0.842632498,0,0,0,0
Q9NQ94,A1CF,0.579698645,,,0.457831893,,,0.935709587,,,,0,0,0,0
P01023,A2M,,,0.33018316,0.624208747,,,,,,0.759353068,0,0,0,0
Q9NPC4,A4GALT,,,0.38759586,0.366760221,,,,,,0.857647447,0,0,0,0
Q9UDR5,AASS,,,0.536503279,0.311795551,,,,,,0.736842357,0,0,0,0
Q9NY61,AATF,,,0.476714188,0.248759416,,,,,,0.640553163,0,0,0,0
P80404,ABAT,,,0.433174306,0.486039544,,,,,,0.918940253,0,0,0,0
O95477,ABCA1,0.63627253,,0.309711865,0.745338174,,0.728893815,1.13498568,,,0.735563211,0,0,0,0
Q9BZC7,ABCA2,,,0.524217302,0.494188494,,,,,,0.988353082,0,0,1,0
P78363,ABCA4,0.607985588,,0.310046369,0.374617281,,0.729530675,0.823363484,,,0.775644292,0,0,0,0
O94911,ABCA8,,,0.531431094,0.441740846,,,,,,0.921417032,0,0,0,0
P08183,ABCB1,0.684925411,0.208874454,0.492772125,0.919868951,0.570284459,0.973477131,1.198876024,0.564716332,0.618965752,0.992534412,0,0,0,0
P21439,ABCB4,0.551411702,,0.381792872,0.725317793,,0.838078887,1.042048201,,,0.834147455,0,0,0,0
Q2M3G0,ABCB5,,,0.402740016,0.636350537,,,,,,0.860572045,0,0,0,0
Q9NP58,ABCB6,0.577180764,,0.390756821,0.698137227,,0.847780637,1.070594048,,,0.844840121,0,0,0,0
O75027,ABCB7,,,0.386977881,0.242586227,,,,,,0.652605848,0,0,0,0
P33527,ABCC1,0.656638469,0.185178585,0.567789637,0.913779974,0.524893171,1.060903885,1.169427021,0.517176957,0.580672719,1.075654452,0,0,0,0
Q92887,ABCC2,,,0.386489696,0.878109499,,,,,,0.857407997,0,0,0,0
O15438,ABCC3,0.619427497,,0.57467861,0.768952131,,1.070554369,1.118036376,,,1.069575879,0,0,0,0
O15439,ABCC4,0.607985588,,0.5186231,0.807417862,,1.007216705,1.108069416,,,1.009021667,0,0,0,0
O15440,ABCC5,0.565738855,,0.582555175,0.723035075,,1.063791711,1.058083835,,,1.076711307,0,0,0,0
O95255,ABCC6,0.565738855,,0.425789618,0.596373959,,0.895959685,1.062415971,,,0.893075877,0,0,0,0
Q09428,ABCC8,,,0.273023528,0.399987669,,,,,,0.703109297,0,0,0,0
P33897,ABCD1,,,0.312096379,0.559322826,,,,,,0.735099499,0,0,0,0
Q9UBJ2,ABCD2,,,0.337105764,0.538517269,,,,,,0.775162253,0,0,0,0
P28288,ABCD3,,,0.490137604,0.624883765,,,,,,0.972059476,0,0,0,0
P61221,ABCE1,0.49520518,,0.3904765,0.22563932,,0.859228001,0.595993726,,,0.618876779,0,0,0,0
Q9UG63,ABCF2,,,0.456942415,0.496843878,,,,,,0.947311472,0,0,0,0
P45844,ABCG1,,,0.391668374,0.601422627,,,,,,0.847194983,0,0,0,0
Q9UNQ0,ABCG2,0.684925411,,0.561616707,0.835449227,,1.053323626,1.19018062,,,1.059936193,0,0,0,0
Q8N2K0,ABHD12,,,0.52456755,0.43218668,,,,,,0.910101336,0,0,0,0
O95870,ABHD16A,,,0.52528688,0.384086838,,,,,,0.844893156,0,0,0,0
P08910,ABHD2,,,0.518378792,0.638724362,,,,,,1.005008291,0,0,0,0
Q9BV23,ABHD6,,,0.49873621,0.487588908,,,,,,0.985170942,0,0,0,0
Q8IZP0,ABI1,,,0.43315663,0.337982689,,,,,,0.798298608,0,0,0,0
Q9NYB9,ABI2,,,0.455405704,0.620216098,,,,,,0.92946562,0,0,0,0
Q9P2A4,ABI3,,,0.472874656,0.462644824,,,,,,0.960027583,0,0,0,0
P00519,ABL1,,,0.335051931,0.715526849,,,,,,0.76920541,0,0,0,0
P42684,ABL2,,,0.494609023,0.477601222,,,,,,0.973735029,0,0,0,0
P16442,ABO,,,0.226176659,0.099015963,,,,,,0.386094989,0,0,0,0
Q12979,ABR,,,0.529005486,0.344023729,,,,,,0.786689318,0,0,0,0
P09110,ACAA1,,,0.428986836,0.477601222,,,,,,0.915376519,0,0,0,0
Q13085,ACACA,,,0.380432226,0.761753971,,,,,,0.835023715,0,0,0,0
O00763,ACACB,,,0.364438647,0.730375125,,,,,,0.81105969,0,0,0,0
Q709F0,ACAD11,,,0.536553997,0.537406732,,,,,,1.036418915,0,0,0,0
Q15027,ACAP1,,,0.513283323,0.369314143,,,,,,0.825955571,0,0,0,0
P24752,ACAT1,0.583512615,,0.441436621,0.698349387,,0.914457179,1.077584197,,,0.910508033,0,0,0,0
Q9BWD1,ACAT2,,,0.450668009,0.471069849,,,,,,0.945217755,0,0,0,0
Q9H3P7,ACBD3,,,0.474115383,0.229736912,,,,,,0.606417714,0,0,0,0
P12821,ACE,0.668373443,,,0.587300388,,,1.082182299,,,,0,0,0,0
P22303,ACHE,,,0.138008591,0.674969292,,,,,,0.439454647,0,0,0,0
Q16570,ACKR1,,,0.394783741,0.251555383,,,,,,0.666475128,0,0,1,0
P25106,ACKR3,0.669669532,,0.628026373,0.723098781,,1.126156843,1.169258192,,,1.125806754,0,0,0,0
P53396,ACLY,,,0.437070119,0.649122569,,,,,,0.905051108,0,0,0,0
Q8TDX5,ACMSD,,,0.587752693,0.034719558,,,,,,0.18300976,0,0,0,0
P21399,ACO1,,,0.428859418,0.569262777,,,,,,0.899594151,0,0,0,0
A6NK06,ACOD1,0.385871378,,0.419589085,0.274500891,,0.873129748,0.710933963,,,0.699235843,0,0,0,0
Q8WXI4,ACOT11,0.529530908,,,0.453712315,,,0.937096099,,,,0,0,0,0
O00154,ACOT7,0.607985588,,,0.574557576,,,1.071283158,,,,0,0,0,0
Q15067,ACOX1,,,0.375501776,0.512336416,,,,,,0.834938988,0,0,0,0
P24666,ACP1,,,0.297445342,0.336691086,,,,,,0.773306445,0,0,0,0
P15309,ACP3,0.594025798,,0.157700656,0.506862068,,0.465436714,0.994458154,,,0.460767292,0,0,0,0
P10323,ACR,,,0.169113706,0.077856729,,,,,,0.362205249,0,0,0,0
Q8NEB7,ACRBP,0.438631294,,0.539864199,0.252941127,,0.916092097,0.655925001,,,0.640494632,0,0,0,0
Q96GR2,ACSBG1,0.565738855,,,0.256597421,,,0.645345006,,,,0,0,0,0
P33121,ACSL1,0.537451912,,,0.570839464,,,1.032843921,,,,0,0,0,0
O95573,ACSL3,0.523124759,,,0.495519895,,,0.990160015,,,,0,0,0,0
O60488,ACSL4,0.611799557,,,0.607612167,,,1.107277698,,,,0,0,0,0
Q9ULC5,ACSL5,0.512978939,,0.483839313,0.580898534,,0.97773853,1.003033997,,,0.967910584,0,0,0,0
Q9NUB1,ACSS1,,,0.507205305,0.408754605,,,,,,0.881977549,0,0,0,0
Q9NR19,ACSS2,0.62231274,,0.51889414,0.679680062,,1.006523916,1.119840452,,,1.004430382,0,0,0,0
P68133,ACTA1,,,0.39449291,0.477243039,,,,,,0.868745382,0,0,0,0
P62736,ACTA2,,,0.348422978,0.822266625,,,,,,0.799139085,0,0,0,0
P60709,ACTB,0.672748066,,0.444455242,0.678760702,,0.914109239,1.172608585,,,0.914103852,0,0,0,0
Q562R1,ACTBL2,0.607985588,,,0.058834225,,,0.251080699,,,,0,0,0,0
P68032,ACTC1,0.523124759,,0.47031025,0.565460225,,0.959125215,1.016792853,,,0.952927611,0,0,0,0
P63261,ACTG1,0.63627253,,,0.43196994,,,0.898886258,,,,0,0,0,0
P63267,ACTG2,0.62231274,,0.422053572,0.512799831,,0.886594125,0.999336337,,,0.898787816,0,0,0,0
O96019,ACTL6A,0.456405054,,0.46873541,,,0.953145848,,,,,,0,0,0
Q9H568,ACTL8,,,0.611207158,0.164729498,,,,,,0.481095707,0,0,0,0
P12814,ACTN1,,,0.418035502,0.537128285,,,,,,0.889417628,0,0,0,0
O43707,ACTN4,0.62231274,,0.397330014,0.475804883,,0.85379927,0.954718555,,,0.873014712,0,0,0,0
P61163,ACTR1A,,,0.388276407,0.620216098,,,,,,0.841621218,0,0,0,0
P61160,ACTR2,0.573366795,,0.411153876,0.559068922,,0.875755057,1.057290091,,,0.877309632,0,0,0,0
P61158,ACTR3,,,0.523298468,0.613139263,,,,,,1.012318719,0,0,0,0
Q04771,ACVR1,0.780910318,,0.636513747,0.225122118,,1.136677278,0.612371154,,,0.593206857,1,0,0,0
P36896,ACVR1B,0.466918237,,,0.289970166,,,0.713134256,,,,0,0,0,0
P37023,ACVRL1,,,0.311424932,0.488957692,,,,,,0.743348053,0,0,0,0
P14621,ACYP2,0.537451912,,,0.357450656,,,0.805223389,,,,0,0,0,0
P00813,ADA,0.650599683,,0.331329947,0.700320466,,0.761052418,1.149434922,,,0.762914245,0,0,0,0
Q9NZK5,ADA2,0.64390047,,0.443693959,,,0.913631614,,,,,,0,0,0
O14672,ADAM10,0.63627253,,0.564775975,0.577749203,,1.058431282,1.072923963,,,1.063233481,0,0,0,0
O75078,ADAM11,,,0.4937397,0.353863351,,,,,,0.807110683,0,0,0,0
O43184,ADAM12,,,0.464955117,0.5827453,,,,,,0.944352066,0,0,0,0
Q13444,ADAM15,,,0.408641112,0.600357388,,,,,,0.870144363,0,0,0,0
P78536,ADAM17,0.63756862,,0.492021758,0.384086838,,0.973685018,0.835388263,,,0.850940081,0,0,0,0
Q9H013,ADAM19,,,0.570113037,0.685943425,,,,,,1.062820611,0,0,0,0
Q9P0K1,ADAM22,0.559039642,,0.724588901,0.494688644,,1.050618883,0.983681258,,,0.976310613,0,0,0,0
O75077,ADAM23,0.512978939,,0.666666232,0.453316225,,0.997698844,0.939488137,,,0.925291585,0,0,0,0
Q9BZ11,ADAM33,,,0.426225768,0.372398787,,,,,,0.851653559,0,0,0,0
P78325,ADAM8,,,0.544477028,0.572165463,,,,,,1.04078772,0,0,0,0
Q13443,ADAM9,0.577180764,,0.561759991,0.539208728,,1.059896453,1.034143746,,,1.036000614,0,0,0,0
Q9UHI8,ADAMTS1,0.565738855,,0.478091571,0.514031204,,0.962541596,1.006023347,,,0.970446455,0,0,0,0
Q76LX8,ADAMTS13,,,0.157129301,0.289575719,,,,,,0.513697916,0,0,0,0
Q8TE58,ADAMTS15,,,0.549356826,0.43348298,,,,,,0.908054148,0,0,0,0
O75173,ADAMTS4,,,0.454129041,0.581130166,,,,,,0.9308848,0,0,0,0
Q9UNA0,ADAMTS5,0.565738855,,0.434924401,0.526589454,,0.907893151,1.020821218,,,0.913345543,0,0,0,0
Q9UP79,ADAMTS8,0.452591084,,0.52718964,0.051423464,,0.936052658,0.189189502,,,0.207886105,0,0,0,0
Q9P2N4,ADAMTS9,,,0.416300543,0.574557576,,,,,,0.882491981,0,0,0,0
P82987,ADAMTSL3,,,0.528881664,0.076892612,,,,,,0.275290414,0,0,0,0
O75689,ADAP1,,,0.506612904,0.454305217,,,,,,0.941967622,0,0,0,0
P55265,ADAR,0.62231274,,0.470389973,0.430010342,,0.948039513,0.896944257,,,0.918489028,0,0,0,0
P78563,ADARB1,0.569552825,,0.58989745,0.209058273,,1.067317686,0.561917276,,,0.562420429,0,0,0,0
Q9NS39,ADARB2,0.438631294,,0.56017059,,,0.913356591,,,,,,0,0,0
Q08828,ADCY1,,,0.524366451,0.538378735,,,,,,1.022049397,0,0,0,0
Q96PN6,ADCY10,0.565738855,,0.504987705,0.09095911,,0.99524328,0.317124651,,,0.306717442,0,0,0,0
Q08462,ADCY2,0.438631294,,0.41002308,0.350832004,,0.900490554,0.816091548,,,0.82541784,0,0,0,0
O60266,ADCY3,,,0.333818985,0.488445321,,,,,,0.778161124,0,0,0,0
O43306,ADCY6,,,0.511151972,0.577749203,,,,,,1.001203914,0,0,0,0
P51828,ADCY7,,,0.474230635,0.520094146,,,,,,0.96454689,0,0,0,0
P40145,ADCY8,0.537451912,,0.576646896,0.360692118,,1.032172761,0.809909426,,,0.805758239,0,0,0,0
P18509,ADCYAP1,0.63627253,,0.415615043,0.40171787,,0.877611959,0.859210302,,,0.896643467,0,0,0,0
P41586,ADCYAP1R1,0.615613527,,0.487362316,0.349915008,,0.969267353,0.788179418,,,0.802560129,0,0,0,0
Q9UEY8,ADD3,,,0.597741727,0.671907806,,,,,,1.093519402,0,0,0,0
Q8N7X0,ADGB,0.410344351,,0.609102995,0.309991029,,0.871861149,0.761657306,,,0.729424637,0,0,0,0
Q96PE1,ADGRA2,,,0.507763394,0.075924568,,,,,,0.268694316,0,0,0,0
Q8IWK6,ADGRA3,,,0.510175142,0.459768777,,,,,,0.948224802,0,0,0,0
O14514,ADGRB1,0.410344351,,0.722446108,0.259751175,,0.871576085,0.676136904,,,0.657993745,0,0,0,0
O60241,ADGRB2,,,0.644312182,0.361568534,,,,,,0.804179264,0,0,0,0
O60242,ADGRB3,,,0.59762692,0.273235647,,,,,,0.672038094,0,0,0,0
Q9UHX3,ADGRE2,0.555225672,,0.543333786,0.111865278,,1.041625311,0.363589855,,,0.361948214,0,0,0,0
Q9BY15,ADGRE3,0.339443313,,0.550421062,0.360984616,,0.777284396,0.828467257,,,0.808730093,0,0,0,0
P48960,ADGRE5,0.526938729,,0.572022213,0.592543387,,1.020472309,1.018302702,,,1.06982265,0,0,0,0
Q5T601,ADGRF1,0.442445264,,0.549947269,0.086362169,,0.919598152,0.288259177,,,0.302990007,0,0,0,0
Q8IZF2,ADGRF5,,,0.541866263,0.229736912,,,,,,0.599762354,0,0,0,0
Q9Y653,ADGRG1,0.569552825,,0.575552989,0.552108913,,1.068847785,1.049834052,,,1.04913021,0,0,0,0
