SwissProt_Accessions,geneName,DISGENET_Score,Standard_Score,Pubpular_Score,CTD_Score,DH_Score,DP_Score,DC_Score,HP_Score,HC_Score,PC_Score,CTD_Marker,Edager_Marker,BIONDA_Marker,Dis_2_Marker
P35222,CTNNB1,0.953145816,0.486799931,0.621460482,0.844919787,0.990966789,1.138353568,1.356471864,0.968212323,0.975708001,1.125435282,1,1,1,1
P08151,GLI1,0.633397398,0.798174072,0.909523012,0.656851581,1.134396362,1.144914278,1.132270682,1.307742244,1.158833562,1.169124107,0,0,1,1
P10070,GLI2,0.615605796,0.578477256,0.599175926,0.666106914,1.075054913,1.097827273,1.112995444,1.07639834,1.072505557,1.095236854,0,0,1,1
P10071,GLI3,0.597814194,0.288035159,0.751488982,0.609324852,0.695651417,1.094117808,1.096826916,0.704510766,0.695508348,1.106535519,0,0,0,1
P01106,MYC,0.789530566,0.383421232,0.686725555,0.844381482,0.841655383,1.188885846,1.293218238,0.834662995,0.848428643,1.192743733,1,0,1,1
P04198,MYCN,0.783553301,0.654300172,0.886216275,0.781106996,1.155362705,1.291409516,1.281224605,1.163807267,1.155236315,1.289085106,1,0,1,1
Q13635,PTCH1,1,0.926160438,0.95694327,0.724658725,1.435973207,1.462913849,1.249439966,1.429992879,1.23909896,1.243126293,1,0,1,1
Q15465,SHH,0.622709093,1,1,0.567514321,1.146947408,1.146947408,1.062320723,1.5,1.088662575,1.088662575,0,0,1,1
Q9UMX1,SUFU,0.89196868,0.706678934,0.886485146,0.088568636,1.217367261,1.38704668,0.410903029,1.216777208,0.348021373,0.408879657,1,1,1,1
P04637,TP53,0.717281066,0.623970178,0.559989354,0.917133811,1.121432182,1.051557302,1.230743938,1.053767924,1.136039337,1.067594616,0,0,1,1
P01023,A2M,,,0.234175982,0.526164773,,,,,,0.608624689,0,0,0,0
O95477,ABCA1,,,0.28385567,0.739937805,,,,,,0.696893,0,0,0,0
O94911,ABCA8,,0.103924846,0.649116164,0.529530094,,,,0.364584936,0.341637077,1.017579703,0,0,0,0
P08183,ABCB1,0.487148177,0.046562442,0.389699607,0.875293944,0.183128567,0.859839506,0.979773601,0.161963884,0.325252535,0.861058989,0,0,1,0
P21439,ABCB4,,0.005677609,0.396718978,0.711755867,,,,0.01404534,0.162801729,0.853272357,0,0,0,0
P33527,ABCC1,0.491464123,,0.449805746,1,,0.939340061,1.004633961,,,0.956559276,0,0,1,0
O15438,ABCC3,0.560377698,,0.353566245,0.814985301,,0.796964587,1.056781684,,,0.80506469,0,0,0,0
Q09428,ABCC8,0.593366293,,0.360540963,0.323204123,,0.804366232,0.749863139,,,0.803260005,0,0,0,0
P33897,ABCD1,,,0.465099016,0.370905813,,,,,,0.838332238,0,0,0,0
Q9UNQ0,ABCG2,0.614522703,0.102248726,0.472192404,0.840804508,0.353019026,0.950745682,1.117718985,0.331839378,0.41775321,0.957984571,0,0,0,0
P00519,ABL1,,,0.272118882,0.783750452,,,,,,0.685299324,0,0,1,0
Q12979,ABR,0.049268681,,0.665556844,0.084637677,,0.24777933,0.380183431,,,0.327543433,0,0,0,0
P22303,ACHE,0.610074803,,0.219262517,0.503495873,,0.58145561,0.989108731,,,0.583301021,0,0,0,0
P25106,ACKR3,0.610074803,,,0.843193838,,,1.113207218,,,,0,0,0,0
P15309,ACP3,0.544097612,,,0.720310342,,,1.033658871,,,,0,0,0,0
P68133,ACTA1,,,0.249682292,0.632721778,,,,,,0.634256695,0,0,0,0
P60709,ACTB,0.626354889,,,0.650180172,,,1.125070071,,,,0,0,0,0
O96019,ACTL6A,,0.08832053,,0.100064803,,,,,0.550110387,,0,0,1,0
P00813,ADA,,,0.311264389,0.706538886,,,,,,0.734289358,0,0,0,0
P78536,ADAM17,,,0.303223446,0.306536577,,,,,,0.801037946,0,0,0,0
P78325,ADAM8,0.544097612,0.062819319,0.554963519,0.681238966,0.242730749,1.042539729,1.033527926,0.245589107,0.284321519,1.045871793,0,0,0,0
P55265,ADAR,,,0.434105098,0.709914933,,,,,,0.901534849,0,0,0,0
P78563,ADARB1,,,0.494961492,0.066989069,,,,,,0.242454236,0,0,0,0
Q08828,ADCY1,,,0.484355601,0.695651879,,,,,,0.963386719,0,0,0,0
P18509,ADCYAP1,,0.035346348,0.382818254,0.59837123,,,,0.121515252,0.188631443,0.835253727,0,0,0,0
Q8IZP9,ADGRG2,,0.094506192,0.644904152,0.501500242,,,,0.343353151,0.315142235,0.984750096,0,0,0,0
P25100,ADRA1D,,,0.305010135,0.333247281,,,,,,0.787845597,0,0,0,0
P18089,ADRA2B,0.593366293,,,0.134396561,,,0.417938621,,,,0,0,0,0
P07550,ADRB2,,0.011881491,,0.76192821,,,,,0.201512665,,0,0,0,0
P43652,AFM,0.544097612,,,0.3744775,,,0.828716273,,,,0,0,0,0
P02771,AFP,,0.146258894,0.313366213,0.597399781,,,,0.472727557,0.442862673,0.734863058,0,0,0,0
Q15109,AGER,,,0.301022528,0.436636333,,,,,,0.738832427,0,0,1,0
Q8N302,AGGF1,,,0.622826291,0.170248592,,,,,,0.493018471,0,0,0,0
