SwissProt_Accessions,geneName,DISGENET_Score,Standard_Score,Pubpular_Score,CTD_Score,DH_Score,DP_Score,DC_Score,HP_Score,HC_Score,PC_Score,CTD_Marker,Edager_Marker,BIONDA_Marker,Dis_2_Marker
P28906,CD34,0.576525482,0.448533003,0.540690673,,0.924237354,1.035927564,,0.928736632,,,,0,1,1
P21359,NF1,0.655501662,0.419708899,0.635013617,,0.882537363,1.134031708,,0.883016727,,,,0,1,1
P35240,NF2,1,1,1,,1.5,1.5,,1.5,,,1,1,1,1
P06401,PGR,0.788126605,0.598658694,0.676167683,0.907389688,1.096785016,1.178082252,1.298020061,1.094421348,1.10807149,1.188530991,1,0,0,1
Q12824,SMARCB1,0.834458525,0.398088185,0.763191309,0.654219851,0.865929555,1.267282628,1.158727688,0.858327292,0.854044301,1.154342768,0,0,1,1
Q969G3,SMARCE1,0.775825935,0.167346011,0.751255016,0.259731758,0.515401623,1.252163041,0.665375794,0.509827886,0.560577075,0.661711018,1,1,1,1
P61278,SST,0.650415765,0.496352976,0.509520888,0.169840348,0.978388022,0.994077668,0.495845089,0.993680185,0.486531655,0.486127308,0,0,0,1
P30874,SSTR2,0.563665967,0.216135455,0.666459898,,0.574767685,1.055974438,,0.580512333,,,,0,1,1
P04637,TP53,0.608347589,0.441937508,0.429439487,0.71863204,0.913106591,0.896992683,1.10472261,0.925546578,0.91170153,0.895919671,0,0,1,1
Q6Q0C0,TRAF7,0.568172777,0.289915042,0.822387558,,0.699745781,1.066010699,,0.717650854,,,,0,0,1
P01023,A2M,,,0.325655661,0.519968596,,,,,,0.760328622,0,0,0,0
Q6PD74,AAGAB,,,0.457649161,0.297167122,,,,,,0.727069654,0,0,0,0
P80404,ABAT,,,0.371359609,0.152231688,,,,,,0.465864758,0,0,0,0
Q9BZC7,ABCA2,0.470382554,,0.48887782,0.260993312,,0.965996633,0.663246808,,,0.660047068,0,0,0,0
P08183,ABCB1,0.619900381,0.056145687,0.288944287,0.714832026,0.248366817,0.69692916,1.117073868,0.195528901,0.281370775,0.701872999,0,0,0,0
P33527,ABCC1,0.566353688,,0.328554698,0.433811112,,0.759558671,0.906376089,,,0.783555856,0,0,0,0
Q92887,ABCC2,,,0.23508152,0.398212672,,,,,,0.634502453,0,0,0,0
O15438,ABCC3,,,0.296437633,0.441234628,,,,,,0.730038805,0,0,0,0
O15440,ABCC5,0.489775685,,0.43512111,0.147297392,,0.920663605,0.438409467,,,0.441766193,0,0,0,0
Q9UNQ0,ABCG2,,,0.301985796,0.065280391,,,,,,0.227898253,0,0,0,0
Q12979,ABR,,,0.536497496,0.26475523,,,,,,0.660813389,0,0,0,0
Q709F0,ACAD11,,,0.612679366,0.195670219,,,,,,0.539394502,0,0,0,0
P12821,ACE,,,0.023050268,0.478737925,,,,,,0.108750982,0,0,0,0
P22303,ACHE,,,0.296896547,0.350235308,,,,,,0.765283833,0,0,0,0
P25106,ACKR3,0.614814484,,0.480868404,0.169840348,,0.961398385,0.491330421,,,0.487368991,0,0,1,0
O00154,ACOT7,,,0.444399091,0.186735382,,,,,,0.526887464,0,0,0,0
P60709,ACTB,0.633710354,,0.317955999,0.484673159,,0.741221492,0.964961816,,,0.754438736,0,0,0,0
P12814,ACTN1,,,0.251799345,0.548734698,,,,,,0.637985856,0,0,0,0
P37023,ACVRL1,,,0.445004507,0.200066848,,,,,,0.554042776,0,0,0,0
P00813,ADA,,,0.2306578,0.148948654,,,,,,0.537600622,0,0,0,0
O14672,ADAM10,,,0.428794404,0.189734985,,,,,,0.535970428,0,0,0,0
