SwissProt_Accessions,geneName,DISGENET_Score,Standard_Score,Pubpular_Score,CTD_Score,DH_Score,DP_Score,DC_Score,HP_Score,HC_Score,PC_Score,CTD_Marker,Edager_Marker,BIONDA_Marker,Dis_2_Marker
P55087,AQP4,0.697327716,0.586690353,0.89147957,0.104692967,1.081081209,1.207995371,0.378510038,1.09328405,0.352732673,0.439606565,0,0,1,1
P01730,CD4,0.558443441,0.631536311,0.592959677,0.13557841,1.051556815,1.054504236,0.416173293,1.089971237,0.426396018,0.420342498,0,0,1,1
P01574,IFNB1,0.893238773,1,1,0.602959122,1.406745078,1.406745078,1.110912075,1.5,1.126334548,1.126334548,1,0,1,1
P22301,IL10,0.9112053,0.364695414,0.657894275,0.611832541,0.835073461,1.170396456,1.12252795,0.808551842,0.809311252,1.109211776,1,0,1,1
Q16552,IL17A,0.933749032,0.381852622,0.751923815,0.369771085,0.861168718,1.266564302,0.845824902,0.836084471,0.864445878,0.819941668,1,0,1,1
P01584,IL1B,0.920739818,0.35577647,0.488785937,0.596410494,0.82530529,0.98806764,1.107413163,0.810919514,0.797395435,0.97247077,,0,1,1
P05231,IL6,0.723395897,0.26049013,0.453349203,0.7608944,0.659258335,0.926101342,1.224281092,0.665879537,0.664261276,0.928024878,0,0,1,1
P02686,MBP,0.686408096,0.904515007,0.9400039,0.558356167,1.198521055,1.202951454,1.049640336,1.408654585,1.064113086,1.069072657,0,0,0,1
Q16653,MOG,0.636737456,0.84850065,0.927484922,,1.141800746,1.150678786,,1.356545282,,,,0,1,1
P01375,TNF,0.840046771,0.483490021,0.518685299,1,0.971275999,1.012124177,1.358555376,0.97625486,0.995550089,1.035240337,0,0,1,1
O15528,CYP27B1,0.700148566,0.221426441,0.62934975,0.477443552,0.593473223,1.12709411,0.955068749,0.586350237,0.590400502,0.956347,0,0,1,0
P01911,HLA-DRB1,0.983444447,0.297167936,0.803952791,0.683494211,0.761369691,1.322690471,1.206231986,0.725118294,0.711770379,1.186459559,1,0,1,0
P01589,IL2RA,0.990159008,0.35590501,0.642366413,,0.839849265,1.16562095,,0.796226166,,,1,0,1,0
P16871,IL7R,0.942932198,0.38647423,0.710037991,0.10267092,0.868725104,1.226857724,0.454560668,0.839599859,0.334307351,0.377907716,1,0,1,0
P19438,TNFRSF1A,1,0.340737255,0.579470252,0.608407934,0.822672495,1.101469829,1.132047762,0.776656302,0.775159739,1.076713395,1,0,1,0
Q6AWC8,,0.367370495,,,0.180682747,,,0.533159196,,,,0,0,0,0
P01023,A2M,0.428092589,,0.375976574,0.406220104,,0.856203217,0.898618713,,,0.86375815,0,0,0,0
Q9NPC4,A4GALT,,,0.294039443,0.172440112,,,,,,0.54891506,0,0,0,0
P22760,AADAC,0.432811578,,0.463617497,,,0.923914707,,,,,,0,1,0
Q8N5Z0,AADAT,,,0.542296377,0.13557841,,,,,,0.414680527,0,0,0,0
Q9Y312,AAR2,,,0.507289351,0.222174735,,,,,,0.588355889,0,0,0,0
P49588,AARS1,,,0.350913539,0.151844577,,,,,,0.471397475,0,0,0,0
Q5JTZ9,AARS2,,,0.49968031,0.210375636,,,,,,0.566924905,0,0,0,0
Q9NRN7,AASDHPPT,,,0.383029199,0.182308673,,,,,,0.531614032,0,0,0,0
Q9UDR5,AASS,,,0.511451445,0.12239363,,,,,,0.382896259,0,0,0,0
O95477,ABCA1,0.458739965,,0.246452085,0.486550175,,0.639731742,0.951842157,,,0.634885217,0,0,0,0
P78363,ABCA4,,,0.238022299,0.174103939,,,,,,0.596395007,0,0,0,0
Q8IZY2,ABCA7,0.520607375,,0.468363334,0.172440112,,0.95713125,0.491293492,,,0.4938596,0,0,0,0
P08183,ABCB1,0.64319688,,0.135963846,0.713650385,,0.429254391,1.141707524,,,0.444017064,0,0,0,0
Q9NP58,ABCB6,,,0.247470954,0.110691263,,,,,,0.409041884,0,0,0,0
Q9NP78,ABCB9,,0.056537866,0.544683832,0.151844577,,,,0.226494307,0.280785755,0.44945879,0,0,0,0
P33527,ABCC1,,,0.274238772,0.449408838,,,,,,0.690657702,0,0,0,0
Q92887,ABCC2,,,0.226759756,0.391181611,,,,,,0.620823692,0,0,0,0
O15440,ABCC5,,,0.318361658,0.083937687,,,,,,0.28911127,0,0,0,0
O95255,ABCC6,,,0.37996759,0.108703011,,,,,,0.351815221,0,0,0,0
O60706,ABCC9,,,0.474131859,0.11853532,,,,,,0.372074016,0,0,0,0
P33897,ABCD1,,,0.522911223,0.158842649,,,,,,0.463269462,0,0,0,0
Q9UBJ2,ABCD2,,,0.408266571,0.137422808,,,,,,0.421884108,0,0,0,0
O14678,ABCD4,,,0.488908906,0.190329016,,,,,,0.528788457,0,0,0,0
P61221,ABCE1,,,0.362574743,0.129987326,,,,,,0.412385774,0,0,0,0
Q9UG63,ABCF2,,,0.4735644,0.151844577,,,,,,0.448958081,0,0,0,0
P45844,ABCG1,,,0.232059237,0.079637753,,,,,,0.310069522,0,0,0,0
Q9UNQ0,ABCG2,,,0.179330706,0.552654923,,,,,,0.505357202,0,0,0,0
Q9H172,ABCG4,0.428665247,,,0.180682747,,,0.51690722,,,,0,0,0,0
Q9NUJ1,ABHD10,,,0.517904613,0.179049379,,,,,,0.504685531,0,0,0,0
Q9BUJ0,ABHD14A,,,0.580578954,0.177408501,,,,,,0.502886499,0,0,0,0
Q96IU4,ABHD14B,,,0.527356173,0.150073406,,,,,,0.444903815,0,0,0,0
Q9H3Z7,ABHD16B,,,0.607130226,0.256717171,,,,,,0.64509127,0,0,0,0
Q9BV23,ABHD6,0.444187944,,0.481891266,,,0.934251274,,,,,,0,0,0
Q9P2A4,ABI3,,,0.481324743,0.183927225,,,,,,0.516517485,0,0,0,0
P00519,ABL1,0.658321559,,0.082846198,0.453984416,,0.321554963,0.926253317,,,0.279556543,0,0,0,0
O14639,ABLIM1,,,0.459500135,0.110691263,,,,,,0.352530213,0,0,0,0
