SwissProt_Accessions,geneName,DISGENET_Score,Standard_Score,Pubpular_Score,CTD_Score,DH_Score,DP_Score,DC_Score,HP_Score,HC_Score,PC_Score,CTD_Marker,Edager_Marker,BIONDA_Marker,Dis_2_Marker
O00170,AIP,0.664473684,0.732037444,0.893151411,,1.164045459,1.175000936,,1.242495018,,,,0,1,1
P01286,GHRH,,0.587662651,0.888015868,0.409763207,,,,1.093917807,0.872594378,0.888309207,0,0,1,1
P05019,IGF1,0.81937799,0.656094938,0.814423405,0.185100421,1.159484568,1.31475636,0.555736856,1.159126062,0.524680829,0.554551365,0,0,1,1
O00255,MEN1,0.81444378,0.646389422,0.927279141,,1.149070986,1.325052424,,1.160620268,,,,0,0,1
P01189,POMC,0.644736842,0.870561617,0.910265016,0.206033978,1.152269178,1.156757168,0.560763396,1.374648423,0.601836788,0.612062431,0,0,1,1
P01236,PRL,0.865430622,1,1,0.891159622,1.381705684,1.381705684,1.367938039,1.5,1.404884267,1.404884267,1,0,0,1
P61278,SST,0.564838517,0.700487517,0.755975835,0.341600596,1.056857789,1.058080536,0.779073224,1.201292332,0.777522063,0.781829549,0,0,0,1
P35346,SSTR5,0.447368421,0.482922214,0.863250716,,0.938121152,0.930932263,,0.973310599,,,,0,0,1
O60806,TBX19,,0.306851842,0.79940892,,,,,0.738294619,,,,0,0,1
P20396,TRH,,0.730927542,0.823520311,0.337563845,,,,1.235104164,0.773925264,0.784591858,0,0,0,1
P49336,CDK8,0.529904306,,0.463067742,,,0.94889094,,,,,,0,0,0
P08183,ABCB1,,,0.207706434,0.124579432,,,,,,0.489248058,0,0,0,0
Q15027,ACAP1,,0.151266339,0.595987204,,,,,0.452798871,,,,0,0,0
P25106,ACKR3,0.608851675,,0.401925087,,,0.860629223,,,,,,0,1,0
O95994,AGR2,0.493421053,,0.425719922,,,0.90748715,,,,,,0,0,0
P30556,AGTR1,0.776315789,,0.243087644,,,0.639829275,,,,,,0,0,0
P35869,AHR,0.491381579,0.174338996,0.542071765,,0.496107948,0.982043564,,0.495248332,,,,0,0,0
P31749,AKT1,0.654904306,,0.370858485,,,0.817075183,,,,,,0,0,0
P25054,APC,0.253588517,,0.269650714,,,0.739913122,,,,,,0,0,0
P78540,ARG2,0.516746411,,0.583179852,,,1.007255236,,,,,,0,0,0
Q9HBZ2,ARNT2,,0.061255387,0.567716938,,,,,0.245109127,,,,0,0,0
P50553,ASCL1,0.493421053,,0.458893776,,,0.950520439,,,,,,0,0,0
Q9NR48,ASH1L,0.424641148,,0.545999015,,,0.896911448,,,,,,0,0,0
Q13535,ATR,0.631578947,,0.314477754,,,0.736018873,,,,,,0,0,0
P01185,AVP,,0.333547611,0.685428913,,,,,0.765304369,,,,0,1,0
P47901,AVPR1B,,0.247360744,0.7228413,,,,,0.63855926,,,,0,0,0
Q07812,BAX,,,0.307526246,0.533726938,,,,,,0.730495909,0,0,0,0
P23560,BDNF,,,0.172126069,0.178025538,,,,,,0.663162236,0,0,0,0
Q14457,BECN1,,,0.193648736,0.226544606,,,,,,0.654739077,0,0,0,0
O15392,BIRC5,,0.093633364,0.502114618,,,,,0.313038333,,,,0,0,0
O95972,BMP15,,0.013925594,0.47223882,,,,,0.076483869,,,,0,0,0
P12643,BMP2,,,0.225371383,0.27715217,,,,,,0.678400424,0,0,0,0
P12644,BMP4,,0.204999251,0.520772228,0.292066794,,,,0.55523351,0.624674129,0.707463557,0,0,0,0
P22004,BMP6,,,0.455826361,0.298392307,,,,,,0.729509319,0,0,0,0
P18075,BMP7,,,0.26238106,0.321254393,,,,,,0.720489413,0,0,0,0
P36894,BMPR1A,0.115430622,,0.476604537,,,0.364643664,,,,,,0,0,0
Q06187,BTK,,0.010205847,0.291643069,,,,,-0.008366195,,,,0,0,0
P01258,CALCA,,0.079687113,0.499504888,,,,,0.277061305,,,,0,0,0
Q13554,CAMK2B,,0.000617624,0.493680191,,,,,0.041809182,,,,0,0,0
P42574,CASP3,,,0.299069708,0,,,,,,-0.057571927,0,0,0,0
Q14790,CASP8,0.631578947,,0.263430589,,,0.656647309,,,,,,0,0,0
P41180,CASR,0.585526316,,0.459211683,,,0.936875858,,,,,,0,0,0
P06307,CCK,,0.027483905,0.453535795,0.327401182,,,,0.114206642,0.079858851,0.776258709,0,0,0,0
P14635,CCNB1,0.516746411,,0.492771716,,,0.98796623,,,,,,0,1,0
P24385,CCND1,0.631578947,,0.479657281,,,0.958946644,,,,,,0,0,0
Q9NZQ7,CD274,0.638157895,,0.304606007,,,0.721206056,,,,,,0,0,0
P16070,CD44,0.654904306,,0.312880671,,,0.733994798,,,,,,0,1,0
P30307,CDC25C,0.539473684,,0.363927774,,,0.814298135,,,,,,0,0,0
P12830,CDH1,,0.056446045,0.457098975,,,,,0.205108307,,,,0,0,0
Q9H251,CDH23,0.605263158,,0.492402877,,,0.976129419,,,,,,0,0,0
P46527,CDKN1B,1,0.244635007,0.672941445,,0.693176666,1.198231979,,0.628724844,,,,0,0,0
P42771,CDKN2A,,0.044243775,0.479871055,,,,,0.174333149,,,,0,0,0
P42773,CDKN2C,0.477272727,0.076014282,0.629227049,,0.263830873,0.95614374,,0.297944583,,,,0,0,0
P49716,CEBPD,,0.042254705,0.473017657,,,,,0.166501419,,,,0,0,0
P01215,CGA,,,0.684479181,0.339584227,,,,,,0.77388477,0,0,0,0
P10645,CHGA,0.562799043,0.27018341,0.706174852,,0.66809404,1.054594046,,0.672421569,,,,0,0,0
P05060,CHGB,,0.065601511,0.71561821,,,,,0.302259101,,,,0,0,0
O00533,CHL1,0.47069378,,0.492778207,,,0.965527896,,,,,,0,0,0
O94779,CNTN5,,0.22029139,0.649821094,,,,,0.585994054,,,,0,0,0
Q92905,COPS5,,0.049499179,0.552786104,,,,,0.210263853,,,,0,0,0
O00230,CORT,,0.062122301,0.56436991,,,,,0.246371236,,,,0,0,0
P06850,CRH,,0.573654078,0.844956778,,,,,1.074074558,,,,0,0,0
P34998,CRHR1,,0.043890847,0.607553439,,,,,0.213897542,,,,0,0,0
P04141,CSF2,0.654904306,,0.479239859,,,0.957550272,,,,,,0,0,0
P0DML3,CSH2,,0.001488039,0.579116798,,,,,0.086820142,,,,0,0,0
P0DML3,CSH2,,0.001488039,0.524251313,,,,,0.059765648,,,,0,0,0
P35222,CTNNB1,0.608851675,,0.532194532,0.156500176,,1.023018641,0.464749435,,,0.458608907,0,0,1,0
P48061,CXCL12,0.585526316,0.061007847,0.345542185,,0.249607424,0.783276547,,0.208388424,,,,0,0,0
P05108,CYP11A1,,0.045189117,0.462112729,0.87222683,,,,0.172518576,0.321261049,0.949837947,0,0,0,0
P04798,CYP1A1,,,0.232276889,0.05489129,,,,,,0.206799761,0,0,0,0
Q16678,CYP1B1,,,0.270725613,0.129556116,,,,,,0.450761737,0,0,0,0
P08684,CYP3A4,,,-2.22E-16,0.086455746,,,,,,-0.163878908,0,0,0,0
P20711,DDC,,0.029361285,0.463814269,,,,,0.123676424,,,,0,0,0
Q08345,DDR1,0.562799043,,0.540766395,,,1.037665355,,,,,,0,0,0
Q9UPY3,DICER1,0.315789474,,0.560050936,,,0.740716543,,,,,,0,0,0
Q9NR61,DLL4,0.539473684,,0.453635192,,,0.935436286,,,,,,0,1,0
P26358,DNMT1,0.608851675,,0.294936941,,,0.706293474,,,,,,0,1,0
P04053,DNTT,,0.00107769,0.298420462,,,,,-0.052268911,,,,0,0,0
P14416,DRD2,0.782894737,0.405054011,0.706680808,0.222022364,0.869070951,1.208608751,0.607802456,0.864020981,0.60714719,0.595336725,0,0,0,0
P35462,DRD3,,,0.366576048,0.308848029,,,,,,0.777276121,0,0,0,0
P01133,EGF,0.631578947,,0.456340817,,,0.930061713,,,,,,0,0,0
Q9UHF1,EGFL7,0.424641148,,0.57424459,,,0.893539257,,,,,,0,0,0
Q05215,EGR4,,0.03567127,0.569269124,,,,,0.178754762,,,,0,0,0
O95834,EML2,,0.240051147,0.63879581,,,,,0.618599638,,,,0,0,0
P09104,ENO2,,0.119798691,0.557177989,,,,,0.381642666,,,,0,0,0
P16422,EPCAM,0.674641148,,0.419091679,,,0.881651694,,,,,,0,0,0
P29323,EPHB2,0.585526316,,0.332785617,,,0.764543814,,,,,,0,0,0
P21860,ERBB3,,0.000136549,0.350511938,,,,,-0.031231815,,,,0,0,0
Q15303,ERBB4,,0.000257693,0.360538408,,,,,-0.025698649,,,,0,0,0
Q9NQ30,ESM1,,0.102166655,0.611949735,,,,,0.352279033,,,,0,1,0
P03372,ESR1,0.431220096,0.16766873,0.487517846,0.086455746,0.488269867,0.9160394,0.287915405,0.482397755,0.401085375,0.292898331,0,0,0,0
Q92731,ESR2,0.631578947,,0.454517177,,,0.927771361,,,,,,0,0,0
Q15910,EZH2,0.615430622,,0.369943061,,,0.816524313,,,,,,0,0,0
P25445,FAS,,,0.312632601,0.175656245,,,,,,0.545784557,0,0,0,0
P48023,FASLG,,,0.260573443,0.24221568,,,,,,0.725576781,0,0,0,0
P05230,FGF1,,0.062742375,0.266816056,,,,,0.22691488,,,,0,0,0
P09038,FGF2,0.631578947,0.130996797,0.562307658,,0.417117545,1.05591579,,0.406754817,,,,0,0,0
P08620,FGF4,0.424641148,0.015839037,0.582897828,,0.063986407,0.892702449,,0.129673379,,,,0,0,0
P21802,FGFR2,0.562799043,,0.469216993,,,0.951888372,,,,,,0,0,0
P22455,FGFR4,0.539473684,,0.695785238,,,1.028151087,,,,,,0,0,0
P15328,FOLR1,0.608851675,,0.581339319,,,1.078750076,,,,,,0,0,0
P01225,FSHB,,0.11010613,0.797781241,0.88998661,,,,0.418348909,0.448638732,1.305253588,0,0,0,0
