SwissProt_Accessions,geneName,DISGENET_Score,Harmonizome_Score,Pubpular_Score,CTD_Score,D2_Score,DH_Score,DP_Score,DC_Score,HP_Score,HC_Score,PC_Score,D2D_Score,D2H_Score,D2P_Score,D2C_Score,BDMC_Score,Frequency,CTD_Marker,eDGAR_Marker,BIONDA_Marker,Dis_2_Marker
P05067,APP,0.993,0.939,0.996,1.0,1.0,1.446,1.493,1.494,1.447,1.448,1.497,1.494,1.448,1.497,1.5,9.825,5,1.0,1,0,1
P02649,APOE,0.948,1.0,1.0,,0.937,1.455,1.455,,1.5,,,1.438,1.445,1.445,,9.739,4,1.0,1,1,1
P49768,PSEN1,0.911,0.918,0.926,,0.886,1.412,1.413,,1.419,,,1.389,1.39,1.39,,9.412,4,1.0,1,0,1
P10636,MAPT,0.948,0.851,0.887,0.741,0.886,1.361,1.394,1.257,1.354,1.247,1.25,1.393,1.354,1.386,1.25,9.243,5,1.0,0,0,1
P56817,BACE1,0.846,0.829,0.878,0.798,0.873,1.331,1.349,1.302,1.334,1.3,1.304,1.349,1.333,1.374,1.304,9.069,5,1.0,0,0,1
P22303,ACHE,0.814,0.89,0.831,0.873,0.785,1.32,1.315,1.319,1.337,1.375,1.335,1.286,1.293,1.288,1.291,8.839,5,1.0,0,0,1
P06276,BCHE,0.821,0.853,0.84,0.73,0.772,1.323,1.322,1.234,1.341,1.236,1.235,1.275,1.277,1.276,1.231,8.815,5,1.0,0,0,1
P49810,PSEN2,0.759,0.708,0.866,0.579,0.797,1.209,1.266,1.074,1.217,1.073,1.082,1.261,1.211,1.303,1.076,8.467,5,1.0,1,0,1
P14735,IDE,0.76,0.599,0.769,0.614,0.696,1.096,1.261,1.112,1.096,1.098,1.113,1.197,1.095,1.197,1.111,7.942,5,1.0,0,0,1
P23560,BDNF,0.898,0.576,0.66,0.87,0.81,1.083,1.171,1.373,1.07,1.08,1.168,1.318,1.074,1.163,1.315,7.879,5,1.0,0,0,1
Q92542,NCSTN,0.652,0.57,0.75,0.548,0.658,1.064,1.152,1.038,1.064,1.045,1.039,1.152,1.063,1.158,1.038,7.653,5,1.0,0,0,1
O14672,ADAM10,0.916,0.531,0.735,0.387,0.646,1.035,1.248,0.865,1.019,0.849,0.842,1.158,1.019,1.144,0.84,7.623,5,1.0,1,0,1
P10909,CLU,0.837,0.498,0.764,0.686,0.671,0.988,1.269,1.191,0.982,0.98,1.187,1.176,0.98,1.172,1.171,7.567,5,1.0,0,1,1
Q13492,PICALM,0.703,0.499,0.799,0.478,0.646,0.981,1.206,0.955,0.986,0.973,0.96,1.144,0.982,1.147,0.956,7.446,5,1.0,0,0,1
P49841,GSK3B,0.915,0.521,0.705,0.851,0.582,1.024,1.218,1.357,1.007,1.016,1.212,1.091,1.013,1.076,1.084,7.43,5,1.0,0,0,1
F7VJQ1,PRNP,0.8,0.467,0.7,0.63,0.633,0.948,1.202,1.131,0.942,0.944,1.128,1.134,0.943,1.131,1.13,7.301,5,1.0,0,0,1
O96008,TOMM40,0.714,0.43,0.766,0.553,0.608,0.896,1.215,1.044,0.899,0.902,1.046,1.104,0.897,1.105,1.047,7.116,5,1.0,0,0,1
O00499,BIN1,0.775,0.399,0.764,0.446,0.62,0.86,1.264,0.92,0.859,0.883,0.919,1.119,0.856,1.119,0.918,7.077,5,1.0,0,0,1
Q9NZC2,TREM2,0.883,0.313,0.803,0.49,0.747,0.761,1.309,0.984,0.748,0.746,0.975,1.256,0.741,1.249,0.972,7.064,5,1.0,0,0,1
P28329,CHAT,0.743,0.665,0.685,0.22,0.684,1.165,1.186,0.597,1.165,0.587,0.589,1.184,1.165,1.184,0.589,7.047,5,0.0,0,0,1
P42574,CASP3,0.905,0.491,0.469,0.89,0.684,0.988,0.962,1.392,0.963,0.986,0.96,1.196,0.971,0.944,1.194,7.025,5,1.0,0,0,1
P27338,MAOB,0.789,0.4,0.674,0.636,0.633,0.863,1.176,1.136,0.856,0.857,1.134,1.133,0.857,1.131,1.133,7.017,5,1.0,0,0,1
Q8IZY2,ABCA7,0.732,0.376,0.783,,0.646,0.827,1.233,,0.831,,,1.144,0.824,1.146,,7.006,4,1.0,1,0,1
Q00535,CDK5,0.764,0.624,0.738,0.613,0.696,1.122,1.239,1.111,1.121,1.112,1.11,1.197,1.121,1.196,1.11,6.997,5,0.0,0,0,1
P01584,IL1B,0.916,0.425,0.468,0.895,0.747,0.911,0.963,1.398,0.912,0.908,0.96,1.259,0.891,0.945,1.257,6.882,5,1.0,0,0,1
P01138,NGF,0.769,0.628,0.643,0.202,0.709,1.128,1.143,0.573,1.128,0.552,0.554,1.21,1.126,1.142,0.562,6.877,5,0.0,0,0,1
P01023,A2M,0.732,0.416,0.63,0.566,0.506,0.879,1.128,1.058,0.878,0.883,1.06,0.99,0.891,0.991,0.997,6.757,5,1.0,1,0,1
Q15392,DHCR24,0.759,0.405,0.688,0.629,0.456,0.867,1.189,1.128,0.863,0.864,1.127,0.931,0.888,0.928,0.929,6.666,5,1.0,0,0,1
P04179,SOD2,0.787,0.436,0.468,0.862,0.494,0.909,0.948,1.293,0.927,0.917,0.956,0.978,0.921,0.963,0.986,6.646,5,1.0,0,0,1
Q92673,SORL1,0.773,0.505,0.802,0.59,0.671,0.991,1.274,1.087,0.993,0.993,1.089,1.172,0.988,1.173,1.086,6.592,5,0.0,1,0,1
Q16555,DPYSL2,0.725,0.328,0.631,0.488,0.519,0.76,1.128,0.968,0.756,0.77,0.969,1.005,0.764,1.006,0.981,6.421,5,1.0,0,0,1
Q9Y6A2,CYP46A1,0.651,0.341,0.753,0.409,0.481,0.774,1.151,0.868,0.78,0.81,0.871,0.96,0.79,0.961,0.887,6.416,5,1.0,0,0,1
P09601,HMOX1,0.806,0.319,0.533,0.834,0.608,0.756,1.026,1.308,0.748,0.76,1.028,1.108,0.743,1.024,1.11,6.404,5,1.0,0,0,1
P01308,INS,0.885,0.378,0.376,0.732,0.671,0.848,0.845,1.242,0.875,0.83,0.827,1.181,0.827,0.824,1.171,6.4,5,1.0,0,0,1
P08247,SYP,0.739,0.499,0.649,0.733,0.646,0.982,1.148,1.233,0.982,0.982,1.148,1.145,0.982,1.145,1.144,6.385,5,0.0,0,0,1
P08473,MME,0.734,0.545,0.598,0.699,0.582,1.035,1.094,1.199,1.038,1.034,1.094,1.077,1.04,1.081,1.076,6.365,5,0.0,0,0,1
P01375,TNF,0.836,0.356,0.36,0.892,0.696,0.811,0.816,1.341,0.854,0.82,0.825,1.202,0.797,0.803,1.207,6.283,5,1.0,0,0,1
Q96BI3,APH1A,0.565,0.521,0.768,0.453,0.633,1.014,1.059,0.932,1.009,0.938,0.928,1.059,1.008,1.132,0.926,6.281,5,0.0,0,0,1
P21709,EPHA1,0.774,0.292,0.69,0.395,0.494,0.714,1.191,0.855,0.705,0.738,0.85,0.977,0.712,0.975,0.865,6.273,5,1.0,0,0,1
Q06481,APLP2,0.598,0.515,0.736,0.618,0.582,1.004,1.094,1.096,1.001,1.003,1.115,1.081,1.006,1.077,1.079,6.262,5,0.0,0,0,1
