SwissProt_Accessions,geneName,DISGENET_Score,Harmonizome_Score,Pubpular_Score,CTD_Score,D2_Score,DH_Score,DP_Score,DC_Score,HP_Score,HC_Score,PC_Score,D2D_Score,D2H_Score,D2P_Score,D2C_Score,BDMC_Score,Frequency,CTD_Marker,eDGAR_Marker,BIONDA_Marker,Dis_2_Marker
F7VJQ1,PRNP,1.0,1.0,1.0,0.357,1.0,1.5,1.5,0.843,1.5,0.843,0.843,1.5,1.5,1.5,0.843,10.0,5,1.0,1,0,1
P09104,ENO2,0.618,0.316,0.635,,0.431,0.738,1.117,,0.738,,,0.898,0.764,0.897,,5.152,4,0.0,0,0,0
Q9UKY0,PRND,0.217,0.524,0.718,0.519,0.615,0.577,0.588,0.577,1.011,1.018,1.005,0.577,1.013,1.112,1.007,4.879,5,0.0,0,0,1
P10636,MAPT,0.641,0.15,0.6,0.303,0.554,0.457,1.097,0.719,0.451,0.488,0.719,1.046,0.447,1.049,0.722,4.546,5,0.0,0,0,1
P37840,SNCA,0.653,,0.54,0.314,0.569,,1.03,0.736,,,0.74,1.063,,1.036,0.738,3.129,4,0.0,0,0,1
P05067,APP,0.615,,0.524,0.214,0.492,,1.013,0.573,,,0.573,0.975,,0.986,0.575,2.974,4,0.0,0,0,1
P02649,APOE,0.585,,0.521,0.281,0.415,,1.012,0.684,,,0.689,0.88,,0.888,0.711,2.781,4,0.0,0,0,0
P08118,MSMB,,0.379,0.58,,0.585,,,,0.832,,,,0.831,1.079,,2.742,3,0.0,0,0,1
P42858,HTT,0.529,,0.47,0.449,0.354,,0.958,0.932,,,0.944,0.801,,0.812,0.818,2.571,4,0.0,0,0,0
Q5BIV9,SPRN,0.321,,0.706,,0.569,,0.749,,,,,0.748,,1.062,,2.559,3,0.0,0,0,1
Q5U5R9,HECTD2,0.347,0.44,0.699,,,0.81,0.785,,0.909,,,,,,,2.504,3,0.0,0,0,0
P01241,GH1,0.677,,0.55,,0.308,,1.04,,,,,0.727,,0.729,,2.496,3,0.0,0,0,0
P04271,S100B,0.644,,0.577,0.387,0.292,,1.072,0.84,,,0.843,0.703,,0.703,0.741,2.477,4,0.0,0,0,0
P14136,GFAP,0.639,,0.538,0.286,0.292,,1.028,0.693,,,0.696,0.702,,0.706,0.782,2.436,4,0.0,0,0,0
P10997,IAPP,0.595,,0.434,0.504,0.323,,0.904,0.991,,,0.916,0.75,,0.775,0.759,2.428,4,0.0,0,0,0
P28799,GRN,0.611,,0.567,,0.277,,1.063,,,,,0.678,,0.679,,2.419,3,0.0,0,0,0
Q86SH4,PRNT,0.297,0.305,,,0.338,0.792,,,,,,0.772,0.786,,,2.35,3,0.0,0,0,0
Q9UL42,PNMA2,,0.495,0.694,0.515,0.277,,,,0.977,0.991,1.0,,0.686,0.682,0.683,2.344,4,0.0,0,0,0
Q9Y216,MTMR7,0.417,,0.69,,0.292,,0.879,,,,,0.73,,0.705,,2.314,3,0.0,0,0,0
P56817,BACE1,0.578,,0.463,0.385,0.262,,0.942,0.84,,,0.859,0.653,,0.666,0.688,2.261,4,0.0,0,0,0
Q9NZC2,TREM2,0.578,,0.548,,0.215,,1.044,,,,,0.574,,0.574,,2.191,3,0.0,0,0,0
P34932,HSPA4,0.644,,0.302,0.385,0.277,,0.717,0.836,,,0.758,0.679,,0.759,0.716,2.155,4,0.0,0,0,0
P02768,ALB,0.661,0.035,0.158,0.162,0.277,0.211,0.476,0.483,0.143,0.14,0.652,0.679,0.106,0.525,0.535,2.14,5,0.0,0,0,0
P27348,YWHAQ,0.429,,0.61,0.431,0.231,,0.897,0.929,,,0.899,0.617,,0.601,0.617,2.116,4,0.0,0,0,0
P07196,NEFL,0.214,,0.57,0.36,0.385,,0.572,0.608,,,0.805,0.599,,0.84,0.848,2.011,4,0.0,0,0,0
Q15283,RASA2,0.582,,0.665,0.498,0.154,,1.076,0.985,,,0.98,0.456,,0.468,0.453,2.0,4,0.0,0,0,0
P22303,ACHE,0.628,,0.302,0.172,0.231,,0.717,0.497,,,0.544,0.602,,0.672,0.599,1.991,4,0.0,0,0,0
Q8NAP3,ZBTB38,0.512,,0.644,,0.169,,0.997,,,,,0.485,,0.494,,1.976,3,0.0,0,0,0
P55087,AQP4,0.631,,0.448,,0.185,,0.92,,,,,0.521,,0.522,,1.963,3,0.0,0,0,0
P55008,AIF1,0.595,,0.531,0.37,0.154,,1.023,0.817,,,0.824,0.458,,0.453,0.47,1.933,4,0.0,0,0,0
O76096,CST7,0.429,,0.479,,0.169,,0.916,,,,,0.492,,0.486,,1.894,3,0.0,0,0,0
P29972,AQP1,0.631,,0.46,0.365,0.154,,0.934,0.809,,,0.831,0.463,,0.454,0.472,1.851,4,0.0,0,0,0
Q96CV9,OPTN,0.595,,0.448,0.421,0.154,,0.922,0.887,,,0.913,0.458,,0.455,0.459,1.835,4,0.0,0,0,0
P07339,CTSD,0.497,,0.456,0.3,0.138,,0.947,0.724,,,0.733,0.419,,0.419,0.458,1.785,4,0.0,0,0,0
Q63HM9,PLCXD3,0.347,,0.714,0.508,0.154,,0.786,0.794,,,0.992,0.478,,0.478,0.453,1.741,4,0.0,0,0,0
P01584,IL1B,0.661,,0.192,0.037,0.185,,0.537,0.217,,,0.136,0.524,,0.675,0.14,1.736,4,0.0,0,0,0
P01583,IL1A,0.661,0.022,0.205,0.214,0.108,0.18,0.561,0.577,0.043,0.043,0.694,0.375,0.098,0.436,0.427,1.693,5,0.0,0,0,0
P34810,CD68,0.595,,0.414,0.344,0.123,,0.878,0.78,,,0.813,0.394,,0.385,0.399,1.658,4,0.0,0,0,0
Q93045,STMN2,0.462,,0.631,0.449,0.092,,0.938,0.946,,,0.921,0.306,,0.335,0.305,1.578,4,0.0,0,0,0
P01920,HLA-DQB1,0.371,,0.199,,,,0.572,,,,,,,,,1.572,2,1.0,1,0,0
P02766,TTR,,0.107,0.388,0.314,0.292,,,,0.346,0.362,0.777,,0.371,0.741,0.778,1.457,4,0.0,0,0,0
Q99743,NPAS2,0.529,,0.592,,0.046,,1.02,,,,,0.194,,0.214,,1.428,3,0.0,0,0,0
P84077,ARF1,0.512,,0.427,0.454,0.046,,0.905,0.94,,,0.919,0.189,,0.167,0.173,1.262,4,0.0,0,0,0
P05060,CHGB,0.529,,0.483,,0.031,,0.974,,,,,0.15,,0.135,,1.259,3,0.0,0,0,0
P02511,CRYAB,0.562,0.013,0.523,0.328,,0.111,1.017,0.759,0.094,0.016,0.763,,,,,1.223,4,0.0,0,0,0
Q9BXL6,CARD14,0.644,,0.681,,,,1.143,,,,,,,,,1.143,2,0.0,0,0,0
O43914,TYROBP,,0.162,0.467,0.438,0.077,,,,0.471,0.474,0.929,,0.368,0.265,0.262,1.104,4,0.0,0,0,0
P04003,C4BPA,0.644,,0.602,0.476,,,1.1,0.954,,,0.957,,,,,1.1,3,0.0,0,0,0
P42574,CASP3,0.644,,0.246,0.004,0.046,,0.628,0.126,,,-0.058,0.233,,0.162,-0.064,1.023,4,0.0,0,0,0
P18669,PGAM1,0.512,,0.545,0.392,,,1.006,0.859,,,0.853,,,,,1.006,3,0.0,0,0,0
Q96L34,MARK4,0.512,,0.573,,,,1.002,,,,,,,,,1.002,2,0.0,0,0,0
P51149,RAB7A,0.545,,0.508,,,,1.002,,,,,,,,,1.002,2,0.0,0,0,0
Q86Y46,KRT73,0.437,,,,,,,,,,,,,,,1.0,1,1.0,0,0,0
Q9H8P0,SRD5A3,0.651,,,,,,,,,,,,,,,1.0,1,1.0,0,0,0
Q13885,TUBB2A,0.585,,,0.377,,,,0.829,,,,,,,,1.0,2,1.0,0,0,0
A4D0V7,CPED1,0.569,,,,,,,,,,,,,,,1.0,1,1.0,0,0,0
P26717,KLRC2,0.668,,,,,,,,,,,,,,,1.0,1,1.0,0,0,0
P00352,ALDH1A1,0.717,,,0.269,,,,0.672,,,,,,,,1.0,2,1.0,0,0,0
P0C860,MSL3P1,0.404,,,,,,,,,,,,,,,1.0,1,1.0,0,0,0
P18850,ATF6,0.717,,,,,,,,,,,,,,,1.0,1,1.0,0,0,0
P48681,NES,0.598,,0.506,0.372,,,0.993,0.821,,,0.832,,,,,0.993,3,0.0,0,0,0
