Uniprot,Fold Change_PXD007073,t_test_p_value_PXD007073,Fold Change_PXD005321,t_test_p_value_PXD005321,Fold Change_PXD005319,t_test_p_value_PXD005319,Fold Change_PXD008036,t_test_p_value_PXD008036,Fold Change_PXD014852,t_test_p_value_PXD014852,Fold Change_PXD014950,t_test_p_value_PXD014950,Fold Change_PXD021630,t_test_p_value_PXD021630,Fold Change_PXD023199,t_test_p_value_PXD023199,Fold Change_PXD027173,t_test_p_value_PXD027173,Fold Change_PXD028931,t_test_p_value_PXD028931,Fold Change_PXD037133,t_test_p_value_PXD037133,Fold Change_PXD009199,t_test_p_value_PXD009199,Fold Change_PXD014376,t_test_p_value_PXD014376,Fold Change_PXD014606,t_test_p_value_PXD014606,Fold Change_PXD022092,t_test_p_value_PXD022092,Fold Change_PXD024998,t_test_p_value_PXD024998
A0A0B4J1X5,0.513813628,0.788048991,,,,,,,,,0.176362203,0.33789944,,,,,,,0.715814301,0.115125696,,,,,,,0.351988438,0.57196448,,,,
A0AVT1,0.514599849,0.621941009,0.887378874,0.187429113,0.445178674,0.873153682,0.837431276,0.919021126,0.83697037,0.184260396,0.176557627,0.55331873,0.276519787,0.607954582,,,,,0.716039986,0.441636653,0.291162343,0.70470394,0.48388788,0.396570869,,,0.352015462,0.248865505,0.417919789,0.685911009,,
A0FGR8,0.514789065,0.749823861,0.888323469,0.737607498,,,0.837669265,0.929957968,0.836771506,0.029124157,0.17665095,0.327421659,0.274233546,0.819687062,,,0.798807978,0.033016025,0.715912968,0.013780197,0.292107968,0.144217529,0.483560683,0.483212659,,,0.351721403,0.019447395,0.416534207,0.826542326,,
A2NJV5,0.514725367,0.736634902,,,,,,,,,,,0.273195113,0.678941645,,,,,0.716173466,0.997343761,,,,,,,,,,,,
A3KMH1,0.5167929,0.56817149,0.887390531,0.076921761,0.44471742,0.866190854,,,,,,,0.276237515,0.353087704,,,0.798916566,0.454222505,,,0.291232929,0.030425532,,,,,0.351957136,0.190185217,0.415976786,0.981506682,,
A5YKK6,0.514895165,0.510402938,,,,,0.837828784,0.746416939,0.837540581,0.006342964,0.176269623,0.653814089,0.276631446,0.708734518,,,0.798835781,0.37772085,,,0.291508823,0.6234376,0.483741979,0.820682242,,,0.351450785,0.221271337,,,,
A6NIH7,0.515729006,0.285388101,0.887860705,0.100993957,,,,,,,,,0.278203221,0.398252344,,,0.79887148,0.728768227,0.716022877,0.809514413,,,,,,,0.351790497,0.000585482,,,,
A6NKF1,0.515000331,0.138475314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E9PAV3,0.512467881,0.60686083,0.887733328,0.189712412,0.443874525,0.001075258,0.836554916,0.590511451,0.837099629,0.972137183,0.176734894,0.913233182,0.278594247,0.371674551,0.226165989,0.661847356,,,0.715887008,0.892299536,,,0.483905383,0.570466909,,,0.352095456,0.100611493,,,,
L0R6Q1,0.514926373,0.989819394,,,,,,,0.837646473,0.026291945,,,,,,,,,,,0.291235461,0.102356809,,,,,,,,,,
O00151,0.514122811,0.187879981,,,,,,,0.836858221,0.298269426,0.202831204,0.746332655,0.271632672,0.149417621,,,,,0.715828302,1.08E-07,0.291302326,0.667467114,,,,,0.351662074,0.006234445,,,,
