Uniprot,Control,Control.1,Control.2,Disease,Disease.1,Disease.2,Disease.3,Disease.4,Disease.5,Disease.6,Disease.7,Disease.8,Disease.9,Disease.10,Disease.11,Disease.12,Disease.13,Disease.14,Disease.15,Disease.16,Disease.17,Disease.18,Disease.19,Disease.20,Fold Change,t_test_p_value
A0AVT1,0.45781138,0.07575838,0.50867997,0.21134178,0.26935514,0.28355308,0.42412458,-0.06733839,0.41358841,0.23106048,0.26789754,0.23651928,0.32131511,0.12857327,0.21843361,0.28712188,0.35830509,0.26439684,0.48740905,0.05212396,0.11435545,0.20367743,0.13685271,0.37568366,0.715259063,0.919021126
A0FGR8,-0.7031423,-0.8855102,-0.4228093,-0.6299882,-0.7291452,-0.4129552,-0.6934831,0.0189118,-0.6380444,-0.6693748,-0.8140899,-0.6163417,-0.5056551,-0.6744944,-0.5251477,-0.6840361,-0.5922236,-0.5469945,-0.8436945,-0.8884768,-0.6745855,-0.7057364,-0.6634777,-0.7895744,0.943067333,0.929957968
A0MZ66,-0.71319391,0.03426144,0.08289071,-0.52627801,-0.23378729,-0.57346825,-0.2590731,-0.51554314,-0.64321929,-0.77389696,-0.75762506,-0.42812248,-0.60228385,-0.50356403,-0.39770778,-0.44959042,-0.46247683,-0.65083355,-0.56414965,-0.40446837,-0.49936922,-0.56550767,-0.04263784,-0.79959029,2.553318958,0.19444544
A1L0T0,-0.230162514,-0.51039229,-0.580505891,-0.87361372,-0.273260332,-0.50924473,-0.242615678,0.004178829,-1.019233364,-0.318393472,-0.398592274,-0.688454335,-0.202321367,-0.154870696,-0.338178417,-0.104554419,-0.116287282,-0.279878239,0.057413001,-0.183067945,-0.680514919,-0.274878031,-0.542901178,0.095031967,0.761751158,0.063599753
A1Z1Q3,-0.45608933,-0.77580365,-0.53836546,-0.80005492,-0.66119,-0.39747665,-0.36090433,-0.58729238,-0.05191432,-0.90205569,-0.56092037,-0.72908911,-0.87048417,-0.47592966,-0.13367327,-0.67737329,-0.53499073,-0.45970311,-0.30947255,-0.31561277,-0.59375916,-0.48105831,-0.33312212,-0.40912878,0.859051783,0.10139594
A2RTX5,-0.73086382,-0.673639,-0.66895724,-0.80314879,-0.60518235,-0.68147776,-0.82395837,-0.81564036,-0.61425457,-0.72027841,-0.55775845,-0.83901158,0.04242353,-0.83998129,-0.57632413,-0.31304368,-0.86017245,-0.78914809,-1.35498421,-0.75685524,-0.80681284,-0.89636196,-0.4787133,-0.83601022,1.028418619,0.905715957
A2RUR9,-0.12934121,-0.94162269,-0.34303327,-0.71356797,0.95352238,0.4332764,-0.84787517,0.03457691,-0.65959058,-0.87204493,0.46716705,0.47055302,0.24761737,-0.08310929,-0.1037247,0.35987787,-0.61006079,-0.05114612,0.13039274,-0.17310518,-0.02730017,0.25088364,-0.23305284,-0.09307048,0.113132257,0.038201243
A5YKK6,-1.1057853,-1.2228185,-0.5308548,-1.123995,-1.1659819,-0.7021196,-1.2414087,-1.1026296,-0.2858732,-1.143331,-1.2030266,-1.1597851,-1.1677981,-0.716152,-1.1205767,-1.1301915,-1.1063665,-1.054603,-1.0598765,-1.1119099,-0.8728764,-1.2279513,-1.1438887,-1.0926499,1.095761434,0.746416939
A5YM72,0.104570131,-0.785984499,0.430377852,-0.664317858,-1.163902321,0.007611461,-0.903919734,-0.577820847,-0.665862936,-0.097856837,-0.321367394,-0.290940958,-0.345207696,-1.118887322,-0.942423271,-0.895953828,-0.50142244,0.223521056,-0.497405281,-0.015025784,-0.341059656,-1.165213464,-0.090064993,-0.44082857,6.150698054,0.711193024
A6NDG6,-0.220653948,0.065575155,0.053738237,0.176736581,-0.285620495,-0.194326383,0.067060259,-0.202043003,0.109140421,0.094886455,0.115882639,-0.124673859,-0.166100657,-0.55686688,0.038576945,-0.948234165,-0.274817517,0.007334771,0.028612208,-0.011535226,0.189503356,-0.719866586,-0.330944564,-0.359490124,4.717876825,0.002654682
