Uniprot,Control,Control.1,Control.2,Control.3,Control.4,Disease,Disease.1,Disease.2,Disease.3,Disease.4,Fold Change,t_test_p_value
A0A0B4J2F0,-0.9907485,-0.9999919,-0.8734711,-0.9123647,-0.8804782,-0.9165634,-1.0574176,-0.9390558,-1.1285714,-0.8689607,1.054436663,0.261417381
A0AVT1,0.2710403,0.1928942,0.3764244,0.1713033,0.2918505,0.1644369,0.2475295,0.2876691,0.3173116,0.2674234,0.985314911,0.396570869
A0FGR8,0.22810632,0.15619777,0.42663135,0.21840907,0.20449255,0.23580085,0.38366241,0.16324166,0.14504497,0.04447612,0.787969531,0.483212659
A0MZ66,0.1752634,0.258712,0.5658498,0.2762633,0.4507541,0.3418112,0.4249284,0.6693186,0.3897037,0.3264564,1.246331484,0.464371155
A1A5C7,-0.7380718,-0.7279015,-0.6412163,-0.8508902,-0.681006,-0.777058,-0.9522261,-0.6389507,-1.1910549,-1.1876367,1.304428272,0.141519425
A1L0T0,0.11661284,-0.09326985,-0.07382705,0.10015097,0.29926944,0.34720355,0.07298216,0.36692062,0.27991833,0.37388988,4.129448078,0.214442098
A1Z1Q3,-0.54793656,-0.11445415,-0.80508921,-0.03651663,-0.30047068,-0.2755263,-0.38707317,-0.24914848,-0.32462856,-0.59761476,1.016361638,0.607079839
A2RTX5,-0.824514,-0.5115243,-0.5409693,-0.6683648,-0.4989753,-0.7819435,-0.701192,-0.3960755,-0.5525003,-0.6956919,1.027281871,0.882133843
A2RU67,-0.8550108,-0.9129428,-0.7673147,-0.9563316,-0.7116779,-1.4399285,-0.7943242,-0.9400962,-0.9382669,-1.0998614,1.240098192,0.922728859
A5PKW4,-0.8402664,-0.2679944,-0.6029705,-0.6478111,-0.7020637,-0.4648324,-0.6224525,-0.4329785,-0.7595383,-0.3265422,0.851438603,0.989150704
A5YKK6,-1.202091,-1.261175,-1.276914,-1.433226,-1.456226,-0.955721,-1.222611,-1.048602,-1.439557,-1.282387,0.897316472,0.820682242
