Uniprot,Control,Control.1,Control.2,Control.3,Control.4,Control.5,Control.6,Control.7,Control.8,Control.9,Control.10,Control.11,Disease,Disease.1,Disease.2,Disease.3,Disease.4,Disease.5,Disease.6,Disease.7,Disease.8,Disease.9,Disease.10,Disease.11,Disease.12,Disease.13,Disease.14,Disease.15,Disease.16,Disease.17,Disease.18,Disease.19,Disease.20,Disease.21,Disease.22,Fold Change,t_test_p_value
A2RTX5,-0.16852609,-0.41718143,-0.12365063,-0.52176082,-0.39926781,-0.65071767,-0.75542272,-0.41356091,-0.66982313,-0.57481701,-0.22369565,-0.559154,-0.731771,-0.06148657,-0.40008422,-0.25206962,-0.48540114,-0.54069787,-0.57251698,-0.60506473,-0.80922776,-0.47284035,-0.55428418,-0.13882966,-0.63683081,-0.63147081,-0.62326385,-0.59559819,-0.57332907,-0.8768835,-0.48961656,-0.42710715,-0.23094426,-0.53508001,-0.73262214,1.140810842,0.914049963
A6NHL2,-0.2306456,-0.70399537,-0.57775507,-0.31348603,-0.18787639,-0.05281635,-0.29802531,-0.41262868,-0.27367341,-0.40017053,-0.46432853,-0.33376356,-0.18617637,-0.32841474,-0.28773453,0.40240044,-0.49038749,-0.5198889,-0.28706852,-0.57539503,-0.53987141,-0.13855234,-0.59477524,-0.79084872,0.63329303,-0.45200451,-0.39067206,-0.43394153,-0.70789076,-0.21534391,0.26965095,-0.47983877,-0.47079759,-0.37699078,-0.30938822,0.89273445,0.755216723
A6XGL0,-0.39047625,-0.28427968,-0.4021338,-0.37092699,-0.42746365,-0.81034389,-0.41093874,-0.16864609,-0.68910111,-0.62527547,-0.49931662,-0.55585954,-0.08236539,-0.68372397,-0.15645975,-0.43771279,-0.37228363,-0.71959954,-0.28126014,-0.56772131,-0.36237988,-0.36765338,-0.23105565,-0.63410416,-0.57950147,-0.49023528,-0.74586004,-0.93307957,-0.77424023,-0.5312974,-0.41134183,-0.84001013,-0.53504369,-0.6131517,-0.51299655,1.098437151,0.229072098
B1ANS9,-0.04414984,-0.12990143,-0.20363155,-0.71794321,-0.21915467,-0.12491964,-0.2546631,-0.26272434,-0.22871493,-0.90226467,-0.92981674,-0.39759554,-0.23360702,0.22464854,-0.22147558,-0.15422837,-0.11084252,-0.74096368,-0.40016065,-0.32839064,-0.36490642,-0.08416292,-0.41146693,-0.5362176,-0.89085403,-0.44149013,-0.15808127,-0.56516974,-0.48487652,-0.51125742,-0.36635909,-0.30420202,-0.58841754,-0.49384546,-0.39687466,1.01183965,0.959187485
E9PAV3,-0.33623898,-0.064814477,-0.180294717,0.009668225,-0.248341164,0.000819462,-0.532791886,-0.367530667,-0.54868478,-0.870491444,-0.895539076,-0.864021446,-0.138790499,-0.162165312,-0.012186984,-0.350405792,0.143070525,-0.258411733,-0.037486338,-0.444641896,0.071411288,-0.266300686,-0.289658944,-0.610851595,-0.614898117,-0.300183512,-0.442219434,-0.275085429,-0.634614879,-0.717727424,-0.425583639,-0.356589262,-0.726629136,-0.186351069,-0.617354348,0.815230331,0.661847356
O00139,-0.203437032,-0.423155252,0.053679375,-0.384830054,-0.094038222,-0.066095789,0.039072214,-0.174807305,-0.294041702,-0.268491214,-0.606749111,-0.160821235,-0.274517301,0.003467345,-0.090383381,-0.024903467,-0.214034781,-0.621685551,-0.455323743,-0.272899674,-0.838787851,-0.231071302,-0.081963402,-0.192435866,-0.057952595,-0.279358169,-0.561117448,-0.543496632,-0.454528576,-0.225599624,-0.561874488,-0.596173775,-0.560735062,-0.753542676,-0.37406261,1.668574043,0.075263352
O00154,0.2628304,0.263828533,-0.062948318,-0.291270781,0.242522947,0.391550382,0.084678826,0.270025487,0.472723021,-0.019028755,0.48906464,0.347707127,0.064329465,0.121774278,-0.113487,0.230540196,0.471777836,0.3318545,0.38133206,0.370565569,0.294044517,0.312452029,0.327992878,0.643160562,0.627465042,0.587108396,0.305499744,0.375472419,-0.007030575,0.485169979,0.3654096,0.002770627,0.429456711,0.406581448,0.401753528,1.578186641,0.082549122
O00217,-1.05870495,0.188832271,0.205580446,0.141450677,-0.588747278,-1.098866831,-0.083790464,-0.478838821,0.069880937,-0.046617775,0.042257603,-0.025171401,0.229603318,-0.057060805,-0.006629424,0.040383258,-0.192976724,-0.104887911,0.323103511,0.033902169,-0.355729828,0.095894336,-0.293643323,-0.392494986,-0.233829974,-0.425675595,-0.409465938,-0.031799223,-0.207262031,-0.192602885,0.12063877,0.298389322,0.062685792,-0.171501388,-0.095833426,0.375503897,0.871325333
O00231,0.7133438,0.609339,-0.0651395,0.7443583,0.6595912,0.6583163,0.38744,0.4069464,0.6980829,0.5203403,0.6851627,0.5520028,-0.1608817,0.2236275,0.7844059,-0.6050264,0.502825,0.5370564,0.7241583,0.6820242,0.6963424,0.7329212,0.446545,0.5409995,0.5578991,0.4931546,0.6033524,0.4067274,0.2136934,0.5960507,0.3140178,0.5602539,0.1129471,0.4496807,0.4376665,0.782272342,0.855496259
O00232,0.67060561,0.25332924,0.16904152,0.46732186,0.38811227,-0.84028304,0.25070534,0.2516499,0.33872968,0.15206466,0.30741969,0.13706221,-0.43961316,-0.12622255,-0.02448395,0.07529679,0.31042445,0.01069126,0.19110298,0.40839805,0.52964153,0.11398605,0.36769207,0.07919328,-0.13252447,0.0494571,-0.11741951,0.26597867,0.23088551,0.18690999,0.15799836,0.12484301,0.07933786,0.29246835,0.17879462,0.576475147,0.809987423
O00264,0.7602434,1.0942742,1.0652058,0.7278863,0.947729,0.7647039,0.5523313,0.6240305,0.629958,0.5754419,0.4767965,0.3772492,1.1040249,0.711611,0.7986031,0.6182794,0.5222236,0.3989038,0.7817658,0.6067678,0.8480836,0.7776089,0.5364466,0.9669654,0.8959717,0.5594553,0.608959,0.6313148,0.6757389,0.7216334,0.8674573,0.8202652,0.7463403,0.7454766,0.7911264,1.015759494,0.666648876
O00303,-0.09115203,-0.49702629,-0.01252995,-0.15191248,-0.3747434,0.03678514,-0.23313442,-0.04371604,0.3152811,-0.37657483,-0.05738637,-0.2357205,-0.24444187,-0.2675649,0.23181383,-0.48751118,-0.13825985,-0.03321557,-0.09616877,-0.07968912,-0.41137052,-0.33823777,-0.37272575,0.32132732,0.07419823,0.03305258,0.13318836,-0.04437109,0.14300512,0.17920824,0.04392824,-0.66576028,0.18353047,-0.0449508,-0.03913676,0.581833462,0.347154855
O00330,-0.305543078,-0.42818723,-0.481406188,-0.465643101,-0.235470971,-0.244906494,0.129269373,-0.451118958,0.173852427,0.199054652,-0.169403988,0.316494596,-1.426161888,0.074792747,0.294787619,-0.504828505,0.009542277,0.014550279,-0.281855363,0.102046744,0.142062876,-0.062641711,-0.2058124,0.02090085,0.205411759,-0.13063846,0.294301383,0.078945256,0.180725347,-0.175845062,0.325947173,0.452159683,0.257042345,0.176554292,0.321213878,-0.043376475,0.038051605
O00401,-0.3904762,-0.352667,-0.5072182,-0.1905533,-0.2475356,-0.3012908,-0.4296607,-0.1393078,-0.5966114,-0.4831856,-0.2204754,-0.3309446,-0.1471963,-0.5181959,0.1351505,-0.4377128,-0.2814954,-0.846014,-0.2803067,-0.7074284,-0.3552329,-0.7111691,-0.3186859,-0.5386221,-0.450842,-0.4163662,-0.4728571,-0.8627611,-0.6956634,-0.3997097,-0.5947408,-0.8618646,-0.6070839,-0.6172116,-0.5669158,1.438596358,0.006853306
O00408,-0.28207517,-0.18225118,-0.07300597,-0.46134154,-0.3576181,-1.31805466,0.06028664,-0.0684668,-0.38383415,-0.42633383,-0.85389664,-0.30132714,-0.23100714,-0.13305058,-0.01137961,-0.32672485,-0.25643192,-0.45324712,-0.29268583,-0.2741893,-0.56408442,-0.22267764,-0.40084608,-0.53270275,-0.18718399,-0.23057766,-0.24872227,-0.15480909,-0.21471851,-0.40711739,-0.39886344,-0.33221885,-0.26280303,-0.49879383,-1.3471996,0.896001062,0.804482399
O00410,-0.10004948,-0.18063369,-0.1285881,-0.29567691,-0.26470298,-0.16318154,0.29403704,-0.09079336,0.12901273,0.14230386,-0.05218114,-0.06874216,-0.04304862,0.10630673,-0.23218378,-0.62026798,-0.23014693,-0.40809097,-0.4896839,-0.11027461,-0.74795961,-0.17613272,-0.36891104,-0.10120471,-0.38734894,-0.30001945,-0.54739941,-0.50805339,-0.08069188,-0.59297065,-0.66878167,-0.32817811,-1.12596829,-1.20961368,-1.25707866,6.982251192,9.60E-05
O00429,0.13565424,0.32119742,0.02777559,0.9500944,0.49069732,0.21923016,0.80401923,0.84164831,0.96221007,0.93772412,0.77051983,0.88192589,-0.03995421,-0.55007688,0.30390987,0.3181757,-0.08209945,0.8070646,1.00295209,0.45860218,0.79069654,0.49774029,0.21124301,0.64350656,0.85856327,0.75438529,0.74634967,0.92707205,0.81808932,0.7653016,0.78196749,0.72286256,0.72508935,0.61038796,0.80652409,0.915078077,0.940458996
O00483,0.28640897,-0.71890317,-0.03663036,0.39701314,-0.32966997,-0.80878364,0.52071356,0.46314038,0.61763547,0.62975497,0.33818128,0.61159574,-0.23072791,0.04642072,0.01665347,-0.0812845,0.136993,0.09517962,0.26908763,-0.01233161,-0.41306677,-0.6463889,-0.06820758,-0.1224466,0.3398175,0.23823994,0.27560718,0.52065675,0.54184659,0.44022385,0.50113687,0.48646049,0.38081774,0.30425427,0.62708982,0.965399371,0.745943342
O00499,0.19875676,-0.96525573,-0.40898829,0.34285835,0.07825034,-0.34513156,0.31147896,0.3380579,-0.04471893,0.26977943,0.18552247,-0.02398101,-0.03917945,-0.16996886,-0.24230719,-0.09657723,-0.05708936,0.25824867,0.47446572,0.19762973,-0.10371524,-0.08356712,0.08517442,0.15474253,0.24798789,0.29569719,-0.02815499,0.08648405,0.28795511,-0.23575323,0.32073959,0.23455631,0.2050807,0.27454717,0.23105635,-18.91998207,0.291852154
O00505,-0.20693467,-0.6672099,-0.15131083,-0.42854809,-0.52146744,-0.03514369,-0.49507317,-0.19666827,-0.39368735,-1.02545047,-0.48625787,-0.39955059,-0.25220997,-1.5810849,-0.23917627,0.29731492,-0.67786839,-1.64425675,-0.4279039,-0.67394815,-0.32653761,-0.36216687,-0.41331627,-0.48321954,-0.68726515,-0.62012567,-0.91737905,-0.61536189,-0.88483072,-0.3719448,-0.4780473,-0.52922709,-0.84085065,-0.26685528,-0.25566669,1.380793273,0.158065676
O00560,0.046453089,-0.173900095,-0.131938222,-0.404482965,0.079439272,-0.356240721,-0.368846343,-0.247311654,-0.281900463,-0.416718546,-0.799055447,-0.671062794,-0.33487788,-0.397850347,0.275110572,0.011625083,-0.452823824,0.182702602,0.24920516,-0.443783978,-0.066386339,-0.049682632,-0.045266862,0.291383207,0.035791623,0.043465605,-0.244165138,0.247082148,-0.295743898,-0.004267114,0.151141823,-0.39377949,0.11762682,0.189886999,-0.475174482,0.197289767,0.002424404
O00567,-0.16494965,-0.14571614,-0.77635429,0.14301423,-0.01528615,-0.38242834,-0.80647811,-0.25108652,-0.01136796,0.02508542,-0.92698948,0.13891586,-0.36897203,-0.56110121,-0.06429094,0.51622881,-0.21127648,-0.41322542,-0.29301674,-0.6350487,-0.15546147,-0.87001214,-0.50683525,-0.20841223,-0.42311653,-0.60677327,-1.56382197,-0.46840758,-0.42419464,-0.03213251,-1.5586169,-0.17657972,-0.33062198,-0.30149871,-0.58822907,1.684322383,0.261182428
O00571,0.115436726,-0.082531362,0.014867236,0.041528039,-0.120062553,-0.468098417,-0.080742448,0.116879569,0.012933633,-0.186948794,-1.263413053,0.052682719,0.000684916,-0.235093144,-0.488630279,0.254113447,0.00964571,-0.210604057,-0.480992658,-0.05345444,0.256995901,-0.403392628,-0.031894891,0.113759704,-0.3821687,-0.137259736,-0.425008419,-0.065895953,-0.243012887,0.077058911,-0.176061788,-0.21997529,-0.040788702,-0.176015763,-0.566915036,1.0237008,0.991612081
O00764,-0.11805853,-0.29693161,-0.22266048,0.71619988,0.12945151,-0.26746067,0.45935829,0.02835154,-0.47710601,0.38350978,0.14948441,0.34975143,-1.48020269,-0.20336307,0.01752302,-0.05007251,0.37762881,0.61437974,0.72288364,0.54187107,0.41777631,0.6166542,0.2808957,-0.13684919,0.3315837,0.21985978,0.06413408,0.38700026,0.35449544,0.52767998,0.45971551,0.35563819,0.32233326,0.35143624,0.46727983,3.478897613,0.056402021
O14531,-0.51645729,0.21349443,-0.01157918,-0.19260073,0.1104575,0.14441614,0.02288281,0.34451526,0.57043649,0.2648336,0.36697827,-0.22639854,0.27675612,-0.80488866,-0.81842286,0.23184869,-0.02276216,-0.42041257,-0.67714253,-0.68769968,-0.59662295,-0.68668254,0.09294205,0.8820959,0.25394928,0.32378226,0.44181936,0.40529224,0.48919402,0.01008723,0.42630289,0.47389157,0.41216198,0.0639127,0.19010656,0.124105026,0.226808379
