proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16
A0AVT1,0.37337669,-0.08380886,0.36780173,0.03040394,0.24788727,0.23475904,0.03577441,0.33340245,0.22426031,-0.11908331,-0.07730604,-0.10295209,0.34186354,0.0154581,0.21262607,0.15366619
A0MZ66,-0.44075403,-0.25929024,-0.7441324,0.09038434,-0.3417985,-0.11660963,0.26938975,-0.1317701,-0.08108838,-0.12166281,-0.20408901,-0.23865827,-0.65665038,-0.7349336,-0.3764707,-0.15242851
A1Z1Q3,-1.0954514,-0.5285932,-0.4288002,-0.5395961,-0.4379714,-0.3499933,-0.3900723,-0.4927871,-0.3471032,-0.3711723,-0.4250224,-0.4497738,-0.5019827,-0.3664798,-0.3726769,-0.3088365
A2A2Z9,-0.566763136,0.061656052,0.360837469,-0.008548079,0.464898804,0.071906165,-0.263501584,0.452690747,0.05808977,0.155565583,0.041277462,0.273564684,-0.212474189,0.178724232,0.058650375,0.099924302
A3KMH1,-0.18386839,-0.22658774,-0.07654422,-0.16982259,-0.4967432,-0.36561177,-0.04860794,-0.36783785,-0.39644323,-0.66775234,-0.3797319,-0.72147053,-0.26210944,-0.47799325,-0.12550453,-0.39632202
A6NDG6,-0.82931484,-0.15980664,-0.1050088,-1.11990652,-0.59454161,-0.7136382,-0.03611602,-0.29786659,-0.62283608,-0.70992696,-0.18151056,-0.4590658,-0.96683784,-0.06643579,-0.59128621,-0.1923784
A6NHL2,-0.35084347,0.22319368,0.16559167,0.28705411,0.10740043,-0.63412126,-0.09658708,-0.59038263,0.09702432,-0.15662698,0.03833031,0.0207259,0.3631779,-0.32223816,0.20853432,0.06613673
A6NHX0,-1.2955813,-1.2045026,-0.9457823,-1.2075566,-0.9621193,-0.9038667,-0.7248486,-0.9011794,-0.7095326,-1.1380377,-1.0768819,-0.9329444,-0.8660553,-0.5547376,-0.9108469,-0.9635453
E9PAV3,0.233378541,0.093895905,-0.165822541,-0.113748622,-0.303967538,-0.246378359,-0.006388339,0.250183171,0.089826394,-0.2140345,0.20144248,-0.303741569,-0.044936358,0.034197109,0.333792117,0.250615957
O00139,0.1935007,0.1424073,0.2663366,0.3872898,0.1531473,0.2791624,0.3539763,0.4401079,0.1549767,0.2619574,0.2030476,-0.256766,0.1611288,0.1815108,0.3554969,0.2897164
O00154,0.8773189,0.8049929,0.4182922,0.9161676,0.7830005,0.6588513,0.9518087,0.7459328,0.8207425,0.8780655,0.9028937,0.7320911,0.7923625,0.78309,0.7608551,0.7548225
O00168,-0.5007195,-0.4505683,-0.4881307,-0.4942999,-0.4225834,-0.6461037,-0.6760764,-0.5729009,-0.4704023,-0.5141005,-0.4877087,-0.3140955,-0.4955021,-0.2019306,-0.3813494,-0.3394997
O00170,-0.363988864,0.058741256,-0.34050319,-0.358731372,-0.361550682,-0.568890235,-0.241642275,-0.10675737,-0.170497261,-0.006124592,-1.007371807,-0.526586283,-0.121810971,-0.332724696,-0.764728181,-0.821546769
O00178,-0.5579586,-0.8286044,-0.5838073,-0.7874687,-0.622664,-0.9132089,-0.5614247,-0.790306,-0.4703244,-0.8454667,-1.0745321,-0.3930008,-0.513214,-0.7532197,-0.5187504,-0.8758787
O00186,-0.195391116,-0.502242697,-0.044416471,-0.430089062,-0.042553479,0.111836597,-0.265072535,0.081071247,-0.005130526,-0.244033496,0.038001607,-0.237217084,-0.109093618,-0.275224031,-0.252719432,0.038315984
O00192,-0.445550635,-0.155106591,-0.432697529,-0.558213592,-0.173676806,-1.127834571,-0.996169643,-0.744704344,-0.537290624,-1.144671209,-0.485288312,0.007640104,-0.150014176,-0.701239377,-0.63554852,-1.093672163
O00194,-0.8468506,-0.3383965,-0.3920616,-0.380753,-0.5632316,-0.2772443,0.1633915,-0.572515,-0.5334142,-0.6829458,-0.2882874,-0.2416416,-0.3240503,-0.6690629,-0.3856356,-0.4970019
O00213,-0.033205487,-0.272464521,-0.248027517,-0.040943412,0.008584011,-1.233112322,-0.190542956,-0.302465634,-0.25205102,-0.301112062,-0.040873938,-0.093678278,-0.217688142,0.030371497,-0.193028951,-0.163453112
O00217,-0.06181325,0.1865696,0.22756691,-0.05105828,-0.43197512,0.30476586,0.39676054,0.24012542,0.2501044,0.31725179,0.31514271,0.21523671,-0.17221763,-0.03407155,0.17527191,0.22904888
O00231,1.4302782,1.4933052,1.4050311,1.4196735,1.4956193,0.4833885,0.5326336,1.4640355,0.4236089,1.3748932,0.4697123,1.4882964,0.4329913,1.5317251,0.3828857,1.4284966
O00232,-0.27142698,0.15842163,0.33985564,0.42032491,0.1926114,0.2190116,0.33299808,0.1453931,0.31979343,-0.09192512,-0.04318185,0.33721935,0.05508811,-0.59311259,0.0733294,0.10750363
O00233,-0.21211546,-0.17276552,-0.66452196,-0.81526404,-0.40396687,-0.31774723,-0.65325464,-0.02786362,-0.14513723,-0.36906385,-0.34909022,-0.40555028,-0.38328285,-0.68664368,-0.41992863,-0.94861819
O00244,-0.9157493,-0.1637391,-0.4901855,-0.4878241,-0.6743326,-0.4874867,-0.512063,-0.1580388,-0.9273853,-0.5195954,-0.5316951,-0.8721247,-0.7036585,-0.427623,-0.5109845,-0.711059
O00264,0.4960533,0.4287467,0.1724958,0.4821863,0.4420203,0.6389247,0.6909597,0.5535306,0.3719297,0.3382819,0.4054496,0.3351151,0.5567127,0.6841334,0.4686119,0.5322179
O00299,0.4069889,0.6480119,0.5693002,0.3360056,0.5921635,0.5756167,0.1878662,0.5851628,0.700839,0.5345952,0.5008189,0.3914388,0.3133208,0.5043128,0.4295754,0.6686524
O00303,-0.140380097,-0.068409794,-0.615124189,-0.11233339,-0.206160256,-0.500613424,-0.832364531,0.063486072,-0.14562268,-0.15756447,0.001641081,-0.042282404,0.056314988,-0.08465337,-0.083414114,0.034087318
O00305,-0.6767669,-0.4648819,-0.9365936,-0.6838465,-0.9609552,-0.6456604,-0.1232242,-0.8221557,-0.9664777,-0.7641851,-0.8758579,-0.2687001,-0.8826196,-0.9225225,-0.8665893,-0.6502934
O00330,0.28028419,0.0727144,0.12443845,0.31583606,-0.06825472,0.15610272,0.37562307,0.15817835,0.04915176,0.39359028,0.16275534,0.11921716,0.23780823,0.08720247,0.141281,-0.40612861
O00399,-0.24388519,-0.47085685,-0.28238151,-0.83200631,-0.32954395,-0.2167628,-0.28436188,-0.95279353,-0.07940114,-0.32917412,-0.34084057,-0.22522297,-0.78150176,-0.44567301,-0.42660062,-0.43487266
O00400,-0.64653865,-0.3111885,0.0898987,-0.41019952,-0.28830167,-0.35086656,-0.25915036,-0.40491135,-0.41554527,-0.30557571,0.08004398,-0.47093093,-0.4589454,-0.45987157,-0.35081512,-0.5470034
O00401,-0.7939702,-0.66677,-0.3902385,-0.5538148,-0.7911092,-0.4234081,-0.2014929,-0.3296964,-0.2311248,-0.311597,-0.6678247,-0.6457893,-0.7313003,-0.5179116,-0.672289,-0.354086
