proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18
A0AVT1,0.48473999,0.31618172,0.8176929,0.88948552,0.08935073,-0.27074233,0.0205691,-0.01397308,0.28539506,-0.11967665,0.07444153,0.10921065,0.49235246,0.47942966,0.04441031,0.43100889,0.09256918,0.2125672
A0FGR8,0.27580619,-0.16204881,-0.01574528,0.12584969,-0.19446188,-0.59898245,-0.52669435,-0.3267843,-0.32591565,-0.16732063,-0.36173413,-0.5506995,0.27163612,0.21595239,-0.3001866,-0.44563464,-0.40072244,0.09915539
A0JNW5,-0.60672566,-0.63775334,-0.55900106,-0.54148421,-0.50107378,-0.46447706,-0.99488794,-0.68487632,-0.99521825,-0.7847632,-1.06316635,-0.05365224,-0.88850063,-1.04658201,0.00968881,-0.84932868,-0.69620168,-1.51548185
A0MZ66,0.35601214,0.20575748,0.60400178,1.02182933,0.15764115,0.23278099,0.63283143,0.01894456,0.15490896,0.36316229,0.40112302,0.3630119,0.75873573,0.77873145,0.59122887,0.77124483,0.66497014,0.49381431
A2RRP1,0.08594127,0.06946595,0.20075147,0.17646094,0.13378621,-0.3592537,-0.65011129,-0.57160657,-0.01855305,-0.28284565,-0.33747427,0.02131465,-0.11391387,-0.14409758,0.107834,-0.20076721,-0.32157231,-0.32173792
A2RUH7,0.10822859,-0.65894824,0.0674225,0.27321907,0.30994704,0.05118859,0.13166788,-0.16903446,-0.62740501,-0.05874653,-0.18243803,0.17515717,-0.02320266,-0.29271682,0.11480582,-0.26234384,-0.39537768,-0.33376411
A3KMH1,0.60197268,0.47216742,0.16627518,0.56308849,0.43360746,0.92753783,0.78535149,0.4040455,0.32365782,0.50571221,0.23317236,0.95849533,0.04543453,-0.11399593,1.13121393,-0.21899249,-0.30042496,-0.22185513
A5PKW4,-0.2027198,0.08467789,-1.51248944,-0.16313754,0.04688605,0.15860844,-0.75178598,-0.17186614,-0.94696199,-0.4879837,-0.18502831,0.50021285,-1.16080623,-0.95012084,0.16247035,-0.49126211,-0.65182755,-0.78246707
A5YM72,-0.46564856,-0.53658746,-0.72807669,0.50361317,-0.50384438,-0.30265548,-0.28596479,-1.08427461,-1.37402593,-0.66802023,-1.0092035,-0.30035148,0.49006007,0.24794659,-0.31316831,0.36096727,0.03383929,-0.25793283
A6NHL2,1.29383,1.220178,1.34726,1.48776,1.352575,1.229963,1.712132,1.159553,1.057546,1.224342,1.679693,1.2151,1.603524,1.6549,1.263577,1.686788,1.645138,1.589662
A6NIH7,-0.2969231,-0.2393008,-0.3210848,-0.2917821,-0.4612607,-0.2329643,-0.3758402,-0.5109662,-1.2172624,-0.411116,-0.5254466,-0.5647809,-0.5181073,-0.626166,-0.2258759,-0.2710559,-0.3840731,-0.4222806
A6NNT2,-0.02091596,-0.04816138,-0.02198644,-0.3544109,-0.09755574,0.41618335,-0.18224802,-0.09932641,-0.54366923,-0.20523608,-0.06922927,0.19161743,-0.92169052,-0.38316499,0.3113679,-0.40627467,-0.25957211,-0.11213794
A6XGL0,-0.6045389,-0.1910522,-0.5074425,-0.7139759,-0.342682,-0.3396354,-0.4327421,-0.4621216,-0.9615639,-0.5408797,-0.3123505,-0.2710135,-0.692161,-0.6168023,-0.3944665,-0.5617802,-0.81059,-0.5882492
A6ZKI3,-0.4940533,-0.7921773,-0.6125615,-1.5415956,-0.9153991,-1.0349832,-0.4509241,-0.5483827,-1.1264144,-0.8976482,-0.5327927,-0.6768844,-0.9628723,-0.740871,-1.085746,-0.5614105,-0.4512866,-1.0975006
A8MU93,-1.2352389,-0.8649662,-1.3602278,-0.6527952,-0.3454293,-1.48557,-0.917775,-1.197747,-1.5933542,-1.1210076,-0.8842801,-1.4092604,-0.827758,-0.8771519,-1.0080341,-1.0142999,-0.5303805,-1.0433662
A8MVW0,-0.15103183,-0.37713071,-0.03235637,-0.77921886,-0.22068937,0.14098875,-0.4224636,-0.26189199,-0.72580817,-0.46025142,0.06712526,0.20992968,-0.74026688,-0.48977056,-0.05894387,-0.14365273,-0.6198904,-0.70417302
A8MXV4,-0.6401583,-0.4797825,-0.5336333,-0.4226964,-0.4826769,0.1204469,-0.6966971,-0.4965097,-0.7450429,-0.6381087,-0.2890981,-0.5063498,-0.8368591,-0.8721419,-0.3615299,-0.4597128,-0.531825,-0.6877068
B2RTY4,-0.8243585,-1.1908282,-0.7514468,-1.0548248,-0.2910917,-0.7210538,-0.7487372,-0.8905146,-1.3110084,-1.2863298,-0.5077529,-0.5911415,-1.3597957,-1.1340046,-1.0076628,-0.9911983,-1.0932772,-1.2088703
C9J069,-0.5398108,-0.23062359,-0.09029459,-0.72849328,-0.51580648,-0.58840414,-0.51840624,-0.37475485,-1.0288358,-0.48783201,-0.29067573,0.61216778,-1.3499631,-0.55627597,-0.69903185,-0.43361099,-0.37623143,-0.79956696
E9PAV3,-0.7373391,-0.8481481,-0.8694017,-0.9934368,-1.0744622,-0.7710004,-0.9356887,-0.9473696,-0.8930788,-0.8655924,-0.8433338,-0.9645141,-1.1072463,-1.284306,-0.711763,-0.882725,-0.935624,-1.0812226
O00116,-0.7558927,-0.6380605,-0.7966611,-0.8922461,-0.5748438,-0.5588419,-0.6951921,-0.9816562,-0.8770096,-0.8070818,-0.2733359,-0.7968951,-0.8146661,-0.7810711,-0.8002829,-0.2247079,-0.2272294,-0.7277815
O00139,1.0703664,1.0684267,1.2777789,1.2252912,1.0957575,0.4789473,0.6104421,0.9503974,1.0215506,0.9859268,0.898942,0.6395377,1.1107963,1.0540522,0.8400454,0.9349003,0.9291107,1.0423544
O00142,-0.5542211,-0.5129373,-0.6091509,-0.6560529,-0.845322,-0.5653136,-0.8065345,-0.5168988,-0.8501986,-0.1421779,-0.5413008,-0.8510436,-0.8780522,-0.6560091,-0.6744802,-0.7507114,-0.5768136,-0.6393292
O00154,1.0099034,0.9378049,0.7594273,0.9791411,1.0384457,1.2559105,0.9726118,1.1194392,1.3015544,1.3516012,1.0088404,0.9883502,1.1400026,1.1689568,1.0913755,1.1340664,1.2172907,1.2630823
O00159,0.053855176,-0.436394197,-0.227984078,0.012877818,-0.085285217,-0.488824303,-0.872892247,-0.161202568,-0.000244922,-0.300857328,-0.437328086,-0.047097634,-0.293268126,-0.324136457,-0.2462988,-0.247263924,-0.057258319,-0.227401934
O00170,0.4583697,0.5149413,0.5794723,0.548636,0.429318,0.4997333,0.6965157,0.3888082,0.1135799,0.397407,0.5887675,0.2130916,0.6673394,0.6672347,0.3616442,0.7142417,0.5823523,0.6047847
O00178,-0.16162169,0.36161082,-0.14831443,0.02022205,0.1748215,-0.19887316,-0.78857842,-0.03451752,-0.35470666,-0.57115054,-0.78574185,-0.03617694,-0.49601952,-0.65871767,0.08458375,-0.73398024,-0.30116585,-0.30439317
