proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18
A0A024RBG1,0,0,1417100,0,0,350410,0,0,0,0,0,447640,0,0,102860,0,0,322280
A0AVK6,0,19350000,0,0,8186200,0,1078900,6281900,0,0,0,0,0,1983700,0,0,0,0
A0AVT1,14428000,9525600,26985000,22155000,4319900,1722000,4446800,4397900,11976000,2673700,7261200,4688300,23364000,22410000,3476200,17322000,8700600,14698000
A0FGR8,8918100,3167100,3959900,3818000,2247300,808710,1261200,2140100,2930900,2395900,2659700,1025900,14055000,12217000,1572200,2301200,2794200,11320000
A0JNW5,1168800,0,0,821300,1109300,0,0,938300,627620,578130,528930,3222200,972060,0,3209100,0,0,274910
A0MZ66,10727000,7387000,16498000,30048000,5055500,5489800,18210000,4744200,8868000,8127400,15406000,8410400,43145000,44642000,12244000,37917000,32505000,28087000
A1L0T0,0,0,344830,414610,300570,84022,0,0,542770,798340,0,0,0,0,0,0,568860,599200
A2RRP1,5759800,5397300,6519000,4289900,4785300,1404500,949220,1217900,5947900,1836300,2812500,3829300,5784700,5332300,4022800,4044100,3352800,4294900
A2RUH7,6063100,1008700,4795700,5360500,7179100,3613800,5743100,3077400,1463900,3076400,4019100,5457100,7128400,3787000,4087900,3509500,2828800,4177600
A2RUS2,0,0,0,0,0,0,17971000,0,0,0,0,0,0,0,0,0,0,0
A3KMH1,18899000,13642000,6021500,10449000,9544000,27184000,25872000,11515000,13079000,11285000,10465000,33136000,8348900,5715000,42453000,3877900,3520100,5405500
A4D161,469820,0,170210,0,0,0,0,0,361170,262610,0,101910,0,995930,125450,1024300,0,778700
A4D1E9,0,1256200,0,0,0,0,3343000,1231200,0,0,0,2287500,0,0,3511300,0,1242100,0
A5PKW4,2963100,5589700,126160,0,3917500,4627900,751090,3057400,701380,1145000,3995200,11535000,519260,833470,4562100,2071700,1567300,1486700
A5YM72,1617400,0,0,9111700,0,1600000,2195400,374060,262350,756430,598910,1825800,23241000,13151000,1525900,14742000,7600100,4974600
A6NCS6,0,0,0,0,0,0,0,0,0,0,481140,0,0,0,0,381980,493790,0
A6NDG6,380660,435670,436430,135270,0,894020,0,0,733170,0,0,318260,0,0,181760,0,529810,0
A6NDU8,0,0,0,162050,0,0,0,0,0,0,0,0,1761500,835320,0,226040,0,679530
A6NFN3,0,0,0,0,0,1151700,1084000,0,0,0,0,0,0,0,0,0,0,0
A6NHL2,92960000,76364000,91346000,87851000,79195000,54543000,218580000,65580000,70870000,59038000,292590000,59828000,301800000,335670000,57580000,312160000,310540000,350230000
A6NHQ2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1309500,832000,0
A6NIH7,2385300,2651000,1960400,1459500,1215800,1878500,1785000,1400400,376400,1366700,1824400,993170,2280800,1757300,1865600,3439800,2903400,3407300
A6NL88,364790,0,0,0,285870,0,272110,537130,0,0,0,1529500,0,0,417970,0,0,0
A6NNT2,4503500,4116700,3903400,1263500,2809100,8374500,2787600,3613200,1775200,2195600,5216000,5667900,900540,0,6427800,2519500,3867300,6959100
A6XGL0,1174700,2962500,1276400,552090,1597500,1469400,1565800,1567100,678190,1013700,2980000,1953400,0,1795600,1265400,1761200,1087400,2325100
A6ZKI3,1515000,742220,1002000,82105,427290,296340,1501600,1284800,463980,445800,1793800,767220,819070,1349400,257600,1762700,2487100,719760
A7KAX9,0,1795800,0,0,152930,0,0,0,0,0,652090,1819300,0,0,0,0,920070,0
A8MU93,274930,0,179140,635610,0,105000,512510,0,158320,0,798520,142080,0,0,0,621280,2073000,815310
A8MVW0,3337600,1930100,3811300,475080,2115600,4443900,1603300,2485000,1167100,1220500,7139900,5912000,1367500,2405700,2740000,4612500,1686900,1780400
A8MWX3,28753000,0,5784800,0,0,9094700,0,0,0,0,0,0,6842400,611020,0,528190,3917300,0
A8MXV4,1082200,1523800,1201700,0,1157300,4238600,852670,1447800,0,0,3143900,1136200,1094800,997400,1365100,2227800,0,1849200
B1ANS9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2RTY4,708120,296400,727750,251860,1799000,610550,0,584390,303320,182160,0,934680,328390,0,308340,0,0,0
C9J069,1363500,2704500,3335300,533940,1072300,828650,1285500,1916300,580870,1145400,3132500,14927000,335910,0,627570,2365800,2956300,1429300
E9PAV3,865220,0,554660,290100,296250,544220,491800,0,0,479950,877470,395630,0,386100,609440,841130,815370,747250
O00116,0,1058400,0,0,0,887020,855630,0,823960,549170,3260100,0,1152200,1230100,0,3827200,4166300,1686200
O00139,55569000,53844000,77841000,48004000,43841000,9676600,17295000,40515000,65233000,34097000,48474000,15898000,97049000,84152000,21714000,55270000,59716000,99322000
O00142,1319000,1411800,1009900,630860,0,873900,662130,1381400,876430,2538700,1759000,513760,995730,1640600,664070,0,1862800,2067100
O00148,0,0,1052500,0,518620,0,569940,0,770170,0,0,0,654740,34639,0,0,0,0
O00154,48347000,39858000,23597000,27235000,38421000,57901000,39819000,59794000,124300000,79139000,62432000,35494000,103800000,109640000,38732000,87429000,115950000,165110000
O00159,5349600,1683900,2429100,2943500,2889600,1042200,568310,3133400,6204000,1761700,2234800,3271200,3827600,3522700,1779900,3633500,6162000,5336900
O00170,13578000,15054000,15592000,10107000,9450200,10151000,21086000,11118000,8063000,8794200,23732000,5955200,34957000,34534000,7216700,33253000,26874000,36264000
O00178,3257200,10576000,2918200,2993700,5259500,2031900,690080,4194700,2742900,945450,1001900,3354500,2399800,1630400,3813100,1184700,3514100,4469900
O00182,0,163620,857860,547590,0,0,854810,448950,991470,62436,0,422700,1441900,0,205200,1285800,6807800,1837700
O00186,9162000,4194400,12128000,14487000,4271100,2114400,5311400,5178400,1716900,3306900,4960200,3133700,16202000,19165000,5197400,15475000,13952000,18316000
O00192,1174800,1540100,2287800,362130,1884500,1439400,0,1794000,1047600,234040,1053000,2691100,1064300,0,574050,709380,906520,396620
O00194,1607500,1958000,1453600,249080,889400,1526100,0,887860,961830,965270,1871600,989480,153800,0,495020,1788000,540890,2108800
O00203,0,0,0,0,0,0,0,0,1737900,0,0,0,0,0,0,0,0,0
O00213,12064000,20984000,14143000,8080400,10815000,11707000,9976600,11873000,11788000,6285300,14875000,22751000,9014100,12471000,16965000,19307000,19831000,22466000
O00214,407130,550440,304920,0,335060,0,593330,0,776840,0,0,0,0,1974700,0,499170,635140,0
O00217,10450000,18090000,13097000,4323900,13894000,10540000,9965100,24517000,49875000,15028000,16690000,8834100,69725000,39183000,5029400,20136000,27760000,33504000
O00231,6459400,4083100,8530700,5668800,5242400,879890,4185800,5094700,4396800,742570,4504800,2701900,18825000,8288100,3239800,5765200,4751600,12504000
O00232,9290600,3464800,10616000,7651700,3877900,829280,2287200,3630200,6680100,1370800,4326700,3945900,20423000,16112000,1369600,3085300,3352900,17997000
O00233,2015100,0,1227500,732530,722130,0,570600,0,152570,320730,848340,1096000,0,803100,550220,1497000,74567,0
O00264,13413000,8302200,10837000,8740500,5491800,3250800,7616400,10461000,42115000,13488000,7597900,3325900,69874000,95214000,3224800,18254000,26148000,81094000
O00291,1108900,0,0,2932000,0,0,1019600,0,2552000,248070,560390,129130,7473500,5558900,0,3860200,0,1057300
O00299,436750,365620,366410,509330,0,0,0,1061200,8402200,0,0,0,9927800,2345800,0,672870,139980,4918300
O00308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381030,0
O00330,32282000,60449000,39447000,18645000,54933000,112640000,117530000,98286000,103740000,54462000,118430000,101150000,97463000,171330000,138220000,120070000,112340000,143400000
O00399,874620,1404100,1113500,915420,1485600,1569700,1722300,3240500,1673100,0,846150,1997600,766520,968780,1721200,921790,202320,549290
O00408,64077000,33988000,79924000,50439000,21780000,13829000,10987000,34639000,54162000,20109000,23199000,11562000,55760000,78504000,10652000,60071000,35449000,78282000
O00410,6496200,2082200,4275400,5891900,3930800,2810900,0,3884200,61547000,3396500,1035900,3224300,57257000,11057000,1103100,0,2125300,46215000
O00411,755050,0,0,0,230140,0,0,0,254540,0,368910,1128400,0,367200,1332900,162970,0,0
O00422,0,109820,0,0,0,0,182160,0,0,642670,1529600,0,450050,0,0,0,0,330760
O00429,45664000,17200000,37749000,38451000,12092000,11169000,12200000,14982000,66273000,11642000,17628000,22522000,183560000,142160000,19871000,19696000,28885000,161070000
O00442,17155000,13330000,17646000,31778000,14467000,20827000,28239000,18108000,12262000,16046000,28641000,24380000,30266000,22740000,20031000,19826000,28245000,24939000
O00444,0,3124400,0,0,0,1770000,0,0,0,689400,0,0,0,2246000,0,0,0,2380700
O00468,9401600,10828000,3125200,6927100,9920200,13297000,13044000,6360600,3385200,1217400,37024000,21704000,8317900,19678000,31701000,25650000,30155000,16709000
O00471,3834500,4780600,4877400,2949600,2748700,973920,3349700,2422800,6390100,1375500,2958800,0,10522000,6944900,1366800,5499300,2886600,9614200
O00478,8847300,5228900,11183000,6288400,8781700,2634200,45904000,2394600,2509200,39042000,64465000,1451400,5080900,11054000,4014700,60589000,18713000,7849100
O00483,474350,2423400,1334700,231230,1091100,537260,1118800,1641700,4065100,1450100,3541300,979210,3553800,4063600,775670,2954000,2361600,2407000
O00499,7658800,9939100,12427000,9231100,7988000,17638000,35150000,12375000,47113000,16553000,10405000,16570000,23778000,27276000,31771000,37405000,28602000,33541000
O00505,1712600,798250,2377400,3475200,214510,0,2055400,0,6207500,4005300,5327000,323000,19624000,14690000,293780,9266600,8012900,22916000
O00506,2030100,2195000,1726200,1571000,967760,0,850090,1473800,3866500,1456500,1714100,1279700,3812200,3570600,1145600,1880200,4600600,6141900
O00507,0,0,0,0,370030,0,0,0,0,0,91179,164090,0,0,195890,0,0,0
O00560,15909000,20196000,13535000,12940000,16515000,16208000,18475000,13594000,11233000,13255000,13984000,12805000,11915000,9314700,11712000,19803000,17259000,14288000
O00562,4527500,7743800,3324000,158380,2434100,2129600,2492200,3431000,914290,989790,1800300,3924100,2456000,2551500,3312800,694020,2612800,1048200
O00567,0,0,95188,0,127450,0,0,0,0,0,0,0,538440,0,0,0,0,0
O00571,42082000,58560000,66620000,42150000,37661000,30291000,34924000,48877000,38717000,27657000,71769000,56818000,78241000,48282000,55043000,64423000,79162000,57459000
O00629,4288600,0,5511600,3230900,1521700,0,2273800,0,16049000,6417500,3468100,381780,14792000,10515000,0,5004200,820000,12989000
O00743,1424500,0,1207600,265070,570800,325090,0,1155500,3692100,1727300,418290,2027900,1308300,4764600,0,3048400,1539600,4241500
O00764,286380000,252670000,204860000,207410000,270160000,64847000,222210000,273050000,330960000,208460000,326170000,85322000,435620000,426640000,90742000,277150000,504470000,595450000
O14490,37415000,101940000,58647000,16695000,62984000,85442000,46438000,73641000,19559000,30948000,77669000,158310000,16638000,32365000,76511000,64573000,76047000,39881000
O14492,0,379410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O14522,5993000,13161000,9464700,1497400,3476500,6727600,5026400,8270300,3976800,6591800,12632000,5962100,1527600,2690300,8653600,2969100,4634300,5858800
