proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25
A0A075B6K4,,493260,,,,5719800,,766240,3704400,,,,,,6735100,,,,,675840,,,,,
A0A075B6S5,,10919000,,,,,,,,,,,,,8874800,,,,,,166490,,,,
A0A0B4J1V0,,,,,,809610,,,,,,,,,,,,,,1499600,,,26482000,1783100,
A0A0B4J1X5,,44558000,,23405000,38249000,1249300,31483000,5296300,261440,10092000,3460300,,,10760000,62655000,,15603000,,5531400,,3326600,,61899000,54606000,
A0A0B4J2F0,,,245080,,1603500,,,,2258200,,,,,,,,,,,1336200,,1057500,,,
A0A0B4J2H0,,,5418400,2487600,14114000,9806300,3361600,,,,,,,,,,,,,,,,14372000,32430000,
A0A0C4DH38,,,,,,3885900,,,,,,,,,,,,,,,,,630480,13450000,
A0A0C4DH68,,,,,,,,,11633000,,,,,,812040,,,,,8680700,,,6701800,,
A0AVT1,10996000,31276000,181770000,11002000,38122000,7170000,29009000,69254000,17299000,2392800,3111300,4821000,,2932800,8084500,,4977900,4811900,8996100,56367000,20670000,28463000,2795600,4417900,4570100
A0FGR8,2929800,7318400,,11002000,18767000,12835000,14120000,43735000,43716000,400860,550110,620450,,5898300,373930,,,4744300,16388000,31497000,78917000,3943200,808570,,1303300
A0MZ66,,,296720,,,791100,,,,,724870,,2861300,,,5068000,,7172100,15646000,10536000,,3456800,,,
A1L0T0,184890,2726300,,,,14518000,2234500,23823000,627580,,,,,,,,,,,1020300,19497000,,,3098900,
A1L188,,,,,,100560,,972100,3437900,,,,,,,,,,,,,,,,
A1L4H1,,,,,,,,,2096100,,,,,,,,,,,,,399830,2362000,6744100,
A2NJV5,,186690000,19984000,68015000,139070000,136250000,79488000,32165000,101740000,4092000,,15962000,7093000,28472000,105140000,9550600,6989800,10647000,46674000,10184000,16081000,3912300,51679000,175910000,29237000
A3KMH1,,3330700,3344700,514970,1736200,192630,300000,35823000,2675400,,,,,,1938700,320630,1071000,,,280790,13213000,1021000,,288430,
A5PLL7,,,,,,,,5686300,,,,,,,,,,,,,299070,,,,
A5YKK6,,1840800,,2066300,5343600,,5364400,14428000,1935600,,,1149400,,,,,,724750,1231400,,4584800,1539600,,295560,411650
A6NDG6,,942650,47774,5362000,,126740,1867500,24137000,,,,,,,,842200,,,,,835840,2937700,6133400,,
A6NHL2,,,,,22446000,4955300,4399700,51349000,45029000,,,,,,,,,,,28186000,51662000,42999000,7747100,2994800,22775000
A6NHQ2,,,22354000,,9085900,1668000,7710300,33372000,48304000,,,,,,,,,,,481700,43409000,19385000,,,
A6NHR9,,16667000,911290,57054,,,,10688000,634230,1514500,,,,,,,,,,1981400,4344300,12102000,,10224000,
A6NIH7,,18672000,4375100,4652500,,,,12041000,21992000,1876500,,749960,,,696680,1664700,1128200,6113400,7076500,11325000,4646100,4407500,,,
A6NKF1,,,,169530000,219990000,38254000,294360000,335270000,840720000,137670000,,272950000,3111600,13044000,951520,,82422000,857900,2331700,168710000,66619000,269800000,,,
A6NKT7,,2887400,,,5287300,1426500,6740300,12363000,620170,,,,29888000,,,,,2261200,1773600,,6041800,,,,
A8MQ11,,,,,,,,,,,2619900,,55322000,15848000,,19127000,,,,,,,,,
A8MWY0,,4949400,,1726800,,,,,6212200,,,,1591500,,,,411890,,1732500,15413000,1658400,39864000,113560,,
B2RUZ4,,,,,,,,,860660,,,,,,,,,,,,,,,,
E9PAV3,23352000,268400000,142720000,95967000,144910000,14869000,83863000,143900000,183230000,169700,24689000,10709000,166050,153420000,76278000,22513000,13832000,58438000,98857000,98021000,65880000,109450000,9475300,37907000,4591900
L0R6Q1,,11023000,1201300,1337800,10764000,3459600,3754500,13178000,46139000,,,,,3679500,5743700,,,784590,2007300,9462100,3304000,10746000,1030300,,
O00116,3979900,11820000,18889000,2065100,21418000,,,4241200,2971600,,,2800200,,,,,341530,,,,1939200,,2012500,2603900,
O00139,,,,,,,511980,3365700,566490,,339230,,,,,,,,,1957000,6541900,3740200,,,1560300
O00142,,837640,,583620,,,,16642000,43582000,,,,,362360,4366700,,18227000,,,,,,110090000,,
O00148,,4271800,9495900,1984800,29502000,,587950,16464000,48133000,,,,,,,,,3100000,,,2033900,,654370,,
