proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25
A0A075B6K4,0,493260,0,0,0,5719800,0,766240,3704400,0,0,0,0,0,6735100,0,0,0,0,675840,0,0,0,0,0
A0A075B6S5,0,10919000,0,0,0,0,0,0,0,0,0,0,0,0,8874800,0,0,0,0,0,166490,0,0,0,0
A0A0B4J1V0,0,0,0,0,0,809610,0,0,0,0,0,0,0,0,0,0,0,0,0,1499600,0,0,26482000,1783100,0
A0A0B4J1X5,0,44558000,0,23405000,38249000,1249300,31483000,5296300,261440,10092000,3460300,0,0,10760000,62655000,0,15603000,0,5531400,0,3326600,0,61899000,54606000,0
A0A0B4J2F0,0,0,245080,0,1603500,0,0,0,2258200,0,0,0,0,0,0,0,0,0,0,1336200,0,1057500,0,0,0
A0A0B4J2H0,0,0,5418400,2487600,14114000,9806300,3361600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14372000,32430000,0
A0A0C4DH38,0,0,0,0,0,3885900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630480,13450000,0
A0A0C4DH68,0,0,0,0,0,0,0,0,11633000,0,0,0,0,0,812040,0,0,0,0,8680700,0,0,6701800,0,0
A0AVT1,10996000,31276000,181770000,11002000,38122000,7170000,29009000,69254000,17299000,2392800,3111300,4821000,0,2932800,8084500,0,4977900,4811900,8996100,56367000,20670000,28463000,2795600,4417900,4570100
A0FGR8,2929800,7318400,0,11002000,18767000,12835000,14120000,43735000,43716000,400860,550110,620450,0,5898300,373930,0,0,4744300,16388000,31497000,78917000,3943200,808570,0,1303300
A0MZ66,0,0,296720,0,0,791100,0,0,0,0,724870,0,2861300,0,0,5068000,0,7172100,15646000,10536000,0,3456800,0,0,0
A1L0T0,184890,2726300,0,0,0,14518000,2234500,23823000,627580,0,0,0,0,0,0,0,0,0,0,1020300,19497000,0,0,3098900,0
A1L188,0,0,0,0,0,100560,0,972100,3437900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1L4H1,0,0,0,0,0,0,0,0,2096100,0,0,0,0,0,0,0,0,0,0,0,0,399830,2362000,6744100,0
A2NJV5,0,186690000,19984000,68015000,139070000,136250000,79488000,32165000,101740000,4092000,0,15962000,7093000,28472000,105140000,9550600,6989800,10647000,46674000,10184000,16081000,3912300,51679000,175910000,29237000
A3KMH1,0,3330700,3344700,514970,1736200,192630,300000,35823000,2675400,0,0,0,0,0,1938700,320630,1071000,0,0,280790,13213000,1021000,0,288430,0
A5PLL7,0,0,0,0,0,0,0,5686300,0,0,0,0,0,0,0,0,0,0,0,0,299070,0,0,0,0
A5YKK6,0,1840800,0,2066300,5343600,0,5364400,14428000,1935600,0,0,1149400,0,0,0,0,0,724750,1231400,0,4584800,1539600,0,295560,411650
A6NDG6,0,942650,47774,5362000,0,126740,1867500,24137000,0,0,0,0,0,0,0,842200,0,0,0,0,835840,2937700,6133400,0,0
A6NHL2,0,0,0,0,22446000,4955300,4399700,51349000,45029000,0,0,0,0,0,0,0,0,0,0,28186000,51662000,42999000,7747100,2994800,22775000
A6NHQ2,0,0,22354000,0,9085900,1668000,7710300,33372000,48304000,0,0,0,0,0,0,0,0,0,0,481700,43409000,19385000,0,0,0
