proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
A0A075B6K5,0,0,2223.8,0,2887.6,0,1779.2,2443.9,0,0,864.18,1597.8,0,1377.4,0,3979.6,0,0,3439.6,0,0,0,0,0
A0A0B4J1Y9,0,0,0,0,0,1717.1,0,1245.4,0,0,0,0,2597.6,2615.7,1974.7,5814.6,0,0,0,0,5093.8,1310.4,0,0
A0A0C4DH36,1671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3517.8,0,0,0,0,0,0,0
A0A0C4DH38,0,0,871.02,0,0,0,0,0,0,0,0,0,0,0,0,1765.3,0,0,0,0,4084.4,0,0,0
A0A0C4DH67,974.69,857.62,0,0,0,0,0,0,0,0,0,0,0,0,0,1704.2,0,0,0,0,0,0,0,0
A0A0C4DH68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3105.4,0,0,0,0,0,0,0,0
A0AVT1,17065,12432,14848,27890,7838.7,30870,21497,20990,19027,25814,14679,20098,20496,24127,18725,31418,11094,12837,15772,20137,27081,22794,12082,19839
A0FGR8,2459.1,1247.5,0,0,9560.8,0,2703.6,1737.9,0,3844.9,0,3627.2,0,2703.8,0,1465.8,1272,2087,1943,0,1851,1573.5,1320.9,2322.9
A0MZ66,0,0,2063.7,5784.3,0,2708.5,2125.3,1979.2,4118.4,0,3424.2,4864.2,3758,3645.2,2276.1,2790.1,3877,3124.2,2683.5,13320,1808.8,1537.5,10981,7442.7
A1L0T0,1403.3,3563.9,2392.6,6007.7,9241.9,1139.5,6066.3,4524,2261.5,7730.7,7642.8,5578.8,8317.5,8089.3,0,11673,6455,2058.7,5240,4209.6,14191,4675.7,3133.2,1615.6
A1Z1Q3,1662.3,1458.8,0,4575.3,0,10569,1582.2,0,2059.5,1659.8,0,8934,2224.2,0,0,5015.3,4757.2,0,3259.5,6823.7,4444.8,2779.2,1700.5,0
A2NJV5,0,0,9301.8,0,8243.9,0,1151.7,0,0,0,26970,0,0,0,0,0,747.64,0,0,0,39054,0,0,0
A2RTX5,1650.5,1659.6,1609.3,0,1399.4,2895.3,0,0,0,13582,0,3224,5146.4,1458.9,1655.3,451.63,1722.3,1539.2,1252.7,4880.1,1663.3,1476.2,2151.5,1317.9
A2RU67,0,0,0,0,0,0,1766.3,0,0,0,1197.7,0,0,0,0,0,0,0,0,0,1507.4,0,0,0
A2RUR9,2028.6,60077,20960,1490.9,0,2608.3,1695.4,33211,32614,21785,9016,0,24234,2595,9054.8,13809,0,9264.2,17583,8591.9,9202.6,5897.5,1160.8,2791.3
A3KMH1,506.67,0,3712.8,0,554.57,566.63,0,0,0,0,0,462.47,0,487.65,0,0,0,0,0,1134.3,0,0,472.96,0
A4D1P6,1560,0,0,0,4019.5,0,0,0,5199.5,0,4716.7,0,2887.1,0,0,4180.3,0,0,0,0,0,0,0,0
A5A3E0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A5PKW4,2113.8,0,0,0,0,0,0,0,1000.8,0,0,0,1557.8,0,0,0,0,0,1750.4,0,0,0,1990.4,0
A5PLK6,6101.4,0,0,0,0,0,0,0,0,0,0,0,1533.8,0,0,0,0,0,5133.6,0,6690.3,0,0,0
A5YKK6,0,456.25,1534.6,602.44,722.69,0,907.79,709.72,763.95,837.03,2098.8,920.75,784.07,827.62,898.3,891.03,760.42,1322,583.79,1055,921.15,622.62,607.52,0
A5YM72,2272.2,458.44,7865.5,1310.4,2419.7,2570.9,10080,5404.4,5648.2,5563.3,830.3,1387.7,1344.6,0,17043,3253.6,9504.7,4498.3,674.52,11942,0,10106,1661.1,16566
A6NCN2,0,605.47,0,0,0,0,0,0,16377,0,0,0,0,0,0,0,0,0,554.68,0,0,0,0,0
A6NDG6,15758,3463.9,4940.7,12257,5748.3,15314,15711,14791,8282.8,8403.1,3028.7,13283,1192.1,5615.4,10360,10924,9581.4,15262,1880.8,6858,4983,4779.2,11802,6959.5
A6NDU8,3547.7,0,4180.2,4072,1223.1,3863.9,1792.2,1776.8,1672.3,2150.5,2097.3,4181.8,4270.5,4200.4,5686.5,2015.6,1557.8,1282,2047.8,5242.3,4117.4,0,1719,1191.9
A6NFH5,617180,0,0,0,0,0,0,0,0,0,0,0,749450,0,0,0,0,0,0,0,0,0,254540,5671.2
A6NHL2,17943,0,16625,16220,8974.1,11214,9091.3,13143,8877.7,2411.8,9997.5,10081,11588,8874.8,8868.3,13581,9269.7,0,16239,14493,11397,12679,9534.7,14057
A6NHX0,4620.5,2717,4350.9,5577,361.66,5176.5,1483.5,2625.3,7277.3,9832.9,807.62,4234.7,8524.6,7307.2,2121.3,4556.4,3314.2,7387.9,4232.6,5659.7,5125.6,2429.7,3203.3,2385.2
A6NIH7,0,0,0,0,0,0,0,0,0,2928.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A6XGL0,0,0,0,2111,0,3043.2,0,0,0,2335.4,2271.5,4862.7,0,932.44,5151.4,1594.8,3894.8,0,0,0,1332.2,0,1523.6,2089.8
A6ZKI3,0,0,0,754.59,0,891.92,3357.8,0,0,0,1561.8,0,1226.2,0,709.38,0,1115.7,1338.2,959.56,0,0,0,2718.2,0
A9Z1Z3,0,0,0,0,0,0,1270.4,1261.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880.65
C9J069,925.98,0,0,691.82,1009.9,0,0,0,0,0,0,0,1534.1,1009.1,0,1007.6,0,1176.5,778.48,0,0,0,0,0
E9PAV3,6852.2,5613.5,7865.4,11484,9599.7,7436.3,12838,13251,11717,17106,17573,16363,7908.1,8770,14553,12232,11330,2033.5,12503,20559,9922.2,17059,14864,3605.4
O00139,25106,14418,13872,17632,4305.2,18888,7784.4,15735,13005,12142,25511,16855,13076,18426,35610,17976,13600,14306,22080,27985,18584,8003.9,25122,5373.6
O00142,0,1109.7,1977.9,1539.3,0,1463.8,3033.4,2866.7,1923.5,5484.1,4944.4,1616.8,4007.6,2671.7,1559.6,0,6219.4,2895.8,0,0,3869.9,0,1651.4,4274.4
O00151,464.87,0,0,895.63,12739,0,2272,0,0,1553.5,0,1186,0,0,0,9547.9,0,0,0,0,3882.3,0,299.51,418.67
