proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
A0A075B6K5,,,9381100,,,,,,,
A0A0B4J2F0,5562900,4792000,8082000,5718700,4403700,6111000,,8674600,9337200,6233100
A0A0U1RRL7,,,10109000,,,,,,5555700,
A0AVT1,67035000,87560000,126010000,101670000,88872000,103000000,89141000,118750000,113210000,92690000
A0FGR8,79007000,79318000,115800000,114130000,121590000,77341000,59953000,71070000,126180000,75801000
A0MZ66,100850000,70231000,146630000,157260000,133710000,248020000,105310000,136040000,144160000,133640000
A1A5C7,7670200,8574200,15122000,9762300,5610600,12196000,2765100,4164600,10757000,9866800
A1L0T0,102110000,61359000,65199000,36053000,59459000,123620000,81787000,151740000,96102000,94287000
A1Z1Q3,24341000,13284000,62095000,6693900,20614000,29924000,20330000,16203000,70156000,23698000
A2RRP1,,,11031000,,,,663440,,12191000,
A2RTX5,7584400,7026700,,12297000,10001000,21335000,12030000,,,15004000
A2RU67,1667000,6550200,9875700,7302200,8070700,,,5097400,8438200,9194000
A3KMH1,,8135000,,11213000,4608000,5459700,,,,
A4D161,,,,3508700,,,,,,
A4D1P6,,,,,,,,15367000,6205100,
A5PKW4,15741000,6776400,43603000,10661000,11989000,19597000,7468400,30246000,17170000,9399800
A5YKK6,,,4429300,,3010400,4748600,1560300,,2814200,1655600
A5YM72,71109000,40621000,47629000,124780000,57786000,240240000,251130000,66545000,43735000,201780000
A6NDG6,70250000,86785000,111250000,62605000,87345000,94490000,73031000,121040000,144190000,97913000
A6NDU8,7054300,10382000,6621100,,6383500,6365600,8685000,9366300,6380000,11473000
A6NFN3,6072600,2376600,25723000,1452900,6807600,9701400,6820000,12556000,30933000,4199100
A6NGB9,,,9336800,,4249700,,,5670600,,
A6NGN9,3466000,14991000,16771000,,3805400,5808000,1481500,7567200,13860000,11035000
A6NHL2,168360000,258050000,297750000,251590000,197670000,193420000,148790000,240800000,228060000,243320000
A6NHX0,4609700,6694700,4816600,5468000,2687300,,,19916000,7248900,3060300
A6NKN8,3935400,2262600,20740000,4029300,5639600,3395900,6528000,8341800,21570000,2047300
A6NL88,,9197300,5152200,3368400,7332700,1282000,,,5802700,5138600
A7KAX9,3813100,4332800,17039000,2803900,5231000,453300,9737300,7158100,10356000,
A8K0Z3,45906000,,157360000,,,,108430000,,141160000,
A8MSI8,,10639000,5198600,7979400,7016500,,5298900,2447800,15937000,1215600
A8MVW0,,4897100,20915000,7421200,12442000,10830000,3552900,4672100,37368000,6712900
B7ZAP0,,,2787200,,,,,,3271300,
C9J069,21624000,22263000,33349000,16307000,23171000,17791000,6897700,18450000,31129000,18947000
E9PAV3,96597000,137210000,166340000,102760000,142040000,101820000,100250000,121510000,174100000,73455000
G9CGD6,,1543200,,5288500,1277400,5732700,,15518000,16418000,1477500
O00116,9976700,9214200,23929000,6979700,15881000,7119500,8575800,13521000,7118900,
O00139,230940000,209470000,400100000,221750000,253090000,262040000,163960000,277000000,356350000,216750000
O00142,5099200,4331600,14854000,2593900,,,2881700,7035700,24444000,3204300
O00151,,,,,,,,,,
O00154,764650000,1258800000,1339500000,1242200000,1184100000,880280000,890680000,1471100000,1188300000,1179900000
O00159,38133000,21281000,36580000,21615000,19486000,12570000,36849000,16586000,3189800,17923000
O00161,4349100,,,,,,3735000,,,
O00165,193700,6049300,14907000,,,,465750,6497900,7254500,199930
O00168,22346000,16024000,28799000,9091800,23350000,24896000,16764000,9019600,28103000,4615900
O00170,65278000,50191000,62632000,53181000,35897000,72908000,55125000,49606000,59729000,61375000
