proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22
A0A075B6H9,7626400,6790000,43523000,,5629400,10038000,10447000,,5009900,7777900,,13883000,2920600,172990000,,4048700,4261600,45978000,9807700,22526000,37299000,
A0A075B6I0,,21376000,,2468100,39287000,28751000,43872000,,,17698000,,37552000,7324200,219410000,,39269000,,339150000,32814000,96905000,68264000,
A0A075B6I1,,,8186400,,,,,,,,,,,8924500,,,,7195000,,,,
A0A075B6I4,,,,,,,,461580,,,,1737400,,34892000,,290370,,295630,,,,
A0A075B6J9,,,7274400,,,,,10732000,,,,3815300,8874200,10497000,,,,16582000,3501300,13484000,4337700,
A0A075B6K4,46040000,14227000,40263000,,17491000,14894000,11384000,,11857000,3206200,2409700,,12022000,78674000,6280600,14625000,10274000,35029000,22189000,20405000,9944800,13522000
A0A075B6K5,37940000,28389000,29370000,6628700,35008000,48862000,33090000,,37578000,4698800,18804000,13515000,19742000,34286000,52652000,,43913000,,21294000,,17726000,24996000
A0A0A0MS15,8276900,12399000,4215800,,10178000,1166800,7284800,,2738100,,1340100,,6604800,38515000,8368300,7113000,6658900,36468000,26912000,7226900,,
A0A0A0MT36,,,,,,,,,,,,,,16887000,,,,6201000,7090600,,,
A0A0B4J1U7,73800000,12482000,,,38855000,13825000,8866700,1195900,12769000,9988300,,3459400,36072000,,58545000,33618000,5197900,63736000,18449000,12410000,39175000,
A0A0B4J1V0,100700000,65990000,64563000,,69531000,46642000,66712000,,45718000,111350000,28109000,20126000,58212000,312610000,135450000,55691000,37712000,288700000,44178000,109880000,63449000,19625000
A0A0B4J1X5,203210000,105080000,106270000,5939300,158770000,65827000,79628000,8024900,90855000,83433000,51055000,37307000,91456000,276630000,366080000,78399000,98026000,320490000,129550000,203300000,119020000,52909000
A0A0B4J1Y8,,2625600,,,,,,,,,,,,18408000,,7098800,,,2053100,,,
A0A0B4J1Y9,18985000,7241300,,,10847000,3638200,4471500,,3993000,,,,21574000,49972000,35848000,1828700,8640200,133510000,9916700,15546000,17668000,
A0A0C4DH24,,,,,,,,,,,,,,14288000,,3642700,,9647100,5961500,,,3509600
A0A0C4DH25,25140000,22651000,14373000,11794000,21896000,16004000,13079000,1681000,9942900,23400000,4807900,15317000,18021000,39598000,38732000,35956000,15963000,44792000,24595000,60181000,14352000,9168000
A0A0C4DH35,14138000,,5846600,,12231000,,,,7884500,5276300,2996700,,23279000,34282000,26161000,,,42680000,1748500,3218400,8661300,
A0A0C4DH36,6261700,,,,,,5922300,,6167300,,,,10856000,9226800,,9393700,,42103000,,,,
A0A0C4DH38,45174000,6423700,42999000,7888300,42497000,48935000,46729000,,95098000,,29068000,8202200,,144000000,8080500,3093400,29383000,167480000,65904000,52563000,79685000,
A0A0C4DH55,,,,,,,6256300,,,3751300,,,3100000,9414100,,,,12219000,2902700,6114000,,
A0A0C4DH67,32763000,19977000,42958000,,29311000,15206000,24489000,,14717000,16772000,7984200,4818500,10956000,25544000,39840000,32511000,19895000,103800000,18310000,30026000,21396000,7274600
A0A0C4DH68,126720000,113740000,39666000,6848900,59091000,74626000,75735000,,58243000,67769000,25604000,42822000,82298000,106650000,178340000,42947000,69774000,443550000,84416000,125710000,81466000,39507000
A0A0C4DH72,48814000,6816800,92010000,,61890000,112070000,44719000,,34273000,12767000,22115000,3152100,34260000,73494000,103240000,161320000,59416000,47097000,45956000,48671000,45702000,12008000
A0A0G2JS06,,,,,2555500,,2190600,,,,849840,,,6345200,,2064800,,12204000,,,655830,
A0A0J9YX35,5322300,3170900,,,3829800,,,,,2191700,,,5801200,,12571000,,,21279000,,,,
A0AVF1,3832100,,7559100,,14753000,4962400,,,,,,,2453600,,,,1384600,,1615900,2194300,,8097200
A0AVT1,5906200,,1842100,,2402000,20474000,,,20820000,,701740,10139000,,5963800,2350500,,4748100,,,,2538600,
A0FGR8,182390000,48515000,72793000,50645000,95407000,131960000,103680000,107950000,132820000,14934000,117820000,19092000,56681000,42904000,177760000,64536000,96724000,37701000,15536000,148880000,132120000,197980000
A0MZ66,,,2230300,,,3402600,,6170700,4580700,1945200,1121600,,,,6295700,,4189300,2090200,,,2345700,1805800
A1L0T0,314830000,205190000,140940000,92969000,69671000,135000000,199300000,114170000,131640000,119000000,170220000,119230000,72829000,112220000,298600000,326650000,116510000,142170000,43525000,251980000,185300000,462550000
A2A3N6,,,,,1408700,,,16962000,17142000,,2174000,,,,9491600,,5519500,,3490600,,,
A2NJV5,213790000,154630000,140410000,35390000,118100000,103510000,108870000,,90311000,188680000,64631000,36541000,259570000,393940000,342810000,163120000,191690000,815980000,272460000,287460000,173920000,76837000
A2RRP1,75392000,9620900,62396000,,54033000,55792000,38842000,23038000,32893000,1379400,14618000,13293000,17220000,5630500,17187000,10975000,54059000,13966000,,37769000,49197000,72622000
A2RTX5,,3653700,11394000,8330700,39908000,20654000,16725000,15168000,,3117100,,,17219000,3571200,,5101500,11372000,4748300,1225800,13583000,31386000,37489000
A2RU67,14329000,103290000,,14420000,,14049000,7600500,15894000,16023000,38148000,15283000,15908000,7178900,11717000,14825000,44794000,,29097000,,91381000,,7388400
A4D1P6,71735000,5511700,83543000,11904000,62543000,61178000,47923000,28446000,15505000,3157700,12306000,4072400,11615000,7457900,24976000,4948800,24552000,20705000,20266000,34513000,54085000,46143000
A5D8V6,,,,,4117400,,2565900,,,,,,,,,7938400,,,2709700,,,
A5YKK6,26165000,,36381000,2614700,31236000,26678000,17345000,6378400,6376300,,1118400,2217700,6836200,3068600,11752000,,31614000,4306200,3022000,22526000,12046000,29393000
A5YM72,10194000,35378000,3457200,53016000,,5498600,6993600,5935800,14909000,9986400,12281000,3489000,14622000,51576000,61243000,6696600,3770700,9213000,,2714100,28269000,4686100
A6NCS6,,,,5582600,,3443100,7005200,,,,,,,2833400,,,,,6362900,4978200,,
A6NDY2,48603000,,12310000,,3046300,,60619000,54378000,134800000,,136820000,12515000,63786000,,225410000,7835400,25343000,16334000,30980000,3244800,22901000,157760000
A6NE02,99194000,348560000,76166000,10346000,,20799000,7692700,18925000,,165330000,33356000,134220000,115690000,947810000,45818000,314860000,22565000,1759500000,11603000,2178400000,38820000,17010000
A6NHQ2,65353000,1080200,2189700,,,,,,,,4662400,2960300,,,,,,5012100,,158300000,,
A6NHR9,12808000,,16631000,,10214000,6823100,,,,,,,,,,,,,941800,3056900,8022300,5667700
A6NNL5,,4259900,,,,,,,,6187900,,,,,,33751000,,1374100,,2628600,,
A6XGL0,,,,,,,,,42444000,,,,,,,,,,,,,
A6ZKI3,11857000,,,,,,,,15931000,,2786100,,,,7842900,,16622000,,,,,
A8MVU1,4404200,,2424600,,7288900,22019000,5392200,4958100,4359400,,,,,,2874900,,5575500,,4632000,,9013400,
B0I1T2,8338600,,,,41992000,,,5269700,4626000,,11469000,,3482000,,14653000,,,2149500,2694200,,29555000,16174000
B2RUZ4,119180000,19220000,,5468600,19778000,15419000,13200000,5356000,34680000,18009000,35271000,21783000,60789000,38237000,25400000,23915000,17390000,48468000,16650000,10072000,15138000,17058000
B2RXF0,,9325600,,2093500,,,,,,2473400,,,2434100,2234100,,3802800,,,,4167700,,
L0R6Q1,36682000,24704000,3116700,7784500,,12304000,9129100,21368000,58696000,7532900,28843000,9550500,6568700,17082000,34589000,31518000,10005000,24271000,,,3723400,35290000
O00116,145550000,79230000,39185000,14678000,31494000,76143000,73798000,103960000,59951000,51721000,69483000,9181400,23125000,162840000,127220000,496280000,43074000,60899000,7315800,18542000,21793000,90144000
O00139,8628700,3457800,13761000,13217000,19337000,19059000,10889000,24918000,11765000,1825400,8579000,7272600,9629000,8728500,18902000,,16093000,9534700,2888700,52584000,11768000,19538000
O00142,,,,,,1649900,,3030900,,14429000,,5597200,,11143000,,13211000,,9535700,3264100,7958800,,
O00154,,55808000,38971000,24076000,9340400,27173000,4502000,272450000,50705000,50158000,28044000,14380000,37070000,34318000,37389000,32776000,,37425000,7611800,96196000,53422000,41025000
O00159,15835000,,4907300,1208900,71272000,336530000,9047300,3000200,28160000,,21184000,2968400,3408100,,25233000,1925600,9491200,,1553500,1820000,19507000,58404000
O00160,4920300,,,,4938200,6209900,4368500,4217600,,,2595100,,,,6670800,,,,,,3915300,4771200
O00161,53829000,12908000,4627500,6141300,39397000,20820000,33195000,37408000,50408000,9252900,36145000,5500400,6173400,5580000,29820000,5538200,20524000,12663000,7494000,11653000,11672000,20502000
O00165,,2056100,,,,3117300,4250600,,,1810900,,3168200,4690400,,,5326700,,4270400,,1933600,,
O00168,12332000,,,4567000,,,,,19055000,,16653000,,15299000,,10726000,,9347100,,,,3898200,16441000
O00170,403360000,290210000,110140000,1945600,174080000,158660000,7496400,20331000,315320000,131180000,268530000,116950000,322520000,,355950000,231920000,105690000,164840000,82107000,4790400,113990000,57999000
O00178,5726500,1955000,10445000,,7528000,6988800,5774100,,5606100,,1303500,,,,3425300,3022500,3617100,3200800,,,8066100,9801400
O00182,14941000,3643200,19179000,8005700,11528000,7012000,11329000,6913600,19483000,,12754000,2368700,10781000,5569100,47991000,7658300,37317000,6255800,8211700,,10976000,18336000
O00186,58507000,29160000,20289000,8855200,28499000,42843000,58829000,31218000,44304000,15183000,28291000,13446000,26881000,14581000,36607000,3367900,39918000,19728000,6394500,21165000,21401000,59595000
O00194,4778500,17834000,4715500,,6942500,9164800,8328100,43695000,4708800,2903900,10032000,4953200,15089000,4360300,,4750700,,7375800,2386900,21729000,5604200,3682000
