proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22
A0A075B6H9,-0.4534391,-0.17749612,0.51686364,-0.90319118,-0.37893772,-0.31887296,-0.2317089,-1.48080678,-0.63690075,0.15792205,-1.31323911,0.37592177,-0.62969724,1.40187735,-1.58962664,-0.38748749,-0.66047303,0.53912314,0.31373218,0.01253753,0.49020586,-1.54360493
A0A075B6I0,-1.6423629,0.3205605,-1.4284613,-0.2773306,0.464849,0.1381328,0.3914869,-1.5539155,-1.6433341,0.5149839,-1.3863482,0.8080715,-0.2304092,1.5051128,-1.662735,0.5992467,-1.5966506,1.4069649,0.8382242,0.6461996,0.7527004,-1.6167135
A0A075B6I1,-1.1776975,-0.851305,-0.2087622,-0.5116325,-0.9713389,-1.162459,-1.0926395,-1.0892492,-1.1786687,-0.5748795,-0.9216809,-0.6085007,-0.9371084,0.1144402,-1.1980699,-0.8367422,-1.1319847,-0.2663961,-0.5197742,-1.1820854,-0.9234304,-1.1520478
A0A075B6I4,-2.5715606,-2.245336,-2.3577926,-1.9057015,-2.3653344,-2.5563367,-2.4865725,-1.583061,-2.5725308,-1.9689451,-2.3156935,-0.5266617,-2.3311161,0.7065822,-2.5919117,-1.5318496,-2.5258887,-1.6526753,-1.9138428,-2.575944,-2.3174425,-2.5459349
A0A075B6J9,-1.49049788,-1.16410625,-0.260058,-0.82443397,-1.28413994,-1.47525945,-1.40544017,-0.21662961,-1.49146902,-0.88768089,-1.23448207,-0.18503286,-0.14704014,0.18492155,-1.51087011,-1.14954347,-1.44478522,0.09620998,-0.13360566,-0.2103278,-0.4442318,-1.46484826
A0A075B6K4,0.32737662,0.14374743,0.48305095,-0.98670023,0.1134148,-0.14750881,-0.1944056,-1.56431521,-0.26275501,-0.22694969,-0.69777883,-1.08356835,-0.01519263,1.05968758,-0.55812991,0.17029278,-0.27830618,0.4210008,0.66830274,-0.03040995,-0.08389527,-0.17906797
A0A075B6K5,0.24333863,0.4437842,0.34604876,0.15173501,0.41476746,0.36845108,0.26899627,-1.27429277,0.23820383,-0.06095334,0.1945084,0.3642545,0.2002218,0.69897317,0.3652838,-1.02178597,0.35254736,-1.15040967,0.65042226,-1.36712875,0.16711942,0.08776161
A0A0A0MS15,-0.41789097,0.08402076,-0.49697517,-1.30166631,-0.12173739,-1.25352324,-0.38828285,-1.87927494,-0.89928043,-1.36491305,-0.95260452,-1.39853416,-0.27530967,0.74948625,-0.43349382,-0.14275029,-0.46664324,0.43848501,0.75211099,-0.48119449,-1.71346075,-1.94207057
A0A0A0MT36,-1.2422665,-0.9158741,-1.0283633,-0.5762016,-1.0359079,-1.227028,-1.1572084,-1.1538182,-1.2432376,-0.6394485,-0.98625,-0.6730698,-1.0016775,0.3914089,-1.2626388,-0.9013113,-1.1965536,-0.3309652,0.172848,-1.2466543,-0.9879995,-1.2166168
A0A0B4J1U7,0.53229767,0.08691828,-1.74312555,-1.2909679,0.46004708,-0.17985502,-0.30293847,-1.16961507,-0.23057294,0.26655127,-1.70101306,-0.22756077,0.46200087,-1.45741751,0.41135874,0.53176878,-0.57421781,0.68095787,0.58813784,-0.24637476,0.51151768,-1.9313727
A0A0B4J1V0,0.66727078,0.81011223,0.68812852,-0.07585369,0.71277864,0.34825701,0.57350347,-0.65347058,0.32335739,1.31374992,0.36910355,0.53719592,0.66984317,1.65885922,0.77564794,0.75098192,0.28643382,1.33701985,0.96737106,0.7007721,0.72093345,-0.01729924
A0A0B4J1X5,0.9721864,1.0121542,0.9045555,0.1040419,1.0713686,0.4978839,0.6503653,-0.3428706,0.621619,1.1883976,0.6282964,0.8052288,0.8660429,1.6057556,1.2074449,0.8995074,0.7012955,1.3823875,1.4346024,0.9679908,0.9941286,0.4134206
A0A0B4J1Y8,-1.7223143,-0.5901373,-1.5084135,-1.0562531,-1.5159581,-1.707076,-1.6372575,-1.6338673,-1.7232854,-1.1194999,-1.4663004,-1.1531211,-1.4817278,0.428863,-1.7426862,-0.1436182,-1.6766021,-1.5099852,-0.3654249,-1.726702,-1.4680499,-1.696665
A0A0B4J1Y9,-0.05734809,-0.14954935,-1.55868068,-1.10652064,-0.09409019,-0.75963354,-0.60024724,-1.68413418,-0.73543048,-1.1697675,-1.51656771,-1.2033887,0.23876132,0.86258308,0.19833386,-0.73266059,-0.35352194,1.00208686,0.31853219,-0.14852788,0.16569606,-1.74693159
A0A0C4DH24,-1.48946959,-1.16307795,-1.27556701,-0.82340567,-1.28311165,-1.47423116,-1.40441188,-1.40102167,-1.49044073,-0.8866526,-1.23345377,-0.92027383,-1.24888124,0.31882779,-1.50984182,-0.43337968,-1.44375693,-0.13903015,0.09752056,-1.49385742,-1.23520325,-0.76485123
A0A0C4DH25,0.06460658,0.34572148,0.03569224,0.40196777,0.21096495,-0.11629161,-0.13412595,-1.02174239,-0.33921675,0.63627555,-0.39778641,0.41861216,0.16060954,0.7615296,0.23193885,0.56096827,-0.08693123,0.52777352,0.71301184,0.43931285,0.0754211,-0.34783429
A0A0C4DH35,-0.18537071,-1.46566894,-0.35495179,-1.12599744,-0.04193787,-1.77681896,-1.70700083,-1.70361067,-0.43995566,-0.01061082,-0.60309855,-1.22286549,0.27179497,0.6989225,0.06152327,-1.45110622,-1.74634528,0.50679748,-0.43516934,-0.83250646,-0.14390824,-1.76640797
A0A0C4DH36,-0.53906642,-0.93584538,-1.04833459,-0.59617293,-1.05587924,-1.24699927,-0.47821008,-1.17378953,-0.54663474,-0.65941987,-1.00622129,-0.69304112,-0.05949951,0.12890746,-1.2826101,-0.02196641,-1.21652493,0.50088611,-0.60431456,-1.26662562,-1.00797077,-1.23658804
A0A0C4DH38,0.3191299,-0.2015806,0.5116032,0.2272901,0.4989584,0.3690994,0.418886,-1.4558429,0.6414416,-0.9414741,0.3836733,0.1473688,-1.3037026,1.3222188,-0.4486928,-0.504367,0.1780504,1.100536,1.1410768,0.3805336,0.8198852,-1.5186411
A0A0C4DH55,-1.57192438,-1.24553327,-1.35802222,-0.9058611,-1.36556685,-1.55668599,-0.45438292,-1.48347669,-1.57289551,-0.1587585,-1.31590903,-1.00272925,-0.60380763,0.13763516,-1.59229654,-1.2309705,-1.52621184,-0.03639127,-0.21503283,-0.5538211,-1.31765851,-1.54627483
A0A0C4DH67,0.179624969,0.291164372,0.511188872,-0.685751458,0.3376308,-0.13850517,0.138270557,-1.263367895,-0.16891054,0.491644549,-0.177510437,-0.083649687,-0.055517326,0.571145256,0.24418826,0.517227231,0.008698198,0.892770419,0.584853356,0.13735093,0.248841261,-0.448299774
A0A0C4DH68,0.7670865,1.0465473,0.4765632,0.1659275,0.6421215,0.55237,0.6285961,-1.1106592,0.4285139,1.0980908,0.328566,0.8651054,0.8202199,1.1918172,0.8951177,0.6381297,0.5536479,1.5235156,1.2485898,0.7592233,0.8294851,0.2865651
A0A0C4DH72,0.3527857,-0.1757853,0.8419798,-0.8700633,0.6622206,0.7289692,0.3997916,-1.4476791,0.1982223,0.3731486,0.2649451,-0.2679616,0.439618,1.0301082,0.6577169,1.2128851,0.4838577,0.5495663,0.9845072,0.3471237,0.5784439,-0.2306382
A0A0G2JS06,-2.21789498,-1.89153518,-2.00401806,-1.5518701,-0.72192391,-2.20265932,-0.91013731,-2.12946076,-2.21886593,-1.61511639,-1.15040437,-1.64873719,-1.97733406,-0.03369833,-2.23826318,-0.67992507,-2.17219009,-0.03692473,-1.56001166,-2.22228197,-1.26469952,-2.19224992
A0A0J9YX35,-0.6096593,-0.5081833,-1.4800427,-1.0278821,-0.5462237,-1.6787055,-1.6088868,-1.6054966,-1.6949149,-0.3921592,-1.4379296,-1.1247502,-0.3316515,-1.1943322,-0.2567612,-1.3529912,-1.6482316,0.2045243,-1.0360237,-1.6983316,-1.439679,-1.6682944
A0AVF1,-0.75232181,-1.56700946,-0.24338509,-1.22733859,0.03948051,-0.62482836,-1.80833974,-1.80494962,-1.89436594,-1.29058539,-1.6373846,-1.32420654,-0.70536555,-1.39378837,-1.91376629,-1.55244679,-1.14872111,-1.68106903,-0.46942049,-0.99885039,-1.63913405,-0.40177403
A0AVT1,-0.564450523,-1.862151424,-0.856541899,-1.5224854,-0.748826784,-0.009317458,-2.103469211,-2.100079381,-0.018249106,-1.585731768,-1.233565159,0.239433571,-1.947950881,-0.060620577,-0.984970669,-1.847589157,-0.613525864,-1.976206763,-1.530626969,-2.192902497,-0.676897018,-2.162869737
A0FGR8,0.9252423,0.6765101,0.7402344,1.0348432,0.8501804,0.7999221,0.7649945,0.7859124,0.7865336,0.4412358,0.9914772,0.5142899,0.6582682,0.7963541,0.893703,0.8149989,0.6954885,0.4529259,0.5135042,0.8326898,1.0394772,0.9865124
A0MZ66,-1.9848762,-1.6584947,-0.7734918,-1.3188247,-1.7785262,-0.7887092,-1.8998227,-0.4569758,-0.6757979,-0.443976,-1.0299037,-1.4156925,-1.7442966,-1.4852742,-0.557087,-1.6439321,-0.6679043,-0.803239,-1.3269663,-1.9892637,-0.7112188,-1.0534391
A1L0T0,1.1623174,1.3027903,1.0271791,1.2986448,0.7136522,0.8098136,1.0488068,0.8102417,0.782658,1.3426067,1.1512687,1.309824,0.767135,1.2139266,1.1189587,1.5192796,0.7763175,1.029381,0.9609038,1.0612195,1.1863841,1.3550498
A2A3N6,-1.88590098,-1.55951534,-1.67200324,-1.21984442,-0.98058118,-1.87066307,-1.80084577,-0.01783322,-0.10266834,-1.28309122,-0.74248226,-1.31671237,-1.6453178,-1.38629422,-0.37879163,-1.54495267,-0.54814599,-1.67357496,-0.1349349,-1.89028865,-1.63163997,-1.86025222
A2NJV5,0.9942287,1.1799279,1.0255429,0.8791872,0.9428501,0.6944621,0.7862077,-0.3973997,0.6190108,1.5427856,0.730699,0.7962189,1.3190851,1.7592864,1.1789224,1.2177041,0.9925537,1.7882526,1.7574678,1.1184309,1.1588582,0.5754615
