Protein_Id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65
A0A075B6K5,0.414218017,0.383447916,0.544860178,0.127028815,-0.116488321,-0.558493331,1.076836535,1.682525121,0.460547964,1.10459424,0.891881736,0.683100024,0.213475732,0.6691218,-0.044758202,0.03170688,0.1125577,0.247862247,0.547293025,-0.075124598,0.674688647,0.005466308,-0.271470622,-0.043776247,-0.092321539,0.689504021,-0.847116142,1.46172305,1.330487814,-0.146414171,1.664640332,0.687899518,-0.034261856,0.90308472,0.782317367,0.074650417,1.082942246,0.467277205,0.936696183,0.294932431,1.037355381,-1.036154482,0.158249916,0.451326385,0.869357997,0.332749905,0.348857936,1.580085929,0.254365308,0.067368983,0.844177981,0.955512241,0.747570504,0.235789972,-1.204468746,0.485651168,1.081153823,-1.139615683,0.780691651,0.769150414,-0.870303182,0.772042171,1.474461281,0.32280977,0.679324527
A0AV96,-0.979750662,-0.726044292,0.055324023,1.191079234,0.248592095,-0.193412918,-0.388401015,0.241668446,-0.592627396,0.0894288,0.236231528,-0.107747767,0.578556148,-0.469174188,0.320322213,-1.139788442,0.477638115,-0.57994003,-0.262845453,0.289955818,0.248694879,-0.762854893,0.093609793,0.321304169,0.272758876,-0.203000441,-0.482035734,0.075287708,0.01146137,0.218666244,0.289278099,-0.424002837,0.33081856,0.124612061,-0.741877115,0.439730833,0.231014335,-0.755161484,-0.84105604,-0.807539552,0.251018667,-0.671074084,-0.695121015,-0.738968919,-0.791870396,-0.908750815,-0.432545579,0.112704866,-0.949489714,-0.796375197,0.163839453,-0.398898262,-0.351264402,-0.098099616,-0.83938837,-0.777602719,-0.008688632,-0.774535296,-0.099619245,-0.061315705,-0.505222775,0.046235653,0.565996696,0.137326314,-0.204154901
A0FGR8,-1.34629954,-1.09259322,-0.31122493,0.12556028,-0.11795686,-0.55996187,-0.75494996,-0.1248805,-0.95917633,-0.27712015,-0.13031742,-0.47429672,0.2120072,-0.83572313,1.39584765,-1.50633723,1.63303526,-0.94648897,0.65819041,-0.07659313,-0.11785407,-1.12940382,1.2732671,-0.04524478,1.0017153,-0.56954939,0.71761263,-0.29126124,-0.35508758,1.32552885,1.37148049,-0.79055178,-0.03573039,-0.24193689,-1.10842604,1.85386326,-0.13553462,-1.12171041,-1.20760495,-1.17408847,-0.11553028,-1.03762302,-1.06166995,-1.10551785,-1.15841931,-1.27529971,-0.79909452,-0.25384408,-1.3160386,-1.16292412,-0.2027095,-0.76544721,-0.01884335,-0.46464857,-1.20593728,-1.14415164,-0.37523758,-1.14108422,-0.4661682,-0.42786466,-0.87177172,-0.3203133,0.19944774,-1.04490773,-0.57070385
A0MZ66,-1.1164106,-0.86270424,-0.08133593,0.35544927,0.11193214,-0.33007287,-0.52506097,0.10500849,-0.72928735,-0.04723116,0.09957157,-0.24440772,0.44189619,0.09313586,0.18366226,-0.47262138,0.34097816,-0.71659998,-0.39950541,0.15329586,0.11203492,-0.89951484,-0.04305016,0.18464421,0.13609892,-0.3396604,-0.61869569,-0.06137225,-0.12519859,0.08200629,0.15261814,-0.56066279,0.1941586,-0.01204789,-0.87853707,0.30307088,0.09435438,-0.89182143,-0.97771599,-0.9441995,0.11435871,-0.80773404,-0.83178097,-0.87562887,-0.92853034,-1.04541076,-0.56920553,-0.02395509,-1.08614966,-0.93303515,0.0271795,-0.53555822,-0.48792436,-0.23475957,-0.97604832,-0.91426267,-0.14534859,-0.91119525,-0.2362792,-0.19797566,-0.64188273,-0.0904243,0.42933674,-0.81501875,-0.34081486
A0PJW8,-1.8160591,-1.5623532,-0.7809852,-0.3442,-0.5877171,-1.0297221,-0.5257402,-0.5946407,-1.4289365,-0.7468804,1.0959537,-0.9440569,-0.257753,0.4339804,-0.515987,-1.976096,-0.3586711,-1.4162491,-1.0991546,-0.5463534,-0.5876143,-1.5991638,-0.7426994,-0.515005,-0.5635503,-1.0393096,-1.3183448,1.0792178,-0.8248478,-0.6176429,-0.5470311,-1.260312,-0.5054906,-0.7116971,-1.578186,-0.3965784,-0.6052949,-1.5914704,-1.6773648,-1.6438484,-0.5852905,-1.5073831,-1.53143,-1.5752778,-1.6281792,-1.7450594,-1.2688547,-0.7236043,-1.7857982,-1.632684,-0.6724697,-1.2352074,0.7864178,-0.9344088,-1.6756971,-1.6139116,-0.8449978,-1.6108442,-0.9359284,-0.8976249,-1.3415319,-0.7900735,-0.2703125,-1.5146678,-1.0404641
A1L0T0,-1.308474217,-1.054767889,-0.273399593,0.163385614,-0.080131521,-0.522136532,-0.717124627,-0.08705517,-0.921351002,-0.239294816,-0.092492088,-0.436471382,0.249832532,-0.797897798,-0.008401403,-1.46851193,0.148914499,-0.908663636,-0.591569067,-0.038767798,-0.080028738,-1.091578487,-0.235113822,-0.007419447,-0.05596474,0.167245947,-0.810759344,-0.253435908,-0.317262246,-0.110057372,1.275907549,-0.752726448,0.002094944,0.870226277,-1.070600711,1.235440038,-0.097709281,-1.083885078,-1.169779624,-1.136263141,-0.077704949,-0.999797686,0.09148286,-1.067692516,-1.120593986,-1.237474387,-0.76126919,-0.21601875,-1.278213277,-1.125098787,-0.164884163,-0.727621874,-0.679988015,0.626943145,-1.168111954,-1.106326311,-0.337412247,-1.103258889,-0.428342861,-0.390039321,-0.833946385,-0.282487963,0.23727308,-1.007082404,-0.532878515
A1L188,-1.541038254,-1.28733203,-0.50596378,-0.069178574,-0.312695709,-0.754700716,-0.949688805,-0.319619357,0.343822795,-0.471859003,-0.325056276,-0.669035568,0.017268344,-1.030461972,-0.240965591,-1.701075804,-0.083649689,-0.0206731,-0.82413325,-0.271331986,-0.312592925,-1.32414262,-0.467678009,-0.239983635,-0.288528928,0.660397361,-1.043323517,-0.486000094,-0.549826432,-0.342621559,-0.272009705,-0.985290625,-0.230469244,-0.436675742,-1.303164848,-0.121556971,-0.330273469,-0.043896125,-1.402343733,-1.368827261,-0.310269136,-1.232361837,-1.256408762,-1.300256654,-1.353158111,0.136917048,-0.993833366,-0.448582937,-1.510777334,-1.35766291,-0.39744835,-0.960186052,-0.912552195,-0.659387417,-1.400676063,-1.33889044,-0.569976434,-1.335823018,-0.660907046,0.076366494,-1.066510556,-0.515052149,0.004708892,-1.239646554,-0.765442699
A1L4H1,-2.07422179,-0.09981188,-1.03914973,-0.60236454,-0.84588167,-1.28788662,-1.48287462,-0.85280532,-1.68710072,-1.00504496,-0.85824224,-1.20222149,-0.51591762,-1.56364771,-0.77415155,-0.23368607,-0.61683566,-1.67441338,-1.35731913,-0.80451795,-0.84577889,-1.85732769,-1.00086396,-0.7731696,-0.82171489,-1.29747414,-1.57650924,-1.01918605,-1.08301238,-0.87580752,-0.80519567,-1.51847641,-0.76365521,-0.9698617,-1.83635,-0.65474294,-0.86345943,-1.84963432,-1.93552842,-1.90201213,-0.8434551,-1.76554722,-1.78959408,-1.83344182,-1.88634305,-2.00322268,-1.52701914,-0.2827989,-2.04396118,-1.89084783,-0.93063431,-1.49337185,-1.44573803,-1.19257335,-1.16690016,-1.87207545,-1.10316238,-1.86900804,-1.19409297,-1.15578944,-1.59969625,0.41171437,-0.52847708,-0.19032783,-1.2986286
A2RU48,0.123179012,-0.947597959,-0.166229653,0.270555553,0.027038418,-0.414966594,-0.60995469,0.02011477,-0.814181067,-0.132124876,0.014677851,-0.329301443,0.357002471,0.094807722,0.098768537,-1.361342054,0.256084438,-0.801493702,-0.484399129,0.068402141,0.027141202,-0.984408559,-0.127943883,0.099750492,0.051205199,-0.424554117,-0.703589407,-0.146265968,-0.210092307,-0.002887432,0.067724422,-0.645556511,0.109264883,-0.096941616,-0.963430781,0.218177156,0.009460658,-0.97671515,-1.062609701,-0.146851949,0.029464991,-0.19365776,-0.916674683,-0.960522586,-1.01342406,-1.13030447,-0.654099253,-0.108848811,-1.171043364,-1.01792886,-0.057714224,-0.620451937,-0.572818078,-0.319653292,-1.06094203,-0.999156383,-0.230242308,-0.996088961,-0.321172922,-0.282869382,-0.726776449,-0.175318023,0.344443019,-0.899912472,-0.425708577
A4D1S0,1.36886461,-1.13238788,-0.35101959,0.08576561,-0.15775152,1.1966015,-0.79474463,-0.16467517,-0.998971,-0.31691482,-0.17011209,-0.51409138,0.17221253,-0.8755178,-0.08602141,-1.54613186,0.0712945,-0.07710356,-0.66918907,-0.1163878,-0.15764874,-1.16919848,-0.31273382,0.97639493,-0.13358474,-0.60934406,-0.88837934,-0.33105591,-0.39488225,-0.18767737,-0.11706552,-0.83034645,-0.07552506,-0.28173156,-1.1482207,0.03338721,-0.17532928,-0.30396218,-1.24739961,-1.21388313,-0.15532495,-1.07741768,-1.10146461,-1.14531251,-1.19821397,-1.31509437,-0.83888919,-0.29363875,-1.35583325,-1.20271877,-0.24250417,-0.80524187,-0.75760802,-0.50444323,-1.24573194,-1.1839463,0.28393775,-1.18087888,-0.50596286,-0.46765932,0.11032223,-0.36010796,0.15965308,-1.0847024,-0.61049852
