,S16,S9,S10,S11,S12,S13,S14,S15,S1,S2,S3,S4,S5,S6,S7,S8
A0A075B6I0,-0.82678622,-0.56182772,-0.79896859,-0.77462315,-0.94094605,-1.83656473,-1.77858867,-0.7557778,-1.36645164,-0.35128908,-0.86216977,-0.68187403,-0.56192815,-0.04386805,-0.67342564,-0.69332917
A0A075B6I9,-1.49278667,-0.40751925,-0.43887284,-0.72696423,-0.47350736,-0.57696202,-0.77162229,-0.88287687,-0.98416376,0.05857751,-0.80658053,-1.05011489,-0.65559209,-0.80733402,-2.06339657,-0.41248409
A0A075B6R9,-1.4124998,-0.7512801,-0.4184003,-1.0770663,-0.3972165,-0.6833396,-0.2219716,-0.4214886,-0.946052,-0.5567558,-0.2541527,-0.2546104,-0.1952434,-0.2642964,-0.4396235,-0.127614
A0A0A0MS15,-1.8482009,-1.1279564,-0.9053014,-1.8326832,-0.8549208,-1.3105013,-1.0937588,-0.7714309,-0.5493226,-1.2856501,-0.6413956,-1.724835,-0.2381333,-0.2786387,-0.339936,-0.28064
A0A0B4J1V0,0.36074965,0.45813432,0.29322762,0.37866429,-0.68326017,-0.78318307,-0.92914758,-1.13705891,0.80308569,1.09493626,0.09582194,0.53007138,-0.41602985,-0.20891689,-0.78210396,-0.67650149
A0A0B4J1X5,1.02121517,0.951313631,0.782545181,1.140704534,0.388363246,0.286427555,-0.698810366,0.251199198,0.303868937,1.237663603,0.554181391,1.257474063,0.197072889,0.48990024,0.008159665,0.340775831
A0A0B4J1Y9,-0.75701586,-1.71040036,-0.81213802,-0.88800974,-1.38531164,-0.74569126,-0.59307467,-0.63236446,-1.81255259,-0.87396642,-1.6041448,-0.62667974,-0.47158051,0.01220777,-0.52011294,-0.83399427
A0A0B4J2D5,1.2483412,1.1960876,1.317047,1.3931155,0.9687912,0.9181242,1.2382534,0.9605422,1.0014287,0.796297,1.5751477,1.3061153,0.8227935,0.786885,0.6581471,1.2377249
A0A0C4DH31,-1.569843401,-1.544867424,-0.186661443,-0.178960118,0.112407869,0.072616114,0.001495835,-0.067270792,-1.677484829,-1.248491572,0.073195885,-0.268726268,0.121369199,0.314178339,-0.309613379,-0.294493392
A0A0C4DH34,-0.682826,-0.6978993,-0.7042953,-0.636317,-0.4908617,-0.7560845,-0.4717117,-0.3990008,-1.4696029,-1.7249714,-0.5672869,-2.0947212,-0.6077389,-0.1793513,-0.5795353,-0.4838642
