proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48
A0A075B6H9,-0.6534474,-0.6535204,-0.7012653,-1.1246235,-1.0067919,-0.9396441,-0.3382969,-3.1046605,-0.3795246,-0.30949,-0.3387558,-0.3768756,-0.6247458,-0.7227823,-0.6651775,-0.3421864,-0.3447671,-0.3497998,-0.8021358,-0.8564899,-0.7526635,-0.4786877,-0.4696567,-1.5565861,-0.9697732,-1.6802076,-0.8424965,-0.7152418,-0.8037054,-0.9820944,-0.9132226,-0.7232475,-0.7460785,-1.1204268,-0.9155083,-1.0778679,-0.8129313,-0.8305183,-0.8423152,-0.6752996,-0.6686477,-1.1874567,-0.6252631,-0.8268125,-1.3765551,-1.3155594,-1.2514156,-0.8812473
A0A075B6I0,-1.117963903,-1.366264945,-0.735537085,-0.383306593,-0.306335089,-0.345622569,-0.840948732,-0.550130092,-0.68830286,-1.467923747,-0.767881741,-0.564661218,-0.482899868,-0.567454996,-0.610074635,-0.073608994,0.000576001,-0.04677931,-0.666764392,-0.619289687,-0.893605215,-0.767692929,-0.662828569,-0.688485013,-0.169497511,-1.07226055,-0.814107017,-0.705914447,-0.566980548,-0.480706546,-0.902324268,-0.926811217,-0.635609344,-0.964787801,-0.453640767,-0.772908637,-0.877023361,-0.952943339,-0.764721112,-1.518917724,-1.844632132,-0.755873929,-1.779153282,-0.903015308,-0.855891661,-0.710541125,-0.86683329,-0.765023032
A0A075B6I9,-0.99855782,-0.27678006,-1.20187448,0.01246906,0.06105739,0.08691565,-0.71897671,-0.67030054,-0.79495474,-1.11880368,-1.0119508,-1.02720643,-0.66749448,-0.71122232,-0.60215568,-0.81134662,-0.66582385,-0.67325285,-0.80295854,-0.52678108,-2.07083482,-0.45859308,-0.42320369,-0.2972703,-1.50826331,-1.49041715,-1.62668306,-0.2654149,-0.95158633,-0.40879385,-0.58521437,-0.45101206,-0.30494829,-0.7557227,-0.89221904,-0.57093752,-0.69799113,-0.48550466,-0.41058255,-0.63162428,-0.57391229,-0.57603238,-0.7721869,-0.71727871,-0.57280087,-0.76975179,-0.45871372,-0.65522095
A0A075B6R9,-1.05807412,-0.94586534,-0.8208769,-0.83596158,-0.55427593,-0.5427634,-0.19150489,-0.33568565,-0.24474906,-0.23495087,-0.22502331,-0.36123469,-0.10566638,-0.20077023,-0.41928481,-0.25553392,-0.26008745,-0.29587163,-0.48501324,-0.3306677,-0.44706177,-0.12759652,-0.08582516,-0.33377116,-0.70444876,-1.41628633,-1.34634019,-1.05945457,-1.39857971,-0.86896418,-0.53220595,-0.44646528,-1.39976313,-1.10582474,-1.06080511,-0.77629536,-0.37431377,-0.40921377,-0.65501957,-0.55686163,-0.69140703,-0.85272803,-0.28800918,-0.21245212,-0.21069898,-0.1924366,-0.43809831,-0.49032271
A0A0A0MS15,-0.64364212,-0.54913593,-0.44461325,-1.10067446,-1.28317019,-1.93091265,-0.55705714,-0.73897373,-0.69237458,-1.88479396,-1.66283979,-1.70192658,-0.25003569,-0.38481143,-0.19559336,-0.28265127,-0.33477171,-0.08277567,-0.33327479,-0.32970736,-0.46929638,-0.09217958,-0.36362553,-0.27579588,-1.8928555,-1.83257937,-1.83552172,-1.00811127,-1.13310921,-1.2110512,-1.17082042,-1.05831218,-1.05473658,-1.86144165,-1.88603183,-0.87498585,-0.94739273,-0.86691807,-0.79173598,-1.30640609,-1.81531874,-0.92093185,-1.21514619,-1.11597627,-1.06830184,-0.75433268,-0.73295225,-0.78687582
A0A0B4J1V0,0.6759672,0.8371834,0.8145101,1.1181821,1.0974161,1.0250653,0.2403486,-0.6558102,0.1074477,0.4846,0.5967467,-0.1615743,-0.4779068,-0.2738164,-0.4074141,-0.4253412,-0.1390367,-0.2118282,-0.811457,-0.2519489,-0.7895422,-0.7099972,-0.6872211,-0.5839006,0.345273,0.2726656,0.4332057,0.4623263,0.4529815,0.4336021,0.256405,0.2810884,0.3499234,0.3391778,0.373627,0.5682866,-0.6622266,-0.7602179,-0.6819431,-0.5877294,-0.7912505,-0.8112392,-0.9674002,-0.951365,-0.7501619,-1.1199607,-1.1708698,-1.0660354
A0A0B4J1X5,1.496406831,0.260985944,0.315293329,1.202686269,1.240143477,1.334633399,0.743745386,0.538643,0.520388218,1.212002705,1.310746626,1.249258253,0.266787768,0.169391929,0.205688632,0.485887638,0.414846434,0.514416824,-0.057728191,0.086504469,0.00072142,0.340793301,0.31850559,0.501688121,1.005738532,1.003122328,1.036408222,0.947937233,0.915006487,0.965691999,0.761298198,0.685586617,0.791707388,-0.144583973,1.13566723,1.173302954,0.438417159,0.376365954,0.353645695,0.333903525,0.250862561,0.287357193,-1.65724958,0.242250473,-0.687537759,-0.671610755,0.23458947,0.245400885
A0A0B4J2D5,1.0022147,1.0016154,0.9965082,0.7879005,0.7852493,0.8554144,1.5531162,1.6269412,1.5867735,1.2606439,1.3478581,1.116068,0.827605,0.8172666,0.8145911,0.8106213,0.791094,0.74979,0.6415257,0.7271023,0.6507088,1.3095243,1.1662907,1.242569,1.2328645,1.2375392,1.2798229,1.022261,1.1909348,1.2443408,1.4796551,1.3049078,1.1847597,1.3672239,1.3880782,1.3188362,0.9699372,1.0075249,0.9650709,0.8865948,0.9100568,0.9261324,1.2376887,1.126918,1.2548017,0.9604024,0.9439324,1.0740597
A0A0C4DH31,-0.04405632,-1.58470861,-1.66606044,-1.18271388,-1.37864294,-1.24282506,-0.25483072,-0.14436044,-0.10987752,0.02906661,0.00360369,0.08788101,0.10946681,0.14525198,0.05533359,0.42726177,0.29893806,0.31126708,-0.32753655,-0.31508742,-0.3038412,-0.32323376,-0.22121717,-0.28964923,-1.57124248,-1.57362995,-1.72959117,-0.30878057,-1.44558614,-1.54614203,-0.12419569,-0.19655365,-0.19401961,-0.17467566,-1.33067391,-0.21015001,0.13151488,0.10041058,0.09236471,0.12365073,-0.59619045,0.07354575,0.08861295,-0.06193073,0.01276844,0.022522,-1.0343751,-0.07651602
A0A0C4DH34,-1.483997,-1.5538935,-1.2940877,-1.7333679,-1.5258079,-1.8363406,-0.8377215,-0.6415363,-0.7519168,-2.0999369,-2.1216175,-0.8369899,-0.5535642,-0.6132657,-0.6426478,-0.1788891,-0.1751423,-0.2695727,-0.5728741,-0.5129541,-0.6862728,-0.514413,-0.4945838,-0.3997412,-0.7659837,-0.776624,-0.7738629,-0.7264294,-0.7017943,-0.8462182,-0.7125504,-0.8088586,-0.8515425,-0.7923644,-0.8781917,-1.027407,-0.4897158,-0.4900351,-0.5137638,-0.6447523,-0.8011817,-0.7551549,-0.4696424,-0.4939291,-0.463404,-0.3819026,-0.4076279,-0.4141929
A0A0C4DH38,-0.1335983,-0.10681897,-0.19273016,-0.30460864,-0.25155183,-0.24376012,-0.64337722,-0.55948578,-0.71378029,-0.4453476,-0.55942358,-0.48736614,-0.82678997,-0.44302967,-0.71047793,-0.14532449,-0.20978142,-0.01840775,-0.4240315,-0.52663654,-0.38022156,-0.60284687,-0.69521537,-0.47136962,-0.91923292,-0.52893331,-0.5546547,-1.08450431,-0.84379256,-1.0339545,-0.6904944,-1.15285217,-0.84424146,-1.15618057,-1.21190041,-1.33683246,-0.85706503,-0.74498891,-0.69709562,-0.51426269,-0.78967542,-0.85955501,-0.41067311,-0.54302953,-0.50966174,-0.92012582,-0.58075369,-0.74039912
A0A0C4DH72,-0.3478788,-0.530896,0.3070563,-0.3501961,0.2100236,-0.3117101,-0.8525112,0.7113222,0.7399711,-1.4960721,1.0992473,-1.0097009,-0.6042558,-0.6257207,-0.698296,-0.8709714,-0.9978627,-1.1226494,-1.3717281,-0.3095492,-1.0975638,-1.7399706,-1.1910063,-0.8055009,-0.9074657,-0.9140558,-1.0741109,-0.1716129,-0.177269,-0.7076032,1.4520513,0.2622911,0.8711125,-1.1750613,-0.7395733,1.2213004,-1.7288048,-1.0373431,-1.4696225,-1.8085012,-0.666087,-1.1093875,-1.3098775,-1.2229705,-1.0826997,-1.4303596,-0.9602138,-1.106194
A0AVT1,1.0156323,0.9886913,0.9745556,1.1239338,1.0526269,1.2209366,1.1046757,1.0355939,1.1276888,1.0696344,1.0513957,1.0123648,1.0558202,1.0326852,1.1073089,0.646853,0.7083485,0.6332844,0.8395013,0.8001383,0.8973491,0.7594726,0.8052736,0.7365937,0.7685127,0.8177747,0.8206828,0.9569885,0.9048762,0.9315917,0.8871715,0.9669456,0.8169464,0.9954767,0.9504924,0.9035716,0.7358285,0.6533065,0.7596606,0.7385896,0.7376946,0.6436764,0.7414474,0.753882,0.7808654,0.73895,0.6852963,0.7589559
A0FGR8,-0.11143199,0.19178968,0.12500971,-0.40870925,-0.36948889,-0.40092134,0.0764918,0.06965637,-0.01677573,-0.258576,-0.18159074,-0.09484741,0.34356774,0.27434668,0.2098985,0.03405013,0.20161845,0.19793286,0.2566043,0.25351135,0.21303378,0.09442563,-0.02354643,0.02782663,0.34720576,0.17339981,0.36030158,0.41509775,0.45121188,0.53244706,0.0237603,0.16009438,0.3416725,0.21341779,0.28204875,0.29698038,0.33202264,0.3874881,0.31745442,0.4558673,0.40947839,0.49184604,0.45343477,0.43117701,0.24441522,0.55718325,0.37984962,0.37175777
