proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21
A0A075B6I0,0,0,0,7803900,0,0,0,0,0,1288500,0,0,0,0,0,0,0,0,0,81982000,0
A0A075B767,0,0,0,469720000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0A0MS15,0,5609000,4113800,0,46922000,4468100,57318000,987590,15390000,0,0,3471300,0,12869000,0,0,0,0,0,6854500,11966000
A0A0B4J1V0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32891000,0
A0A0B4J1X5,0,0,12281000,91742000,131860000,16669000,91105000,10602000,41267000,2780900,124180000,37272000,90486000,14554000,5595700,0,0,11198000,0,322950000,70804000
A0A0B4J1X8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46664000,0
A0A0B4J1Y9,0,25622000,0,67093000,0,0,0,0,0,2657000,0,7676800,0,0,10208000,2646000,0,0,26604000,106910000,0
A0A0C4DH38,0,0,0,10028000,0,0,0,0,0,5122200,0,0,0,0,7633600,0,0,0,0,317660000,0
A0A0C4DH67,0,0,0,0,0,0,0,0,0,2621700,0,0,0,5403400,5019200,0,0,0,0,74165000,0
A0A0C4DH68,0,22310000,0,0,113190000,0,0,0,35107000,0,0,0,0,0,0,0,289790,0,18839000,80057000,60266000
A0A0C4DH72,39400000,0,0,0,0,21048000,51798000,0,0,0,0,0,0,0,4504300,0,0,0,77259000,62079000,0
A0A0J9YXQ4,14412000,0,0,0,16698000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0U1RRL7,0,0,0,0,0,27089000,0,32189000,0,0,0,0,0,0,0,0,0,0,0,0,0
A0AVT1,995510000,1472900000,120200000,971210000,238270000,116600000,318890000,159980000,353490000,9253700,200120000,231850000,72379000,415620000,42612000,32932000,16852000,7816300,949970000,7974400,2016000000
A0FGR8,134250000,205160000,123050000,380430000,84962000,98751000,42940000,133110000,258060000,0,24326000,8967800,66895000,149560000,0,105660000,172240,0,252350000,10720000,45176000
A0MZ66,120540000,469940000,182720000,751460000,34133000,199820000,46638000,105050000,133590000,0,17650000,79838000,55416000,190520000,895200,5986100,0,0,389190000,0,139360000
A1A4S6,0,0,0,0,0,0,0,0,5257400,0,0,0,0,0,0,0,0,0,0,0,0
A1L020,249990000,333750000,0,298840000,24742000,0,64933000,0,116290000,3349500,65370000,25877000,0,40669000,2854200,0,0,0,126350000,2069500,245200000
A1L0T0,25807000,0,7050400,138160000,35492000,23340000,34177000,46468000,26304000,7314100,0,0,0,0,3700000,1756600,4420900,0,32121000,0,0
A1X283,0,0,6691200,20852000,0,0,54403000,0,17230000,0,0,25213000,0,64523000,0,0,0,0,195910000,0,96327000
A1Z1Q3,18154000,0,0,0,0,0,0,0,0,1036900,8953400,0,0,0,18014000,0,0,0,72949000,0,0
A2RRP1,219230000,71451000,0,0,10382000,0,0,3555100,12067000,2824400,0,0,0,29513000,0,0,0,0,41486000,0,0
A2RTX5,18763000,73352000,30316000,0,0,31475000,9788300,19705000,89707000,0,0,0,0,9597600,0,0,0,0,94569000,0,53612000
A3KN83,0,0,0,0,0,0,0,0,4509000,0,0,0,28886000,0,0,10048000,0,0,14960000,136300000,0
A4D0S4,0,0,0,0,0,0,0,0,0,5147000,0,0,0,0,4434500,4505400,0,0,0,0,0
A4D126,0,26557000,0,0,0,0,0,0,0,0,0,0,0,12622000,0,0,0,0,0,0,0
A4D1P6,73622000,70909000,0,0,0,0,31693000,0,0,0,0,0,0,0,0,0,0,0,28133000,0,49573000
A4D2P6,0,0,72793000,0,0,149970000,0,54518000,31772000,0,0,0,0,0,0,0,0,0,0,0,0
A4UGR9,1211900000,0,109870000,0,0,14135000,107460000,8611200,29616000,0,0,106770000,153330000,0,7001900,9034000,67072000,0,218570000,43502000,946820000
A5YKK6,296430000,704400000,1661800,238410000,46485000,85313000,129900000,57491000,189500000,16898000,23592000,40283000,0,272730000,27110000,4418600,2110200,0,461290000,0,240570000
A6NDG6,70571000,0,29153000,104640000,15950000,71915000,4611000,59840000,20029000,1174200,0,0,0,4521600,17953000,0,0,0,57721000,0,32998000
A6NDU8,0,0,0,0,0,0,0,0,0,1906300,0,0,0,0,5495800,1944600,0,0,0,0,0
A6NE02,166820000,32284000,1062200000,17558000,29386000,417390000,0,880200000,0,0,0,8944000,0,15889000,0,0,0,0,186620000,0,25203000
A6NFI3,67309000,110700000,0,3136700,0,0,2723000,0,0,0,2143400,915320,0,0,0,4512400,6057700,0,96447000,0,0
A6NFN3,0,0,21448000,0,0,57621000,0,29510000,0,0,0,0,0,0,0,0,0,0,41007000,0,26627000
A6NGB9,0,0,0,0,0,0,0,0,0,0,0,15175000,0,0,0,0,0,0,0,0,0
A6NGN9,20418000,153680000,39654000,3863300,29218000,45529000,0,52724000,17504000,0,5996000,18132000,1610600,1233800,0,0,0,0,74156000,0,0
