proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
A0A0B4J1X5,-0.88441375,-0.91661488,0.00271217,0.02330995,-0.9068995,-0.45272132,-0.92155032,-0.37264164,-1.08397442,-0.94812414,-0.78455499,-0.8059221,-0.93350994,-1.04892086,-1.25808424,-1.06592522,-1.1590235,-0.84376142,-0.73735909,-0.38449402,-1.26953944,-0.81153369,-0.4880316,-0.99908726
A0A0C4DH34,-1.0511963,-0.7282286,-0.6618438,-0.4513421,-0.7050582,-0.8192046,-0.6389677,-0.5862425,-0.7590649,-0.67596,-0.6426915,-0.7699723,-0.7138098,-1.2361494,-0.600608,-0.6953056,-0.8377696,-1.1163085,-0.2058671,-0.2063184,-0.6274325,-0.8275654,-0.1319189,-0.409036
A0AVT1,-0.319510411,-0.151661325,-0.85097056,-1.126505965,-0.0938945,-0.52017594,-0.334118623,-0.484221055,0.009574608,0.03754288,-0.193124095,-0.314244849,-0.110376979,-0.432774654,-0.142985022,-0.219768739,-0.307782797,-0.466300375,-1.036339036,-0.332477013,-0.306537096,-0.598359836,-0.062380332,0.11119039
A0FGR8,0.15093248,0.02553795,0.36837169,0.22491376,-0.07555807,-0.16952299,-0.54472974,-0.51174806,0.02951563,0.03437268,-0.5931725,-0.21028413,0.15992406,0.06676271,-0.09649207,0.20905601,0.49421732,0.51369092,0.23470072,-0.17480442,-0.40639612,-0.88346297,0.46486538,0.66837874
A0MZ66,-0.48159729,-0.47677046,-0.48546663,-0.5193715,-0.17456449,-0.49377601,-0.47021357,-0.52181449,-1.20760444,-0.64319297,0.11109712,-0.07817781,-0.40382686,-0.28573382,-0.0367993,-0.16750727,-0.41918466,-0.41810377,-0.47611431,-0.39494342,-0.0152867,-0.49444723,-0.3382807,-0.32865679
A1L0T0,-1.70112062,-0.7891291,-0.56634037,-0.54184373,-0.68964976,-0.7330714,-0.36410802,-0.53836277,-0.63554153,-0.53640364,-1.01018226,-0.8971004,-0.92294959,-0.90744513,-0.21387764,-0.31426337,-0.38166192,-0.07980753,0.06608681,-0.12080092,-0.74265734,-0.7391163,-0.37134898,-0.46417199
A4D1P6,-0.5533261,-0.6716789,-0.5862658,-0.6155852,-0.5771856,-0.326005,-0.3529317,-0.4304993,-0.7805372,-0.9344533,-0.5816612,-0.6255269,-0.7845045,-0.7965975,-0.9716528,-1.012596,-0.8429105,-1.0100176,-0.2403227,-0.2586045,-0.5918723,-0.6113698,-0.8606588,-1.0572685
A6NDG6,-0.57490067,-0.68127437,-0.70566323,-0.6602951,-0.49098256,0.01501316,0.08644734,-0.15691758,-0.2875627,-0.32735506,-0.36740804,-0.09496704,-0.85024636,-0.21161397,0.0143476,-0.03196183,-0.56587955,-0.13123512,0.10288018,0.12310706,-0.2234138,-0.21211046,-0.73409173,-1.13166426
A6NHL2,0.386806681,0.40011892,-0.37839869,-0.29553472,0.128284886,0.393548486,0.192178683,0.15444518,0.424888267,0.509469903,0.77139174,0.721287622,0.683499869,0.496768296,0.850837096,0.673645099,0.458576745,0.480167962,-0.018827696,0.070379414,0.192911728,0.310970285,-0.000419168,0.20043553
A6NHQ2,-0.73894091,-0.67213156,-0.27947562,-0.07082455,-0.48884889,-0.23606722,0.32983207,0.30334463,-0.52313532,-0.43596565,-0.02046293,-0.11002093,-0.45916626,-0.41418194,-0.79807967,-0.66036823,-0.29172982,-0.20637799,-0.28773014,-0.2647335,-0.78354442,-0.83338017,-0.2257028,-0.07884132
L0R6Q1,-0.8600225,-0.8471979,-0.4184529,-0.4278978,-0.7227144,-0.5987331,-0.1562899,-0.1982164,-0.5193146,-0.6064261,-0.8133506,-0.8268212,-0.6856414,-0.754449,-0.907013,-1.0086607,-0.1866104,-0.492661,-0.4754768,-0.3073385,-0.1794118,-0.3339769,-0.6366026,-0.5236549
O00151,1.1360511,1.07870231,0.90273433,0.9286159,-0.04815565,-0.11213921,0.76426695,0.77693843,-0.50626067,-0.27125271,0.54943025,0.20707425,0.90109956,0.77291174,-0.5188018,-0.98193615,0.28303439,0.31317185,0.88388375,0.92106459,0.12852852,0.15891266,-0.24569787,0.18919783
O00159,0.5647995,0.5475357,0.6144154,0.623702,0.7927408,0.8101845,-0.3506986,-0.5169585,1.104536,1.0889191,1.1701876,1.2512557,0.4536464,0.5207534,0.8831387,0.9184299,1.0711966,1.0980416,-0.2337269,-0.6893652,0.4538909,0.5116738,1.5408618,1.6178263
O00161,-0.79066481,-0.22555108,-0.4502493,-0.41387894,-0.18065452,-0.21283624,-0.20109143,-0.31537941,-0.29568465,-0.14639124,-0.3156548,-0.38059704,-0.06186203,-0.12506375,-0.67266376,-0.73276666,-0.60982871,-0.30908162,0.42192559,0.29896715,-0.43503309,-0.33785569,-0.36565125,-0.57053259
O00168,-0.659989217,-0.802792766,-0.147607806,0.024265558,0.42123756,0.001234704,-0.250728022,-0.488523398,0.086264159,0.138336205,-0.488088237,-0.49561527,-0.338536159,-0.468581316,-0.10528257,-0.0607668,0.032016126,0.019186193,0.566817734,0.501167084,-0.067849583,-0.566040897,0.052683687,-0.106620046
O00170,0.07019588,0.24005523,-0.32384412,-0.46043131,0.18007008,0.12828538,-0.62569825,-0.63837924,0.18554817,0.20792312,0.21514936,0.26381012,0.13316035,-0.16355921,0.15296275,0.15952924,-0.06769925,-0.0158956,-0.13288324,0.03437938,-0.02798273,-0.0733649,0.31105732,0.17130921
O00186,-0.9199047,-0.6475179,-0.5003283,-0.4102751,-0.18656,-0.2137056,-0.2994419,-0.5036412,-0.1473998,-0.1356751,-0.4435481,-0.304041,-0.7604205,-0.3245295,-0.3918792,-0.5750295,-0.1942496,-0.1759795,-0.16006,-0.329776,-0.6387794,-0.9715059,0.2439758,0.2547448
O00203,0.13351347,0.22904885,-0.85199137,-0.29487075,-0.37580706,-0.30466571,-0.20610426,-0.65692016,-0.11361172,-0.01385109,0.07528679,0.03103014,-0.11494419,-0.24337407,0.20245892,0.20626191,0.00319802,0.09078562,-0.12867057,-0.17945854,-0.16649258,-0.02887899,0.22234685,0.19137423
