proteinid,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
A0A0B4J1V0,0,0,0,0,0,0,0,0,158270,187980,0,0,259770,193100,0,0,278960,219480,334350,149130,0,0,0,0
A0A0B4J1X5,0,0,973150,926100,143380,310860,119420,0,257890,0,0,0,149100,118960,103200,162260,86780,0,179410,0,133750,0,640180,159990
A0A0C4DH34,133830,0,210680,310460,0,0,0,295960,0,0,445450,339950,0,77298,468990,380920,0,86213,0,0,586690,0,1453500,622510
A0A0C4DH35,0,0,573860,402380,0,0,0,0,0,0,0,0,0,0,0,0,91768,144500,0,0,285500,231910,1085700,743450
A0A0C4DH68,0,0,202480,404920,0,146710,0,0,395740,307610,578390,667800,0,0,0,0,390120,0,0,0,0,0,842500,1065900
A0A0J9YXX1,0,0,0,0,634530,0,0,0,0,0,0,0,0,0,0,0,0,0,822770,602880,0,0,277040,424290
A0AVT1,721510,1109100,136300,65590,932170,266140,461860,374330,3198800,3148600,1254200,970830,992230,491530,1345200,1138600,616120,385110,90129,0,1228300,450320,1705900,2062400
A0FGR8,2131500,1667900,2258600,1473200,972370,596710,284380,351340,3349100,3125700,499250,1233400,1848900,1552700,1497200,3056300,3905400,3677700,0,662490,975990,233570,5743800,7439800
A0MZ66,0,524640,0,0,774150,282820,337610,343290,194000,0,2526900,1671900,504850,689590,1717800,1284200,476720,430310,0,0,2401900,572050,903760,0
A1L0T0,29962,0,0,252060,236450,163010,0,0,724220,839790,191120,253680,152770,164770,1142600,915960,519740,937730,0,0,449970,325660,0,0
A1L188,0,555080,0,0,0,267400,182860,0,0,831080,0,606430,395750,320990,0,528640,1133700,813010,0,0,0,1075600,0,1950200
A4D1P6,421140,0,0,0,306340,416180,442280,423620,518650,335830,512660,474090,0,0,199580,183460,0,0,0,0,636750,437030,271440,139930
A5D8V6,447570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1649200,543070
A6NDG6,400730,327610,190460,191890,373600,912640,1216400,795350,1613800,1359000,839620,1608500,180610,817920,1932500,1754600,340070,833010,1241900,1315500,1487400,1095900,363280,117900
A6NHL2,3669100,3951400,404640,444440,1554800,2181900,1551700,1629000,8323400,9333500,11558000,10536000,6172900,4179200,13262000,8908100,3597700,3404500,938380,1165100,3879300,3654700,1967500,2532900
A6NHQ2,274670,334580,508150,745630,375440,511940,2130400,2295200,938160,1058300,1866500,1553700,444450,513030,297640,412830,639320,700660,0,0,409540,262120,1171200,1331500
A6NHX0,0,132200,0,0,0,0,0,0,534590,434450,0,213450,83620,67084,0,0,0,0,0,0,664550,199250,0,0
A8MWY0,0,0,0,0,0,0,0,0,3789300,3490500,131230,347930,0,0,0,0,0,0,0,0,0,96159,0,0
A8MYZ6,0,0,0,0,0,0,0,0,273380,283830,364510,540180,171380,0,0,0,0,0,394410,473730,276370,0,0,0
C4AMC7,0,0,0,0,0,0,0,0,684450,445510,0,0,0,0,0,0,0,0,0,0,415390,276670,0,0
E5RIL1,0,0,193950,0,0,0,0,0,0,46078,0,0,0,0,0,0,0,0,0,0,0,0,693050,0
L0R6Q1,207840,223580,368990,327680,0,0,0,0,946450,714740,0,298240,0,0,231610,185130,814400,362430,0,0,1646000,827760,0,0
O00115,948460,537500,0,0,0,0,0,0,3421000,4152800,0,1410100,0,176720,0,0,0,2307800,0,0,2331600,1821500,1315200,1024000
O00151,20597000,18851000,7730400,7446700,1035700,681000,5792900,6829900,975330,1546400,6933000,3224500,10188000,7892900,566200,196880,2401500,2317700,7500500,8261300,3344800,2575100,1118500,2468200
O00154,679680,756910,231580,0,0,0,885980,0,0,0,0,0,0,0,425000,1322600,102690,136450,0,278190,0,0,0,59888
O00159,5527800,5548400,3980000,3690200,7180100,5694700,444560,347150,39806000,35440000,28952000,35698000,3636100,4416500,14286000,15652000,14745000,14123000,572110,202590,7075100,5801700,68422000,66223000
O00161,243830,935580,342940,338430,763370,540070,627390,552200,1583900,2061500,945880,833280,1109500,998300,397290,349440,307340,553100,2589000,1972200,913710,820400,848560,429190
O00168,329430,247650,688430,928140,3052300,884140,559630,370640,3816600,3971100,635920,639400,586750,452630,1467200,1642000,1347300,1177800,3614300,3141600,2128100,485110,2223400,1249000
O00170,1769900,2733300,458800,304030,1751700,1184600,236010,262480,4796900,4661200,3211000,3674500,1738400,913620,2659100,2726900,1070900,1086400,0,0,2332700,1508400,4030800,2368600
O00182,147560,265660,0,87972,96805,0,0,0,0,0,0,262490,0,0,6084600,5750700,160620,180340,0,0,0,0,0,89563
O00186,181070,354090,305590,341250,753060,538990,500250,357960,2228500,2113000,704600,993910,222110,630660,758390,502470,800200,751460,0,0,571560,190710,3453900,2870300
O00203,2047700,2664900,135980,445120,487060,437140,620190,251510,2408800,2797200,2326900,2149900,981850,760240,2980100,3036700,1260800,1388900,0,0,1695700,1671100,3286100,2480600
O00231,5491900,6311200,2240600,2257200,5582800,4437900,3779300,4814800,8214500,6352500,6476200,8595100,3487400,5941700,8380000,7051500,2497500,3134500,1305500,1357500,10340000,8639800,5285500,5057400
O00232,3896600,4794500,1050500,725870,2715800,2103100,3611300,2940000,3015000,1184100,5493100,4762900,3398900,2664800,4847900,4568700,2541200,1775400,549660,689120,4243800,4650100,1764800,2898000
O00233,2316100,2463400,313870,365880,3751600,1298100,1124400,1192400,5266800,5415300,2828600,3192300,3495600,3717100,2430400,2952600,2482000,2911900,5881400,3840000,5227900,4728300,1344500,2353000
O00244,7816900,7131500,5560600,109600,1818300,3253700,1079600,1588900,8767800,8298700,6675100,7806400,2819500,2070700,2733500,6301600,2964800,3250500,2734200,3436000,22061000,11966000,3204300,4709900
O00264,5989000,5854500,14754000,8936600,40584000,30432000,17475000,18606000,31497000,28750000,28538000,27128000,18285000,14226000,2851400,3237600,11778000,3231100,9321600,10178000,32521000,19311000,6498100,5105300
O00273,706520,925240,0,0,0,0,0,0,398430,200390,1323600,609750,518350,245590,539030,483340,0,0,0,0,1274900,988110,250270,270600
O00291,0,0,246040,0,0,0,0,0,3546200,1920800,379950,109450,148760,0,240490,0,0,73161,0,0,0,0,122300,0
