proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
A0A2R8Y4L2,-0.61681969,-0.06821774,-0.64448583,-0.618714,-0.4934597,-0.58251342,-1.15168411,-0.19684883,-0.65865836,-0.71849445
A0AVT1,-0.837443,-0.7095196,-0.5829433,-0.3270576,-0.6951972,-0.6926654,-0.3825311,-0.4142731,-0.3330612,-0.5101877
A0FGR8,-1.0013446,-0.6794127,-1.3807029,-0.9697829,-0.731655,-0.6838273,-0.9027412,-1.2009082,-1.3084987,-0.8618509
A0MZ66,-0.6010443,-0.2569044,-0.2361311,-0.7604311,-0.9682241,-0.2994573,-0.8587274,-0.4559855,-0.5612671,-0.693224
A0PJW6,-0.64762898,-0.27278177,-0.6801957,-0.07202032,-0.37517147,-0.43207983,-0.07842139,-0.45793539,-0.37093242,-0.59880195
A1L0T0,-0.3253884,-0.1061895,0.1500522,-0.168907,-0.2032876,-0.1122746,-0.4231314,0.1436514,-0.6606665,-0.3153207
A2RTX5,-0.7347306,-0.8034847,-0.9597909,-0.9523105,-0.7034019,-0.7711819,-1.3565682,-1.3299747,-1.2591051,-0.8154365
A3KMH1,0.8251807,1.0084256,0.9055539,1.1122593,1.1706341,0.987772,1.234695,1.2900239,1.2226749,1.2121783
A5YM72,0.16889957,-0.41081499,-0.01616444,-0.45628132,-0.66747364,-0.58066079,-0.34862813,0.02688292,-0.49185844,0.03029872
A6NHL2,-0.19211279,-0.51106245,-0.16428557,-0.06982229,-0.05882102,-0.11582838,-0.15682554,0.03021504,-0.27030356,-0.21396552
A6ZKI3,-0.79738524,-0.310898,-0.24860771,-0.320348,-1.03848654,-0.0536455,-0.75145846,-1.0790695,0.09874923,-0.19770001
A8MXV4,-0.48098301,-0.91560875,-0.30816321,0.20452735,-0.24129368,-0.05192084,-0.0848771,-0.01743505,0.10618877,-0.15684411
O00116,-0.780487266,-0.185069725,-0.009951967,-0.402260377,-0.863725201,-0.142892609,-1.121395391,-0.136536614,-0.807438517,-0.962614302
O00139,0.4104698,-0.2211882,0.1615237,0.2266913,-1.4605941,0.2891326,-0.1750371,0.1159444,0.2885729,0.3351678
O00142,0.005804158,-0.469582852,0.205431711,0.310818466,0.036598134,0.299346732,0.216495573,0.291446605,0.316629763,-0.216107838
O00148,-0.9416084,-0.9417063,-0.108972,-0.6468079,-0.3374848,-0.5661353,-0.9333331,-0.3445939,-0.5967091,-0.605623
O00154,1.193145,0.2220909,0.5816415,1.0465797,0.6817921,1.0921316,0.7328661,0.8994836,1.1358859,1.0743548
O00165,-0.3807888,-0.9394618,-0.7440667,-0.171514,-0.2848602,-0.1982627,-0.1020194,-0.3579844,-0.2781323,-0.2171591
O00170,-0.8235305,-0.5829806,-0.3480365,-0.4399753,-0.6542968,-0.2884491,-0.4641622,-0.4918209,-0.423438,-0.4668983
O00182,-0.9790561,-0.2979827,-0.833668,-0.8466409,-0.6558401,-0.8953075,-0.360142,-0.8295163,-0.7161113,-0.9461707
O00186,-0.7554366,0.160128,-0.1614225,-0.3231721,-0.6028139,-0.6846665,-0.7213783,-0.7007912,-0.4233994,-0.5722105
O00194,-0.8412128,-0.4427195,-0.8871512,-0.8433288,-0.6273571,-0.7817803,-1.159895,-0.9433671,-0.997415,-0.8202531
O00203,-0.53793568,-0.0466364,-0.30754536,-0.6540347,-0.37992013,-0.51999677,-0.09055604,-0.33739303,-0.37571268,-0.48331205
O00213,-0.8916462,-0.9938508,-0.9977416,-1.2310347,-0.909872,-0.7683965,-1.4540561,-0.9037354,-1.020752,-0.9235588
O00217,1.02246567,0.08329204,1.35318016,1.44721813,1.56427532,1.34068879,1.38165493,1.38293564,1.41504837,1.20195655
O00231,0.024580065,-0.060734157,0.164589885,-0.470519244,-0.218054979,0.003506604,-0.294283176,-0.017503657,-0.226719045,-0.294335623
