proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
A0A0J9YX94,0,72011,0,0,0,0,0,0,0,0
A0A2R8Y4L2,898030,0,1100900,397390,0,706440,190080,2513100,654650,572380
A0AVT1,540340,55999,1268500,777810,204650,548180,1117100,1523300,1385500,924680
A0FGR8,370480,0,202080,0,0,559450,0,248970,146610,411460
A0JNW5,0,112350,0,0,0,0,0,0,0,0
A0MZ66,931250,158780,0,0,109140,1355600,373160,0,819220,0
A0PJW6,836530,0,1014000,1399300,427600,998870,2250100,1377600,1269800,754010
A1L0T0,1756800,0,6859400,1119500,0,2086000,1017400,5504400,651630,1448300
A1Z1Q3,1368200,0,0,0,0,450190,0,198000,0,0
A2RRP1,0,0,352330,103460,84902,0,0,153640,0,0
A2RTX5,684510,45104,532650,0,200820,0,118590,184960,164270,457870
A3KMH1,24848000,2925000,39065000,21389000,15026000,26264000,46272000,77105000,49813000,48793000
A4D1E9,0,0,0,0,0,208770,0,535530,283380,0
A4D1P6,0,0,803250,166300,230870,0,429430,0,0,0
A5YM72,5482900,111400,4678100,577630,218140,709460,1207800,4206700,961190,3209800
A6NDU8,0,0,0,0,0,0,0,0,0,0
A6NHL2,2387800,0,3326200,1406400,0,2069000,0,4239100,1600900,1829000
A6NK58,0,0,0,280370,0,643050,399260,0,562360,324770
A6ZKI3,592550,0,0,789920,92837,2387500,477710,329600,3744700,1898800
A8MXV4,1227800,34841,2388200,2645200,581990,2397000,2216900,3798600,3809400,2086100
C9J069,0,0,0,0,0,113840,0,0,0,0
O00116,616060,187340,4745500,654140,138830,1944000,203810,2887500,464760,326260
O00139,9562700,172390,7043000,2783700,35124,5256800,1801300,5164200,5797500,6476600
O00142,3766300,0,7792300,3378700,0,5381900,4437300,7735800,6184400,1820000
O00148,425110,32809,3778000,0,0,733590,314260,1788400,755020,742260
O00154,57977000,478400,18530000,18387000,4875300,33398000,14571000,31372000,40790000,35525000
O00165,1546400,32979,875320,1112800,0,1711300,2131100,1734100,1572300,1815600
O00170,557930,74941,2178700,599730,224860,1390400,925680,1274200,1125200,1021600
O00182,389990,0,712140,235120,0,343780,1176200,585520,573530,338850
O00186,652640,414790,3348200,784800,253160,558370,511970,787530,1125300,801620
O00194,535670,0,0,236920,239250,0,186520,0,300090,452820
O00203,0,257670,2391600,366350,422950,0,2188100,1818300,1255900,983710
O00213,476940,0,488080,97027,0,460460,94745,493540,284390,356960
O00217,39136000,347530,109500000,46254000,37195000,59194000,64905000,95498000,77574000,47658000
O00231,3932700,249440,7092900,559000,613980,2723300,1368800,3798000,1769900,1520000
O00232,2338700,0,3672500,681080,0,703270,1275400,0,0,704770
O00264,11821000,0,10582000,12922000,7581100,6380600,6373500,9145200,8375700,6723800
O00299,543680,71163,5502200,0,257270,0,459710,383330,0,365430
O00303,0,0,1141300,0,0,0,0,0,0,359640
O00330,43513000,2667200,65785000,42921000,17087000,35990000,32231000,74155000,60777000,50841000
O00408,42413000,1320000,3241700,8306500,9816200,31001000,6195900,17505000,25904000,26065000
O00410,4394700,413860,4129900,1150800,384850,1827300,459890,3960500,2847000,3861300
O00429,28340000,1639300,42674000,4557300,2932000,23585000,8273600,20188000,11068000,16816000
O00442,1710300,51851,3391400,1061800,338070,1516500,1299800,977930,1452800,1526000
O00445,9033500,1934100,4131600,2223600,3356400,3963800,6096300,4053800,5737500,4465200
O00483,62275000,0,82505000,57911000,12777000,55318000,97402000,85481000,83345000,30203000
O00487,1559600,55312,2608000,645730,375230,1183600,770620,0,1087800,978100
O00499,8210000,129920,3687800,1622000,0,2849000,3818300,4357900,4347700,4471900
O00519,2202500,0,2853200,1166600,466890,1227100,320470,4497100,1239300,1548500
O00533,1935600,0,0,53284,349760,204980,848900,812640,740140,901480
O00534,1053300,0,2142000,176750,55809,77539,245790,0,385100,68637
O00555,620190,0,0,267550,146180,438300,99098,1043900,458840,646960
O00560,1444200,0,3678800,299200,282540,538980,2878000,0,417750,361630
O00571,2793900,206120,15210000,2425200,1050200,2810000,4155200,5107300,4046800,3862800
O00625,0,0,178790,0,0,33898,0,0,0,17631
O00746,0,0,993330,234440,0,478440,0,1145200,0,186540
O00764,26818000,0,35747000,11397000,78655,11996000,10429000,24153000,16888000,19833000
O00767,0,0,0,748530,0,0,0,1609000,0,825720
O14490,453500,0,0,0,0,428170,0,0,0,281290
O14495,7281700,54592,14261000,3770500,2679900,7334800,4355100,6535000,6405600,5769700
