proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35
A0A1B0GTU1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.31,,,,,
A0AVT1,,,,,,,,,,,,,,,,,,612.4,717.33,1247.3,2738.9,,,,1270.2,,342.02,,,663.14,,,,1013.1,
A0MZ66,,,,,,,,,1481.1,,,,1680.5,,,,246.32,,1302,2551,4311.5,2350.5,1314.5,,2581.9,,,2916.2,921.93,1971.9,,1453.6,920.75,3540,2373.4
A0PK00,1385,2671.1,,2426.3,,3023.1,6656,8038.1,4777.3,6911.5,4237.2,4454.7,6550.7,4785.4,3859.9,6940.8,5047,,,,,,,,,,,,,,,,,,
A1L0T0,,,,,,,,,,,,,,,,,,,,,,,,1562.2,,,1333.6,,,,,,,,
A2RTX5,,227.74,,,,969.74,,705.16,,3084.7,,671.1,636.32,625.07,559.65,,449.42,1400.2,3938.2,1820.5,4281.4,2221.6,2069,1236.8,1899.4,1618.4,,1616,2629.9,7860.4,2545.1,4344.6,,3190.2,
A2RU67,,,,,,,,,,,,,,,,,,844.9,,640.44,871.93,1187.8,551.2,2327.9,2758.7,1653.1,2292.6,907.41,445.9,3287.3,2092.6,644.77,2982.8,821.1,1311.6
A5PKW4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1632.5,1094.3,997.59,,,1022.1,,669
A6NE01,,,,,,,,,,,,,,,,,,,,,,,,1094.7,,1140.2,1202.3,2143.7,,2454.6,,1196.8,1095.5,,1219.7
A6NFN3,,,1219.2,,,,,680.62,2023.8,,,,1172.5,,,,,1390.7,,,,,,,,,960.64,2069.5,,1687.3,,,,1159.4,
A6NHL2,,,,,,340.84,,697.11,4085.1,3236.1,2161.3,718.55,,,509.83,,,,,33909,4290.6,3358.4,3534.7,,,1187.2,2851.3,7412.8,15108,4516.6,2254.1,2500.9,,4591,3275.5
A6NHQ2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6XGL0,556.16,,,226.12,,,,,3579,2043.2,2190.4,,,,1178,,311.19,3095.1,,2077.4,7524.9,3075.4,,1183.1,873.24,1019,1698,3581.2,3149.3,,983.56,2157,,2665.3,2049.6
B1ANS9,1234.6,717.14,1180.1,1831.1,991.58,806.63,,1670.5,1609.7,,1665.8,1269,1770.1,1529.7,,1600.1,,,,1014.3,6059.3,,6038.7,,,,897.32,,,1546.4,,,,,
E9PAV3,630.14,,1370.9,,,,,,8597.2,5908.8,3839.7,970.98,4834.1,1005.7,1029.3,,,,,1914.8,,4763.8,3139.1,1634.7,3973.1,1405.4,965.43,2331.3,3047.7,1673.4,2993.8,1387.6,1119.4,7121.1,1611.8
O00139,,,,,,,,,,,1467.1,,594.45,,,,,8723.4,3480.9,6903.5,7418.9,4997.8,2387.3,2938.2,2141.5,,3861.2,7239.8,2226.8,3253.8,1724.4,2033.1,5651.8,1929.1,2822.3
O00154,,1424.1,,1444.9,1271.5,,,6389.5,4299.5,23002,10072,6344.8,8071.4,3812.6,4267.7,4632.6,4953.6,9689.3,23839,33457,20662,36749,17560,17173,17770,5961.9,6857.8,37196,18835,40570,6848.3,19877,18227,27892,16843
O00168,,617.18,,538.2,,690.3,,,,,901.2,,,664.66,,,,839.25,,,,2358.2,,,,,,,1447.5,2299.3,1630.2,,,,
O00170,,,,,,,,,,,495.94,,,,,,,1382.6,,,3008.3,1709.2,3009.7,1104.8,1779.9,1363,1634.7,1681.4,1907.9,2724.6,,1123.6,1749.5,1726.4,
O00217,119.39,2083.6,2458.4,957.2,1626.2,2069.6,,,11645,8414.4,8808.2,2922.5,1807.9,2315.6,1019.9,683.21,160.14,6573.9,2196,4604.6,3683.9,3568.3,3385,6792.1,6956.9,3759.7,6435.7,7811.3,10720,14501,13527,8542.4,7723.9,7368.8,5355.9
O00231,7063.5,847.87,6473.8,1826.8,10051,1109.6,431.33,6863,46671,36895,22179,12998,20382,10039,5607.2,12103,9155.6,19456,18842,28505,28320,29600,34864,28854,19096,9910.8,23744,48015,16733,63724,24721,9590.5,29175,30802,18295
O00232,6401.5,446.27,2852,,1560.7,1902.6,,4406.7,24661,10980,6499.6,6922.3,13885,2414.1,4676.2,6477.6,290.46,14201,6506.1,5814.3,19806,10656,6631.4,12614,13810,10311,10169,18717,11683,26703,9071,8876.3,11222,21447,10080
O00264,7869,15604,19774,5619.2,10385,14980,7213,7176.5,44934,26842,25325,10930,28906,11127,6896.8,23498,11697,28441,50245,62086,46685,34482,35317,24665,32028,28718,26956,64115,59843,39440,44986,41232,19510,60866,41285
O00303,,699.47,506.75,589.52,2815.9,,565.36,1568.3,5926.2,9924.2,3354.4,2249.9,1590.5,852.18,850.11,1118.3,,4661,11362,9358.8,10033,10261,11809,11951,6758.4,8422.1,3010.5,18388,8984.3,11528,1469.1,11283,4756.5,9861.6,6102.8
O00305,,,,,,,,525.2,,,,,,,,379.6,,2272.3,,,,,782.8,1988.2,3136.4,710.69,,1103,810.27,,1306.5,1771.9,,2552.3,679.77
