proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58
,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Control,Control,Control,Control,Control,Control,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Control,Control,Control,Control,Control,Control,Control,Control,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Control,Control,Control,Control,Control,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Control,Control,Control,Control,Control,Control,Control
A0A075B6K5,-1.075599771,-0.272284082,-0.308656019,-0.46898561,-0.65744213,-0.129565938,-0.1594068,-0.23173654,-0.210293779,-0.031910796,-0.74212784,0.391491254,-0.389671204,0.557787364,-0.064376213,-0.443225533,-0.037639641,-0.62075382,-1.044708732,-0.260248616,-0.727814547,-0.763283267,-0.046135104,-0.115939594,-0.602012435,-0.509239128,-0.5797367,-0.371911693,-0.23702494,-0.302847805,0.12906876,-0.322533938,-0.230387667,-0.925579057,-0.989581613,-0.481043198,-0.691577998,0.528232847,-0.510557847,-0.423007963,-0.785980803,0.140333843,-0.619790409,-0.711970378,-0.253695308,-0.099617324,-0.63874593,-0.522031025,-0.389391749,-0.334156171,-0.071968096,-0.745000404,-0.369343874,-0.423554387,-0.534576682,-0.001249348,-0.04916417,-0.530215278
A0FGR8,0.22923973,0.2904766,0.20165159,-0.30531379,0.62414996,0.47633678,0.75932464,0.40057274,0.28818533,0.53670088,0.53897862,0.62704995,0.22984104,0.53749428,0.69564327,0.35235164,-0.10133757,0.19405453,0.26307781,0.28056208,-0.024133,0.53772574,0.07205379,0.63491891,0.37468419,0.56100381,0.24604961,0.16737688,0.26875768,0.49478874,0.26719626,0.0570155,0.22139897,0.21741048,0.27966392,0.1380115,0.53339259,0.41563817,0.15580256,0.42700012,0.50340669,0.08396551,0.24190844,0.54123898,0.37345773,0.19334196,-0.03211173,0.64494947,0.32582192,0.06931675,0.439307,0.71112488,0.60104943,0.59362499,0.65120169,0.46991716,0.43913263,0.17216668
A1L0T0,-0.37528591,0.1030129,-0.24966143,0.03457968,0.21160807,0.19256018,0.53648795,0.23394234,-0.12886618,0.26007629,0.36119032,-0.55907737,-0.09401187,0.25105929,0.36886497,0.18233181,0.18823301,0.19336733,-0.15908838,-0.22277351,-0.0339942,0.17629224,0.34581262,0.22468704,-0.19626667,0.15037832,-0.08276051,0.3227446,-0.34391181,0.22964031,-0.0551962,0.41472069,-0.19832247,-0.27391128,-0.03917089,0.0821801,0.09409473,0.15005841,-0.2499855,0.32147377,-0.22345395,0.1073306,0.17966903,0.33803972,0.25372967,0.09647071,0.12422678,0.4733744,0.12001898,0.32771746,-0.01378057,0.61793172,0.39826347,0.32023883,0.2381642,-0.19003584,-0.63506439,-0.17618108
A1L188,-0.8570127,-0.733231,-0.7789687,1.3896058,-0.8012061,-0.8528032,-0.9183511,-0.320756,-0.9283394,-0.8702788,-0.854237,-0.7118066,-0.9356712,-0.8289139,-0.6807162,-0.6377324,-0.6417301,-0.771371,-1.2198949,-0.9433882,-0.8607152,-0.8316404,-0.4448283,-0.767492,-1.0885261,-1.0191695,-0.976386,-0.8431021,-1.0180848,-0.53579,-0.9758124,-0.6778054,-1.0298984,-1.0073846,-1.1347258,-0.934389,-1.6613912,-1.3142783,-1.6653955,-0.5196722,-0.879341,-0.9492723,-0.9486014,-1.1863066,-0.8670331,-0.9393465,-0.8398228,-0.9246573,-0.8594973,-0.8046945,-0.7415066,-0.9470016,-1.1573037,-0.6946394,-0.4551312,-0.8818495,-1.0299661,-0.9089693
A2RRP1,0.021399923,-0.25435315,0.430105093,-0.668875142,0.334724492,-0.092529427,0.003819789,0.074575241,0.3884965,0.038557028,0.157565282,-0.6771661,0.420413685,0.120711548,-0.073154658,0.118626225,0.02140607,-0.038123697,0.521914471,0.446942448,0.304968233,0.480963956,-0.062452009,-0.114433083,0.535314793,-0.095145889,0.311705419,0.074124483,0.319697576,-0.148931747,0.438834913,-0.052482022,0.361544506,0.392845653,0.358341421,0.483675154,-0.120991164,0.172634807,0.091301514,-0.316741184,0.015912156,0.045690966,0.023914286,-0.017706244,-0.114204297,0.043652927,0.08222355,0.080561162,0.271194192,-0.142345379,0.309308674,-0.62014358,-0.101993749,-0.252375039,-0.064870333,0.26275493,0.145482506,0.34625951
A2RTX5,-0.11354308,-0.10740819,-0.51722624,0.66938482,-0.07936051,-0.37453284,-0.432069,-0.50316657,-0.89103841,-0.10672877,-0.48147428,-0.44560957,-0.22739454,-0.14875002,-1.29342406,-0.66783198,-0.27853453,-0.36354533,-0.76975498,-0.83323883,-0.48200562,-0.1401006,-0.28837243,-0.225235,-0.66041693,-0.17557277,-0.85202715,-0.23351807,-0.79314953,-0.49869502,-0.80498752,-0.35126538,-0.60166464,-0.82263017,-0.88384556,-0.83622145,-0.19438097,-0.59098173,-0.56352309,-0.1801879,-0.19307072,-0.39407047,-0.378904,-0.19869266,-0.8050479,-0.55302351,-0.19180649,-0.67959791,-0.57664337,-0.22838072,-0.70599337,-0.34303322,-0.50824729,-0.35631339,-0.20214936,-0.11606272,-0.454742,-0.35660584
A2VCK2,-0.16365295,-0.46954254,-0.63077414,-0.12064194,-0.46602039,-0.40832807,-0.2335987,-0.51755957,-0.48118931,-0.34233765,-0.41575791,-0.33942274,-0.48109689,-0.45773994,-0.24227018,-0.52864566,-0.6219658,-0.44835942,-0.70290396,-0.26333775,-0.60258938,-0.39000768,-0.65016747,-0.3632397,-0.38131758,-0.26012535,-0.64001095,-0.42076703,-0.23934697,-0.44142971,-0.42255005,-0.52824515,-0.35855501,-0.25736603,-0.46185195,-0.80587297,-0.16173082,-0.68775193,-0.45051347,-0.29505043,-0.30327186,-0.44233717,-0.40751623,-0.30784539,-0.53507604,-0.67624654,-0.20944033,-0.06505576,-0.34749148,-0.60808014,-0.77923948,-0.28082921,-0.49324941,-0.3420965,-0.18929637,-0.56416703,-0.43316446,-0.40016108
A3KMH1,-0.63095354,-0.50085654,-0.394804,-1.07446864,-0.70008687,-0.57853022,-0.54912722,-0.21802775,-0.82153802,-0.78847019,-0.60472567,-0.38324011,-0.28683765,-0.28075518,-0.48378899,-0.38492848,-0.28830218,-0.32960381,-0.43283569,-0.39615676,-0.15500751,-0.41843872,-0.34633809,-0.82002754,-0.29678493,-0.18468939,-0.23998968,-0.27696833,-0.22905147,-0.34194074,-0.34381507,-0.3242078,-0.57497527,-0.64296464,-0.59439473,0.35862028,-0.09858237,-0.34722218,-0.42726074,-0.5673212,-0.34328805,-0.66149241,-0.01739944,-0.33091102,0.0231614,-0.19446119,-0.27134351,-0.28095193,-0.64454294,-0.43002127,-0.17894825,-0.23486675,-0.26943478,-0.28898104,-0.78481608,-0.2314388,-0.23688352,-0.60857217
A3KN83,0.35385318,0.59179766,0.42241416,0.61028685,0.7882591,0.47018054,0.38791909,-0.68729779,0.33391947,1.31030854,0.46360477,-0.20799928,0.42815574,-0.14421195,0.39465855,-0.49529247,0.20181333,0.85084609,0.32813557,0.23342903,0.62844696,0.58112482,0.57210063,0.50127821,0.46293687,0.29318929,0.09873331,0.49169921,0.26784171,-0.05704341,0.2130166,0.82621407,0.44516171,0.1432504,0.21412871,1.31468263,0.61226301,0.73426888,0.8859475,0.23017778,-0.97357369,0.83546497,0.6213044,0.3497383,0.92401023,0.68672774,0.62181004,0.73215459,0.48173011,0.52143767,0.27635011,0.59185552,0.56924063,-0.04313084,0.82920112,0.21692899,0.6735153,0.4688993
