proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43
A0A075B6I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0A0MT36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0B4J1X5,0,0,16223000,9327500,0,0,0,10025000,2503500,0,0,2800500,9065600,17838000,5089700,0,23149000,2237100,0,0,0,0,15581000,0,4480300,1104800,0,8450800,1805700,4957000,0,0,0,0,0,0,14708000,16315000,0,35841000,14670000,0,4308100
A0AVT1,0,14389000,623970,14179000,0,0,5959200,13622000,13729000,671770,2738300,9865800,4714300,5405400,0,0,2987800,6367500,10627000,2266300,0,25898000,12239000,18624000,11962000,1040800,868820,7914700,2026700,16828000,4576400,265220000,2812300,0,0,840560,0,0,4832700,4098600,11136000,19927000,3461700
A0FGR8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788310,3239900,0,0,0,0,0,0,0,0,1140900,0,0,4738900,0
A0MZ66,0,0,0,17781000,9873400,0,0,0,33733000,7469100,13979000,0,0,0,0,0,0,0,0,23849000,0,0,4371300,0,0,490090,3110500,7497400,2723800,0,0,0,0,0,0,0,0,0,0,0,3121600,0,3918400
A1L0T0,1176100,15534000,3936100,1897600,0,8273700,1371000,33163000,0,585750,2020200,6537100,613710,9475400,7675200,16752000,3596600,5756400,3504000,4178300,0,8268400,7201300,11588000,3253000,0,0,3177600,4387600,3333400,16498000,4024900,1705200,614240,2195200,4866300,9381600,0,12490000,5321700,5242800,12254000,5134700
A1X283,8682900,74230000,117980000,5191900,5558500,0,0,11536000,0,2686000,0,15390000,35432000,177000000,4963300,54350000,78102000,21664000,8733800,9648700,5156100,37958000,24286000,31431000,25298000,2052400,0,13039000,17324000,22680000,8696600,19749000,0,5590200,0,33807000,14066000,5897600,18662000,110160000,32748000,22200000,39205000
A2NJV5,25702000,25067000,147490000,58223000,12025000,0,0,23426000,25023000,5064600,9503200,29091000,45625000,96978000,22697000,0,82685000,10738000,11713000,26136000,0,18823000,58078000,19821000,19225000,2277500,3638200,23710000,8469500,43252000,20098000,55732000,0,11142000,26722000,16537000,21828000,25479000,0,190720000,42246000,0,24096000
A5YM72,0,0,3635900,4598400,0,0,0,0,33774000,0,0,0,2858700,0,0,0,0,0,0,4312700,0,0,0,0,0,93502,932110,0,562380,0,0,0,3732400,0,0,0,0,0,0,0,0,0,0
