proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16
,Disease,Control,Disease,Control,Disease,Control,Disease,Control,Disease,Control,Disease,Control,Disease,Control,Disease,Control
A0A0C4DH25,-0.4110154,-1.0761586,-0.8069974,-0.4348028,-0.725628,-0.9595164,-0.5867214,-1.025746,-0.8742558,-1.0567953,-0.986267,-1.0355096,-0.7404106,-0.9132753,-0.7551428,-1.389646
A0A0U1RRL7,-1.269271,-1.0159043,-1.2609829,-0.6592318,-0.53701,-0.8544569,-1.6614398,-0.6677959,-1.2161872,-1.0020238,-1.3610606,-1.0806478,-1.4885281,-0.8858549,-0.67001,-0.7622122
A0AVT1,0.04468818,0.41739166,0.30851027,0.43486232,0.20936986,0.52801891,0.07074149,0.10109937,-0.16425173,0.28496142,0.33446151,0.01832625,0.22050918,0.16477152,0.16178463,0.06954364
A0FGR8,0.35368785,0.22889006,0.33369563,0.16601788,0.39640282,0.15883829,0.32515478,0.18422908,0.46164821,0.11588105,0.19884589,0.21280111,0.32441772,0.06702933,0.39709315,0.1867064
A0MZ66,0.19587454,0.55283494,0.22727856,0.84326458,0.2417761,0.87735259,-0.03300351,0.42275339,0.28360473,0.5880928,0.28346466,0.4662273,0.16698046,0.37043154,0.34400755,0.3127299
A1A5C7,-1.028004,-0.6713545,-1.0083341,-0.5770175,-0.9701675,-0.5719165,-1.4522992,-0.3391909,-1.1395292,-0.5462799,-1.36169,-0.4593216,-1.6204183,-0.6804921,-1.0042274,-0.4902943
A1L0T0,0.13814222,0.16060201,0.38658106,-0.18025342,0.20798873,0.14514415,0.3549688,0.06468011,0.15063263,-0.04996954,0.17099177,0.17988357,0.21452019,0.06403082,0.10986886,0.09363689
A2RTX5,-0.6538551,-0.1254429,-0.9277971,-0.7948642,-1.0394635,-0.2045601,-0.5820447,-0.5420016,-1.4024078,-0.4400812,-0.4604527,-0.6410959,-0.8511231,-0.7795432,-1.0016603,-0.5384015
A3KMH1,-0.8423264,-1.0141075,-1.0618555,-1.2907114,-0.7920804,-1.8229489,-0.7463808,-1.2554059,-1.0460407,-1.5194257,-0.9102373,-1.4214032,-0.9406641,-1.3723025,-1.0876918,-0.8948675
A4D1P6,-0.7633507,0.2932462,-0.6336641,-0.1556692,-0.7457708,-0.5389745,-0.7484736,-0.5921639,-1.0327284,-0.5735401,-2.1694312,-0.7269482,-0.8809484,-0.6391877,-1.6130454,-0.787923
A5D8V6,-1.1836824,-1.0970278,-0.9828086,-0.3946207,-0.3854329,-0.5740249,-0.9281587,-1.3956944,-0.4645567,-1.1168761,-1.3503891,-1.5050852,-1.0020429,-0.697604,-1.1055186,-1.126584
A5PKW4,-0.5877011,-0.921972,-0.6465745,-1.3043742,-0.6640889,-1.0215999,-0.6292697,-0.7517519,-0.514692,-0.7223843,-1.1636008,-1.0190837,-0.623512,-0.8533719,-0.478584,-0.5441188
A5YKK6,-1.1253467,-0.5926354,-1.202076,-0.3202938,-0.9102013,-1.1158178,-0.6570783,-1.2452708,-0.9674389,-0.5279187,-1.2636036,-1.0525104,-0.8524545,-1.0034162,-0.9372405,-1.0454896
A5YM72,0.22650574,0.70494062,0.29643064,0.92694168,0.12137509,0.96269399,0.02531014,0.29301757,-0.06677401,0.44001302,0.40621278,0.14993781,-0.34528559,-0.09372622,0.26176284,-0.0724312
A6NCM1,-0.232428683,-0.540880465,-0.793242841,-0.420902061,-0.343543871,-0.582496481,-0.495284766,-0.712903888,-0.719690073,0.004157488,-0.156543799,0.020756337,-0.563651207,-0.686545268,-0.362972006,-0.152527108
A6NDG6,-0.00240248,0.260090098,0.195111793,-0.322164723,0.001290104,0.24687291,0.495671222,0.219100142,0.260473831,0.318274293,0.328203479,0.200529471,0.19552174,0.202329642,0.361758573,0.326641655
A6NDU8,-1.0281322,-0.5221979,-0.8926547,-0.5855491,-0.9708912,-0.8762902,-0.8566441,-1.0694133,-1.0154794,-1.1760322,-0.9964314,-0.8654131,-0.8710283,-1.0783018,-0.7807877,-1.2114941
A6NGB9,-0.8558045,-1.0651456,-1.2973111,-0.8483079,-0.6208388,-1.3223883,-0.6827983,-0.8151188,-0.4830347,-0.7807187,-0.8443523,-1.068379,-1.04417,-0.9187968,-0.7850732,-0.8874739
A6NGN9,-1.1226687,-0.7096936,-1.0320552,-0.5158394,-0.9914238,-1.0595566,-1.4362233,-0.7441286,-1.003111,-0.8354974,-1.0573754,-0.7113226,-1.2931793,-1.1552765,-0.8835932,-0.5507772
A6NGR9,-0.9856758,0.0554444,-0.3722525,0.1652952,-1.2205794,0.1006365,-1.1926423,-0.2309006,-1.0921668,-0.4016579,-0.2574392,-0.2332325,-1.3554552,-0.1838501,-1.0166324,-0.3172475
A6NHL2,1.1237994,1.1592675,0.1915438,0.3548285,1.094315,0.9391102,1.2389786,1.177419,1.0143685,1.15055,0.9665543,1.2545047,1.0180517,1.3798835,1.0785182,1.3955331
A6NHX0,-0.7661296,-0.8533991,-0.9107702,-0.8895523,-0.6239411,-0.7979218,-0.5899261,-0.8581994,-0.8960048,-0.7359095,-0.8939707,-0.7055232,-0.9698788,-0.6514883,-0.8712878,-0.4813792
A6NL88,-1.3286011,-0.533201,-0.9334745,-0.5760277,-0.9003138,-1.1205887,-1.1560227,-0.9280988,-1.0815496,-0.5112374,-0.8966659,-0.6777986,-0.8756979,-0.7033231,-0.909482,-0.7947271
A8K0Z3,-1.1231051,-1.6155595,-1.4093955,-1.1962121,-1.2603142,-0.9190286,-1.2009004,-1.6929587,-1.9304013,-1.2795294,-1.8214815,-1.3762353,-1.2801443,-1.1639495,-1.4675956,-1.6577196
A8MVW0,-0.3529605,-0.4340338,-0.6321636,-0.3956887,-0.1466388,-0.199242,-0.4047399,-0.2933561,-0.2961079,-0.2597918,-0.5854271,-0.1969558,-1.6772105,-0.1867255,-0.2588825,-0.2047588
B2RTY4,-0.11241091,-0.32436211,-0.08643496,-0.37005703,-0.18108053,-0.34071861,0.28762971,-0.29604599,-0.44946376,-0.48621166,-0.1591391,-0.55706573,-0.07497322,-0.25107599,-0.10689531,-0.20536092
C9J069,-0.9615496,-0.8271839,-1.0027382,-0.7732087,-0.8612928,-1.2625487,-1.0048789,-1.0298871,-0.6535869,-0.5763908,-1.0200915,-0.6449199,-1.0025391,-0.8674895,-0.860809,-0.6876407
L0R6Q1,-0.7756484,-0.9080995,-0.8621256,-1.4129283,-0.869967,-1.1840956,-0.5631559,-0.7607728,-0.62668,-1.2350163,-0.8098325,-1.1742689,-0.6585539,-1.1439021,-0.9964104,-0.9174404
O00116,-0.9202557,-0.4596334,-1.1655413,-0.5798305,-0.4665448,-0.5523495,-0.6611977,-0.6214947,-0.5947514,-0.7913002,-1.2538116,-1.055104,-0.6388459,-1.017182,-0.7356379,-1.3947539
O00139,0.5138587,0.7957163,0.6343051,0.6454048,0.6164615,0.7148881,0.5719542,0.7325191,0.6258889,0.8395173,0.6389757,0.7972586,0.458371,0.6546167,0.6717449,0.6933879
O00151,-0.1834306,-0.7784743,-0.8078805,-0.8428557,-0.7478009,-0.7546392,-0.5320322,-0.684694,-0.5869501,-0.9770381,-1.2718704,-1.0247444,-0.7599009,-0.8569527,-0.5938379,-0.8232309
O00154,1.348514,1.490323,1.250397,1.717843,1.307419,1.26378,1.31735,1.420522,1.512938,1.323951,1.271353,1.407081,1.253001,1.260321,1.40135,1.34909
O00159,0.2665288,-0.29613073,-0.12236222,-0.30370881,-0.26856967,-0.34787484,0.15271605,-0.19697754,-0.06517019,-0.26387224,0.07676861,-0.42295,0.09269642,-0.05929991,-0.22364497,-0.35564178
O00161,-0.6060756,-0.2390485,-0.6183698,-0.1938624,-0.4319272,-0.3140578,-0.404928,-0.9082964,-0.5002256,-1.1348916,-0.2630723,-1.030877,-0.2415011,-0.648013,-0.1949573,-0.9144798
O00165,-1.11014,-0.8092085,-0.8561835,-0.6095438,-0.8487839,-0.9396379,-1.0268111,-1.0204732,-1.0288252,-0.9189423,-1.6329628,-0.9397301,-1.0452202,-0.8609646,-0.9628773,-1.0867166
O00168,0.05149203,-0.03435631,-0.23662698,-0.14250034,-0.67093576,-0.11250101,-0.27502182,0.06633899,-0.03574092,-0.27463632,-0.91237836,-0.09607841,-0.38447823,-0.06575649,-0.14124625,-0.07307919
O00170,-0.094531951,0.240100058,-0.088250752,-0.146119765,-0.237168094,0.131692031,-0.170065107,-0.004948938,-0.072677874,0.019522963,-0.059439764,-0.042209734,-0.242174039,-0.077238671,-0.192820129,-0.096174842
O00178,-0.6234025,-0.3975183,-0.4292847,-0.8830466,-0.6054387,-0.4097147,-0.7910829,-0.4372055,-0.4138598,-0.3919082,-0.6648528,-0.4228552,-1.2310416,-0.479871,-0.7868251,-0.3998726
O00186,-0.115692306,0.187052992,-0.014996694,0.272091389,-0.008358422,0.0360701,0.122111464,-0.049144542,-0.037611045,-0.057380335,0.287846242,-0.14929609,0.089292275,-0.273349601,0.083834536,-0.106997502
O00192,-0.9054847,-1.1794164,-0.7725661,-1.4286354,-0.8438906,-0.9279777,-0.6826001,-1.0707291,-0.9994675,-1.2682286,-1.1702736,-1.2231212,-0.7183054,-0.9928239,-0.9791159,-1.1105958
O00194,-0.6492828,-1.33111237,-0.15433765,-1.39655226,0.04109242,-0.96494017,-0.27727507,-0.41614279,-0.56157535,-0.6148383,-0.73924676,-0.52813952,-0.22762335,-0.44017064,-0.51510265,-0.53595418
O00203,-0.6092527,-0.4028952,-0.6062953,-0.1150775,-0.8711509,-0.5769323,-0.616818,-0.813775,-0.4561522,-0.6481226,-1.6762655,-0.6348788,-0.6258053,-0.7481526,-0.8811182,-0.8269828
O00213,-0.11824861,-0.55553874,-0.1655416,-1.18772976,-0.03885277,-0.46642179,-0.04694073,-0.37682319,-0.02177916,-0.31324094,-0.05969848,-0.28746627,-0.14194402,-0.22658123,-0.19334439,-0.11808345
O00217,0.1914894,0.8977028,0.1831456,0.7613752,0.4830201,0.7005674,0.2000668,0.8716184,0.4894052,0.7391187,0.5216574,0.7505844,0.1110548,0.7175662,0.5481367,0.7697226
O00231,0.6238122,0.7826597,0.5636158,0.6924474,0.6691799,0.6712697,0.6327029,0.9947058,0.5869131,0.9710079,0.8352938,0.6133216,0.8094529,0.6298331,0.7197325,0.5784957
O00232,0.5177565,0.3570531,0.4516382,0.4913732,0.5204859,0.285591,0.5019266,0.3709696,0.5361878,0.4525157,0.5626088,0.4232212,0.5089863,0.3532409,0.4186406,0.3362833
O00233,-0.1246059,-0.46079277,-0.15015172,-0.56255725,-0.3616114,-0.25862244,-0.02578417,-0.46696617,-0.16843919,-0.4195034,0.0817621,-0.1077122,-0.17712261,-0.13929037,-0.27911998,-0.22583348
O00244,-0.193866965,-0.024935567,0.001895773,-1.100371299,-0.163190697,-0.110144783,-0.077239668,-0.098928964,-0.314408155,0.087594793,-0.308505122,-0.403059891,-0.478633252,-0.026698897,-0.276680548,0.048042067
O00264,0.9387784,0.7455634,0.9360998,0.8358234,0.9070477,0.6864938,0.7794589,0.6664177,0.8234255,0.7080729,0.9447887,0.8057218,1.0585095,0.7789917,0.8657248,0.7879932
O00273,-1.03043,-0.304717,-0.7326034,-0.3012202,-0.5306251,-0.3838697,-0.5964641,-0.6042859,-0.3572005,-0.6549232,-0.3528879,-0.6916215,-0.4738504,-0.9258508,-0.7916473,-0.6428934
O00291,-0.5807466,-0.2027911,-0.7670009,0.1413549,-0.5360717,0.1632562,-0.4700945,-0.4515896,-0.6791393,-0.1604208,-0.3922737,-0.2656748,-0.6098302,-0.3459525,-0.5526946,-0.4056191
O00299,0.1356104,-0.3980455,0.3467547,-0.2746539,0.5369715,-0.071869,0.3261654,-0.4317458,0.7764125,-0.4275779,0.3368789,-0.6600541,0.7806158,-0.2113562,0.2157917,-0.2274754
O00303,-9.00E-02,8.67E-03,-5.80E-03,-1.59E-01,-2.44E-02,5.72E-02,-1.61E-01,-1.68E-02,-2.69E-01,-3.35E-02,1.24E-01,-7.48E-02,4.74E-02,-3.46E-05,-3.20E-02,-1.16E-01
O00305,-0.9150095,-1.1961917,-0.6787041,-1.2869322,-0.7397458,-1.5356771,-0.7005134,-1.1211062,-0.8646338,-0.7274141,-0.8929659,-0.8128972,-0.695049,-1.0142936,-0.8298952,-0.813386
O00330,0.666505,0.6654283,0.5747688,0.90974,0.6704763,0.3739478,0.6690097,0.7420819,0.6430257,0.7345753,0.5516294,0.5387497,0.5414902,0.7052998,0.6335657,0.6957869
O00401,0.10592895,-0.03856225,-0.03327965,-0.13657193,0.12256756,0.25957738,0.14540455,0.24569187,0.08803187,0.20494454,0.07741617,0.08545279,0.11097805,-0.05220207,0.06689215,0.30225627
O00408,0.7026719,0.8273804,0.5544472,0.4749856,0.7948612,0.6357118,0.8346261,0.835331,0.7892922,0.8488623,0.6560958,0.8421377,0.6273748,0.8187966,0.7375903,0.8096044
O00410,1.0334585,0.9835764,1.1033308,0.8999201,1.0727347,1.0771341,1.1750272,0.9076294,1.0724704,1.0544249,1.0494378,1.0295298,0.9991839,0.9875907,1.0336293,0.9933578
O00429,1.348999,1.336682,1.319249,1.334008,1.431719,1.323481,1.430539,1.370114,1.448063,1.376906,1.302734,1.414211,1.243206,1.369547,1.331921,1.41847
O00442,-2.80E-01,-2.09E-01,-2.48E-02,-1.75E-01,-4.82E-02,9.09E-02,-9.65E-02,1.15E-01,-2.07E-01,-8.74E-02,1.61E-05,-1.70E-01,3.63E-02,-1.22E-01,7.58E-03,-5.12E-02
O00445,-0.7022342,-0.8338539,-0.8526071,-1.0696282,-0.5053867,-0.6557536,-0.6840486,-0.5375088,-0.5157853,-0.4742992,-0.7762189,-0.3578038,-0.701966,-0.5976033,-0.9160889,-0.5612189
O00451,-1.1833157,-0.853666,-0.8644965,-0.7231618,-1.2302555,-0.7971058,-1.5097483,-0.6528741,-0.8716943,-0.7209209,-1.0172423,-0.6122105,-1.022409,-0.9529611,-1.0217698,-0.5364076
O00468,-0.059702337,0.077910389,-0.187676669,-0.527603328,-0.192682024,-0.206012583,-0.212146051,-0.000144367,-0.378638859,-0.090101846,-0.040515507,-0.007869711,0.003073966,0.15937133,-0.653308108,0.039147226
O00471,-0.237641621,-0.061010848,-0.42502198,-0.004061999,-0.206522433,0.003195203,-0.171650348,-0.080063957,-0.301676753,-0.034382098,-0.264995722,-0.142003023,-0.224933527,-0.116317548,-0.261392976,-0.079003675
O00478,-1.0275556,-0.7503726,-1.1163827,-1.1955776,-0.715453,-0.9745979,-0.8714457,-0.7474758,-0.5260316,-0.7478381,-0.605119,-0.6802206,-0.6326879,-0.6048595,-0.6121977,-0.7314815
