proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16
A0A075B6K5,959530,0,0,0,0,348040,0,308780,0,0,215510,475450,531920,0,0,0
A0A0C4DH25,1122200,0,310150,965050,512120,373860,546800,311910,408430,356660,278220,0,716630,0,658530,174470
A0A0U1RRL7,155530,0,109040,575600,790660,0,46037,711180,185860,404600,117380,302240,127990,571830,801140,739870
A0AVT1,3204600,11304000,4046500,7148500,4409300,11488000,2484800,4177100,2094700,7834500,5822600,3796000,6549600,6425300,5438800,5022400
A0FGR8,6527900,7323700,4288100,3849200,6782700,4909800,4463800,5058300,8851600,5308000,4260900,5940200,8320000,5130400,9350000,6577700
A0MZ66,4539000,15441000,3356200,18307000,4750900,25679000,1956800,8760500,5874600,15745000,5177500,10647000,5790100,10317000,8274200,8792200
A1A5C7,271070,921480,195090,0,291630,912660,74516,1515600,221740,1155500,117210,1263800,94468,917550,371100,1383800
A1L0T0,3974000,6258100,4843400,1734200,4395300,4757400,4781000,3841100,4325200,3623100,3996200,5506600,6459900,5095100,4826000,5308900
A1L4H1,0,0,0,0,0,0,74012,0,0,0,0,0,125090,0,84714,0
A2RTX5,641550,3238900,234840,421200,248620,2126500,552720,950110,121050,1475600,933690,831580,555370,730430,373300,1238700
A2RU67,0,0,128320,0,4813300,0,0,0,524640,123770,0,287010,0,663910,0,421980
A3KMH1,415680,0,172470,0,439460,51200,378590,183810,275000,122920,331450,137910,0,186560,0,545130
A4D1P6,498580,8493500,462280,1835200,488910,984580,376770,846470,283560,1085200,18247,682420,518510,1009100,91342,697340
A5D8V6,189410,345790,206900,1058600,1120900,908240,249110,133070,1049100,310580,120300,113740,392340,882100,293900,319730
A5PKW4,747110,517450,448740,130310,590080,324060,495770,586170,934720,770310,184950,348270,937980,616240,1244900,1222500
A5YKK6,216640,1104600,124880,1256200,334810,260860,465020,188150,329560,1205400,146910,322470,553670,436220,432990,385370
A5YM72,4870700,21917000,3935500,22197000,3600600,31255000,2238000,6498200,2621800,11196000,6868600,5139700,1780000,3543200,6846700,3621900
A6NCM1,1693000,1244400,320130,0,1234400,0,674940,641020,583020,4104000,1879800,3817300,1076600,904850,1624600,3011900
A6NDG6,2875300,7869200,3116600,1250800,2730800,6013100,6610300,5481200,5569900,8459100,5739300,5774700,6183400,7005700,8619400,9078400
A6NDU8,270990,1299100,0,682030,0,452830,0,0,0,271030,0,496120,530490,367130,620770,262950
