proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65
A0A075B6K5,20411000,10602000,2543500,0,0,0,24051000,22738000,9312600,8532200,3728600,5090300,0,11329000,0,12229000,0,5542400,5321500,0,2197300,4833000,0,0,0,6432800,0,20060000,17176000,0,19555000,10661000,0,4947300,27548000,0,5859000,13751000,49391000,10432000,5037700,0,5878500,12770000,37768000,14368000,4980800,24170000,13175000,6020600,3946700,18634000,10345000,1777400,0,15106000,10133000,0,6254700,5576500,0,4382300,6673600,8261600,6300500
A0A2Z4LIS9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1654900,0,0,0,0,0
A0AV96,0,0,0,4119700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5389900,0
A0FGR8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9804400,0,11784000,0,6869600,0,0,0,12461000,0,4414200,0,13048000,0,0,10538000,9956300,0,0,0,0,21381000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771400,0,0,0,0,0,0,0,0,0,0,0,0
A0MZ66,0,0,0,0,0,0,0,0,0,0,0,0,0,3007500,0,3828800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0PJW8,0,0,0,0,0,0,600560,0,0,0,5965100,0,0,6592500,0,0,0,0,0,0,0,0,0,0,0,0,0,8314300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11313000,0,0,0,0,0,0,0,0,0,0,0,0
A1KXE4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1326000,0,0,0,0,0
A1L0T0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1932600,0,0,0,0,7989600,0,0,4586800,0,5147600,0,0,0,0,0,0,5040800,0,0,0,0,0,0,0,0,0,0,4374600,0,0,0,0,0,0,0,0,0,0,0
A1L188,0,0,0,0,0,0,0,0,7117800,0,0,0,0,0,0,0,0,2986500,0,0,0,0,0,0,0,6015800,0,0,0,0,0,0,0,0,0,0,0,4238000,0,0,0,0,0,0,0,9153000,0,0,0,0,0,0,0,0,0,0,0,0,0,1131300,0,0,0,0,0
A1L4H1,0,3484400,0,0,0,0,0,0,0,0,0,0,0,0,0,6637400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331430,0,0,0,0,0,0,387600,0,0,0,0,0,0,1911500,0,2534700,0
