proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18
A0A0U1RRL7,360130,0,0,0,0,0,539830,465080,0,565210,616060,0,0,876170,535490,0,0,513960
A0FGR8,0,263580,0,903410,0,0,0,356720,0,0,187190,0,0,1435100,0,0,0,0
A1L0T0,0,22633,0,1035200,0,97145,26668,0,1018700,0,111350,0,0,0,0,93871,0,0
A2AJT9,0,0,0,0,0,0,0,151380,0,0,0,0,0,0,0,0,0,0
A2RUH7,829930,1789000,1085600,0,0,1008200,1869700,1934600,1043600,0,783800,1157200,0,696070,1017800,1402200,0,0
A2RUS2,1914100,3768400,0,3163500,3361600,10655000,181180,0,0,0,4905800,3677900,0,0,1050600,0,0,2336700
A6NE02,0,0,0,79723,0,0,0,98569,0,80177,0,0,0,225160,0,0,0,64469
A6NHL2,8144600,1302900,24589000,687580,22857000,4815500,0,2772800,0,988290,0,58789000,13121000,13712000,38633000,3873900,7363800,800480
B2RPK0,480490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C0HLU2,73729,952870,408210,0,0,83781,0,0,0,259320,0,87776,0,39620,0,0,0,0
H3BV60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O00139,0,590230,0,0,0,0,218990,254190,638870,0,0,0,0,0,0,0,0,0
O00154,9912700,4501600,646820,4409700,1448800,463240,3509000,2532700,3435500,2244700,3992600,11893000,23649000,245420,6070500,7684500,2248100,580870
O00168,63722,3185700,2513400,7966800,1229200,2917500,2745000,3383800,1489400,4052900,3742600,3912800,0,0,3846700,0,0,2426200
O00170,586580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O00186,0,0,0,0,0,0,0,142670,1067600,0,0,315810,111030,0,396770,41785,38471,0
O00194,0,0,1483300,2071500,0,1598200,3216400,0,0,424430,2244000,1248600,0,0,1732600,0,0,1210100
O00217,258850,1224800,1177400,776910,2795500,626970,1576000,812510,1469000,797700,794260,1714200,630040,3899000,222180,870500,696090,280410
O00231,0,0,291290,169820,0,0,0,0,659350,0,0,0,0,367110,0,113520,0,0
