proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48
A0A024RBG1,71434000,54345000,46887000,109490000,156990000,0,0,0,0,155740000,286080000,195810000,117310000,32935000,48371000,22239000,43456000,90152000,26762000,10820000,10976000,0,0,0,18629000,0,22438000,0,29499000,26974000,0,0,0,30789000,0,32033000,21759000,18666000,0,0,0,6155900,0,0,0,0,0,0
A0A075B6H9,0,0,0,29633000,37908000,43923000,0,54421,0,0,0,0,225830000,177570000,196260000,253190000,246970000,248160000,38570000,34997000,44650000,165130000,172820000,13649000,0,4630800,0,0,0,0,0,0,0,0,0,0,80059000,79244000,74792000,99313000,103710000,30762000,41955000,27726000,7238600,19532000,24468000,56416000
A0A075B6I0,24746000,13509000,0,163340000,190190000,172470000,0,0,0,8810800,0,0,313060000,253920000,222810000,469920000,547000000,498600000,52677000,60427000,32276000,84883000,110770000,100740000,154190000,18776000,32756000,49942000,69052000,83478000,0,0,0,0,92602000,43712000,0,59778000,89423000,14236000,6915700,0,2943700,23264000,0,78662000,0,73727000
A0A075B6I9,32577000,166000000,19221000,406320000,443180000,466930000,0,14796000,10431000,19685000,24122000,20766000,204660000,182360000,226910000,85958000,117920000,0,38497000,0,2146100,172950000,192330000,247980000,7067900,7168800,5043300,137710000,28482000,98511000,22992000,30667000,42701000,48782000,33732000,69594000,0,175380000,202110000,109820000,128990000,125730000,29913000,0,46069000,0,151810000,0
A0A075B6R2,48009000,0,0,81213000,76574000,71532000,0,0,0,0,0,0,174090000,210960000,375120000,63044000,60078000,113910000,36874000,36693000,40074000,45532000,76619000,79326000,0,0,3113800,0,1675300,0,0,0,0,0,0,0,36386000,50770000,31988000,0,0,37618000,88902000,26173000,71416000,62738000,87619000,57322000
A0A075B6R9,28405000,35565000,46214000,57602000,107460000,109540000,0,0,0,0,0,0,746210000,590720000,345720000,309100000,300140000,280970000,80052000,117450000,90245000,370610000,418240000,227990000,0,8503100,9617400,0,10176000,0,0,0,3432600,21785000,22880000,0,219800000,209060000,115120000,130450000,98415000,66488000,91209000,114090000,106050000,259340000,159190000,138780000
A0A075B6S2,7701100,8656100,6380800,139850000,97925000,80533000,0,0,0,0,1651800,0,140240000,139150000,119710000,60645000,72143000,82091000,0,0,10384000,36687000,36007000,34348000,14953000,7584700,13643000,11259000,11924000,9157000,0,0,0,7394600,6701800,7395900,42188000,25715000,11383000,28383000,28600000,25266000,14752000,9300400,4600200,3862400,28605000,25766000
A0A075B6S6,0,116870000,14550000,0,0,0,0,0,0,0,0,0,131200000,138850000,16804000,114660000,89848000,88873000,14735000,69490000,41300000,0,0,5613100,0,0,0,0,0,8477600,6638700,0,0,18539000,0,0,17779000,15993000,26840000,30057000,33034000,0,11486000,12255000,10896000,36029000,35708000,0
A0A087WSX0,2466800,15199000,2601500,5996800,38356000,32539000,0,0,0,0,0,14284000,0,0,0,0,1324100,1526700,361880,0,652330000,3604400,25013000,0,0,0,1139900,28400000,0,0,0,0,0,0,0,0,0,0,0,0,0,7305200,1706800,0,3317700,0,0,0
A0A0A0MS14,0,0,0,0,0,0,0,0,0,0,0,0,18222000,22345000,0,0,14960000,17809000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4693300,0,0,0,0,0,0,0,0,0,11117000,8860000
A0A0A0MS15,73761000,88665000,109910000,31313000,20061000,4481500,0,0,0,3374000,5389200,4391700,535170000,386670000,578650000,290390000,252720000,458940000,113530000,117710000,85741000,402100000,220610000,260550000,2915400,3260500,3118000,24904000,18752000,15532000,0,7574800,0,3824200,3421600,34556000,58742000,72873000,84030000,23222000,7398600,56825000,10787000,14247000,14720000,71117000,80735000,70109000
A0A0B4J1U3,29868000,0,0,15650000,23548000,13660000,0,0,0,0,0,0,0,0,0,59822000,104390000,68610000,0,0,0,24055000,20765000,20885000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
