proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29
A0A075B6I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32372000,0,0
A0A075B6J9,0,0,0,0,11430000,0,0,0,0,17676000,0,0,0,0,0,0,0,0,14740000,0,0,0,0,0,0,0,0,0,0
A0A075B6K4,0,4545100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29710000,0,0,0,0,0,21420000,13642000,19894000
A0A075B6K5,0,4637900,4930000,0,19880000,0,0,191770000,0,50858000,0,31326000,52174000,0,18801000,20076000,0,0,59429000,0,0,10692000,0,3962300,0,105950000,172030000,218120000,14417000
A0A087WSY4,0,0,0,0,0,0,2563300,0,0,0,18282000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8058300,0,20527000
A0A087WSY6,1743000,0,0,0,0,0,17065000,0,0,0,0,0,9742900,0,0,0,0,0,5660600,0,0,4410000,0,0,0,0,38468000,60569000,0
A0A0A0MS14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5112500
A0A0A0MS15,0,0,0,0,0,17156000,42590000,26267000,0,55161000,16439000,0,25023000,0,18391000,5799200,0,0,0,0,0,0,0,0,0,23783000,51778000,46551000,77719000
A0A0B4J1V0,19193000,9649100,0,0,20935000,0,12357000,0,9783200,111920000,144520000,0,0,0,0,0,0,0,0,0,73992000,14918000,0,16111000,9922100,0,10196000,0,3693800
A0A0B4J1Y8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34856000,15415000,34183000
A0A0B4J1Y9,0,0,0,0,0,0,25620000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23375000,136810000,0,0
A0A0C4DH31,0,0,0,0,0,0,0,0,0,0,0,0,0,5702500,0,0,0,0,0,0,0,0,0,0,0,152140000,173790000,0,329810000
A0A0C4DH34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1789600,0,49711000,36526000
A0A0C4DH35,0,0,0,0,7096700,12849000,74262000,18614000,0,0,13573000,7790800,21104000,0,0,0,0,0,0,0,0,0,0,0,0,16132000,113620000,40364000,169850000
A0A0C4DH36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47907000,21994000,0
A0A0C4DH38,0,1235300,0,0,8272000,0,8265700,0,0,32143000,0,0,0,0,0,0,0,0,0,7919800,4005900,0,0,0,0,20765000,198880000,18423000,73421000
A0A0C4DH67,0,0,0,0,0,0,16533000,0,0,5840600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54357000,11690000,0
A0A0C4DH68,0,0,0,0,0,0,37419000,0,0,0,27792000,0,0,0,0,0,0,0,0,0,24987000,0,0,0,0,23190000,114490000,68879000,134830000
A0A0C4DH72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11770000,30365000,21101000,47512000
A0A0J9YX35,0,0,0,0,16006000,0,35980000,0,0,0,0,0,0,0,0,0,0,5786200,0,0,3304300,0,0,0,0,0,202790000,99827000,70734000
A0A2R8Y619,0,0,0,0,0,10015000,0,0,0,0,0,0,0,0,17052000,0,0,46395000,0,0,0,0,0,0,0,0,0,0,0
