proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
A0A024RBG1,18031000,0,0,30541000,0,0,25400000,0,37882000,0,0,0,0,0,0,0,0,23211000,0,0
A0A075B6J9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71842000,0,0,0
A0A075B6K0,0,0,0,18174000,0,0,0,0,0,0,0,29216000,0,0,0,0,302530000,0,0,0
A0A075B6K5,163520000,184940000,201140000,120890000,159820000,191980000,156160000,276950000,156510000,154230000,154790000,148650000,130610000,66802000,95345000,127340000,314540000,108600000,104820000,180950000
A0A0B4J1X5,0,0,0,0,0,162270000,86892000,25805000,77918000,0,0,239130000,0,19076000,0,27170000,327830000,0,66822000,0
A0A0B4J1X8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32373000,0
A0A0B4J1Y9,25757000,44618000,23834000,19058000,17237000,51642000,66263000,56581000,40703000,48350000,25138000,109000000,20034000,0,21844000,26862000,358220000,44412000,41879000,0
A0A0C4DH25,0,85093000,47548000,0,39688000,67475000,107290000,63682000,0,64794000,0,98740000,0,0,44792000,51624000,567920000,0,0,0
A0A0C4DH31,0,32887000,0,0,0,35044000,32428000,0,0,25300000,0,0,0,0,0,28112000,79978000,27802000,0,0
A0A0C4DH34,0,13300000,0,0,0,0,0,0,0,0,0,20436000,0,0,0,0,203980000,0,0,0
A0A0C4DH38,0,27872000,22625000,24133000,0,31997000,0,0,26786000,0,0,35581000,29174000,75162000,0,0,147360000,0,0,0
A0A0C4DH72,0,0,0,0,0,0,0,0,0,0,0,15497000,0,0,0,0,50588000,0,0,0
A0A0J9YXQ4,0,0,0,0,0,0,0,0,0,0,89163000,0,0,0,0,0,0,0,0,0
A0A3B3IRV3,270720000,316890000,395990000,315630000,279210000,335020000,329670000,340740000,213230000,436170000,411020000,254910000,291740000,215590000,220720000,289290000,267370000,385260000,364960000,250780000
A0A494C0Y3,104450000,0,12782000,0,107310000,32687000,11172000,87990000,0,103030000,77679000,0,0,65272000,0,20734000,0,22385000,0,0
A0AVT1,1292700000,1275000000,1578300000,1359200000,1211600000,1976800000,1333500000,1749200000,1442300000,1887000000,1837200000,1291100000,1380100000,949080000,1626200000,1518900000,757780000,1447800000,1276700000,902160000
A0FGR8,116460000,370910000,129780000,92583000,165960000,143200000,114500000,263460000,126230000,216440000,58482000,77930000,41467000,81424000,157960000,146070000,203580000,113520000,251710000,361510000
A0MZ66,412730000,407200000,528050000,437200000,524180000,793480000,428900000,477870000,358580000,663180000,662810000,283280000,531600000,412420000,420000000,459450000,307300000,765890000,570180000,615310000
A1L0T0,353970000,394360000,397520000,391530000,433250000,411380000,387330000,513620000,402220000,304390000,281900000,358360000,338720000,155400000,391030000,421490000,462810000,347460000,308760000,273950000
A1X283,0,0,0,14508000,0,0,144640000,31313000,0,21320000,0,0,0,0,0,0,0,0,0,0
A1Z1Q3,223830000,138920000,203020000,351200000,167840000,408460000,184140000,216480000,245810000,288720000,246170000,254500000,179970000,200740000,164610000,304170000,46539000,214990000,217580000,179260000
A2NJV5,39094000,178120000,128790000,0,114810000,295600000,300570000,213870000,130570000,138280000,135510000,326730000,0,208330000,146310000,0,1455500000,197970000,143360000,83176000
A2RRP1,177440000,156680000,187250000,131810000,133710000,83505000,84620000,45491000,70853000,144420000,81827000,139140000,87682000,91024000,105890000,159340000,67744000,85807000,36438000,65589000
A2RTX5,123170000,195330000,250860000,125050000,277380000,218850000,151680000,217920000,134340000,216240000,217520000,280760000,218000000,118490000,221770000,321130000,97615000,358780000,160300000,229650000
A2RU67,35542000,40364000,49338000,30799000,26504000,61767000,0,29456000,38331000,34468000,42877000,32125000,30690000,37092000,44448000,36628000,19216000,50224000,56898000,57474000
A3KMH1,49963000,145210000,117800000,153460000,317370000,142860000,126800000,238480000,130800000,115450000,93131000,169770000,160170000,67345000,110430000,104200000,143810000,122490000,93834000,147210000
A4D126,27364000,44540000,0,27312000,51654000,31626000,36235000,34497000,40865000,31007000,7760100,7680800,6991000,25829000,23466000,27477000,0,41804000,0,8859700
A4D161,0,0,0,0,0,0,0,30570000,0,0,0,14289000,0,0,0,5080400,0,20057000,0,0
A4D1P6,199900000,141260000,147850000,161070000,104690000,226300000,130450000,84873000,131510000,159470000,116120000,213650000,65031000,136290000,109880000,114640000,51234000,67913000,80502000,112430000
A5A3E0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A5D8V6,0,0,6433200,0,2210700,0,0,5257700,0,0,0,6314700,0,0,0,0,7034900,0,8478400,0
A5PKW4,35296000,27246000,0,0,50183000,91179000,0,0,49908000,0,0,0,0,0,11957000,55693000,0,0,160420000,184830000
A5YKK6,0,0,0,0,18772000,33629000,0,31653000,0,10503000,20379000,14629000,32102000,30811000,16181000,16302000,10827000,8690200,29708000,30589000
A5YM72,221600000,227310000,509380000,133540000,115540000,264490000,121290000,253680000,15614000,235060000,475300000,200250000,75868000,259790000,117930000,449460000,345050000,409470000,188250000,114780000
A6NC98,18966000,33487000,0,19668000,0,0,24467000,0,0,0,16101000,51031000,0,0,40857000,0,0,0,42637000,22960000
A6NCS6,32155000,0,7990800,27949000,99718000,26740000,46593000,68489000,44952000,50746000,21952000,0,24815000,9454400,0,43359000,0,55511000,15860000,31596000
A6NDG6,340730000,431110000,483390000,518620000,487950000,667090000,532450000,455290000,381680000,769220000,813740000,441960000,300410000,290520000,536690000,514300000,156500000,398550000,910180000,801790000
A6NDU8,160340000,148520000,118200000,191900000,71650000,254370000,143000000,205190000,47644000,86610000,189510000,266400000,121310000,98655000,199450000,169370000,145500000,243770000,186550000,80432000
A6NE02,25003000,0,33176000,12736000,25723000,58128000,18070000,0,13989000,20315000,0,0,0,15186000,16882000,0,0,9430300,17762000,0
A6NGB9,0,24108000,19434000,0,0,0,0,0,20319000,0,0,0,0,0,0,0,0,0,0,36145000
A6NGN9,0,0,21850000,13039000,7634000,0,29860000,14864000,10111000,13411000,14752000,0,0,0,25753000,0,9440000,18969000,39815000,23123000
A6NHL2,4089200000,5202300000,7559300000,4294400000,6503600000,7324100000,5242600000,8807000000,5044900000,10336000000,10633000000,3043400000,4120800000,2806200000,4612300000,5471800000,4076500000,6642500000,6390000000,5055200000
A6NHR9,13573000,11698000,12169000,12660000,9111000,23185000,20873000,17231000,9714800,35554000,0,15069000,3992800,8915300,15068000,10503000,0,11591000,21378000,13473000
