proteinId,S1,S2,S3,S4,S5,S6
A0A075B6K5,0,0,0,0,0,0
A0MZ66,8783500,6695600,10388000,8594000,2603300,6040300
A5YM72,10551000,17045000,14337000,11060000,775390,5299200
A6NCE7,5832100,6345400,5347100,4842700,7251000,10019000
A6ZKI3,0,0,0,5663900,287650,185640
A8MU93,3364100,1227000,0,1568200,0,1686500
B7Z368,2411700,0,1566700,684220,397850,669520
O00116,607000,217200,203560,780300,1102900,986600
O00154,22669000,18414000,15078000,22754000,23385000,22264000
O00159,4244700,3071900,824180,1325000,5860800,4298200
O00186,468260,481330,545660,416200,230490,345270
O00217,216170,150980,138880,303700,624600,389800
O00429,433070,339340,353290,453820,821190,910010
O00483,2643500,819410,2507600,4130700,5687900,6406300
O00499,9654400,10309000,8179500,11384000,8299800,6780700
O00533,243780,246650,120220,189160,246320,295960
O00560,1076900,1288900,899890,1288800,1244700,1360500
O00567,2585600,1823700,0,3769600,641890,3071600
O14531,22004000,30646000,34665000,25819000,13861000,29132000
O14594,746320000,672950000,204900000,364600000,318950000,128800000
O14617,9077100,10422000,3608800,8456900,11793000,12644000
O14734,1718000,933440,854690,747030,1804500,1607400
O14745,1837200,1369200,1309900,1212200,0,1393800
O14773,50399000,35169000,39747000,42306000,54391000,39716000
O14818,579090000,420030000,416720000,472340000,496050000,667350000
O14880,3934900,2672200,2206600,4068400,6220000,5561700
O14907,4479400,4879400,6149900,4750500,2341900,4134200
O14966,3077300,2626900,3424800,2775100,1988200,2423200
O14972,649160,869370,492930,1004800,555510,616680
O15066,0,0,0,0,0,0
O15075,1535500,220240,468370,994330,3655300,3488200
O15083,0,497700,0,565240,1317500,997400
O15145,1065500,2145300,1502800,1827600,1780400,1745700
O15230,15335000,20448000,12511000,94807000,41595000,25563000
O15254,28498000,11239000,16401000,17806000,24647000,21436000
O15258,4831400,3593100,3748100,7470600,5551600,8307500
O15394,0,1987500,1603800,2250400,3697400,3088500
O15540,205110,304460,436820,375490,2119800,3378700
O43149,1158700,659890,1124100,1546600,0,3634300
O43175,26016000,23249000,35575000,27861000,11780000,23653000
O43242,15472000,24049000,10742000,24487000,32528000,36354000
O43301,27416000,27311000,23355000,21649000,21847000,23234000
O43390,23398000,6978200,11356000,13142000,13055000,15975000
O43396,0,602840,1679300,655730,3123000,2650600
O43426,6159400,4540900,3323800,4011100,4157300,7949800
O43491,12951000,18363000,6683500,10284000,5503700,7362800
O43615,590830,374220,331100,496190,585260,1516700
O43674,2033500,1302800,952320,929340,1246400,2374900
O43681,541580,579240,451560,516390,751080,703500
O43707,2312800,3521700,1968600,4614900,2322200,4073200
O43759,2804400,2186200,2498300,4288400,5089900,9917500
O43761,3892100,2841300,3157800,4161800,5556300,8128800
O43813,9036100,8949200,11112000,8937500,6657600,7624100
O43865,1848300,1041300,3590800,2119600,3063500,3638300
O60282,1374000,433760,510480,1334000,2361200,1729900
O60493,4107600,2988700,4069700,4112600,3019500,3600300
O60506,1590500,921330,1082500,1401200,1170000,966630
O60641,2343500,3836400,526440,2806800,8252700,1687100
O60664,429730,10577000,1098900,4300100,302560,592150
O60749,2497600,2730700,1065500,3319100,1798300,2070800
O60783,972940,869800,2758800,2723500,810260,1662600
O60784,0,0,0,0,64096,0
O60831,10685000,10353000,8574700,13896000,12816000,17919000
O75061,4989700,2197500,2984700,5546800,2809200,7779800
O75083,26844000,29705000,29459000,29605000,22988000,36719000
O75122,570670,372580,561850,677100,362300,812440
O75131,0,0,0,0,0,0
O75153,1684300,0,0,0,0,0
O75190,1216500,1704000,1684400,2071300,1082300,1154600
O75223,0,0,0,754390,780040,1930300
O75306,567920,0,1736800,1598100,1774700,2238000
O75340,759200,2938000,3639500,2195100,2561200,3819400
O75367,40017000,37942000,27905000,43459000,48151000,52564000
O75390,12358000,6159700,10426000,10865000,24578000,22547000
O75489,6075800,3154200,3652700,4874200,5655000,5693400
O75508,82778000,82521000,84478000,97402000,69177000,58049000
O75689,2479600,2630100,2421200,2195100,640210,2380600
O75746,1905800,2723000,3512100,3091900,8782600,6310400
O75781,2447700,1708000,1615300,1857900,1050800,3305200
O75915,32502000,39523000,29677000,41775000,60518000,60275000
O75947,7065100,5446600,7450500,8833000,13081000,14600000
O75955,552470000,371230000,305540000,606020000,588110000,629030000
O75964,969640,1045800,1154000,2334200,3389400,3740400
O76070,1570000,2740300,120620,1652200,0,0
O94760,6196200,6955700,8088700,7645700,7015100,18203000
O94806,5712400000,4015200000,6723200000,65356000,3948200000,4277400000
