proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58
A0A075B6K5,5130300,59191000,0,0,5012500,20422000,2352600,0,0,0,5060300,32053000,16151000,81859000,3333300,0,39620000,6491000,3715100,22292000,3410400,3105000,28855000,4028900,7763600,2306400,8920700,0,26067000,0,45080000,23916000,0,4146500,3712500,7437200,6126800,137930000,14615000,10818000,8075100,45998000,10493000,4834300,32582000,39947000,11782000,7421400,15392000,12869000,16928000,954480,12959000,5249100,1451200,32629000,23619000,8558100
A0A0C4DH35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2153800,0,0,0,0,0,7076200,1203600,0,0,0,0,4268600,0,0,0,0,0,0,0,0,20367000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0J9YX94,2557400,0,34501000,112130,0,7407400,0,0,4354700,0,0,0,35225000,0,0,4065300,0,0,20854000,30462000,2688700,0,0,1823300,7304000,0,8481200,0,11087000,2101900,3832500,0,32354000,16271000,8443200,0,0,3314000,0,0,0,0,0,0,0,0,0,0,8245100,0,4251200,1367100,2120400,0,0,9103000,7422000,15883000
A0A0J9YXQ4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0U1RQS6,0,0,0,0,0,0,0,0,0,0,0,0,6729800,0,0,0,0,0,1663600,5120400,0,0,0,101490,2935100,173870,0,0,0,516870,1079500,0,1270300,0,936130,0,0,903120,0,0,0,0,0,1114400,0,0,0,0,0,0,1225500,268490,0,0,94240,0,0,2114900
A0A0U1RRL7,0,0,0,0,0,7016200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2633300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4402200,0,9475200,0,4888400,0,0,0,1720500,0,3100800,0,0,0,0,0
A0AVT1,34763000,27537000,0,0,11888000,2662200,0,2028900,0,0,0,0,20417000,11333000,0,0,0,5818900,0,17325000,0,9083900,0,0,16614000,0,19624000,5612400,21892000,0,16263000,13835000,26518000,20305000,24238000,31328000,0,26272000,18771000,15103000,15186000,0,0,12194000,24144000,0,0,0,0,0,0,0,0,4710600,0,13011000,0,0
A0FGR8,103510000,216280000,85616000,0,95862000,82414000,19511000,41365000,64562000,90512000,96668000,55135000,67253000,78122000,19182000,56506000,34215000,42376000,75467000,77439000,17238000,62097000,37880000,22701000,73580000,27113000,59729000,33550000,83536000,101870000,61960000,57311000,74954000,57633000,69010000,30936000,102850000,106430000,67789000,76587000,157230000,40399000,76313000,86605000,138080000,78423000,47627000,109010000,79893000,32585000,54939000,27283000,121050000,54609000,22259000,96554000,72704000,43128000
A0PK00,0,22026000,8092600,0,0,0,0,0,3804100,0,0,0,4802800,0,0,0,0,0,7513400,5370400,3241700,0,0,0,4186600,0,3209000,0,0,0,0,8320900,4633200,2722800,3182300,2680900,0,0,11124000,0,0,4153000,6055800,0,7088100,8824000,9808700,0,4845100,0,1617200,0,0,0,0,0,0,4382600
A1KZ92,0,0,5666200,0,0,0,0,0,5034400,0,0,0,4151100,0,0,0,0,0,5804300,5408200,1524500,0,0,0,3651700,0,5575500,0,5849500,0,4954200,0,4385200,4049700,5496300,2416000,0,2547600,0,0,0,0,0,0,0,0,0,0,4502500,0,4336500,0,0,0,0,0,0,4272700
