"","Control","Control.1","Control.2","Disease","Disease.1","Disease.2","Disease.3","Disease.4","Disease.5","Disease.6","Disease.7","Disease.8","Disease.9","Disease.10","Disease.11","Disease.12","Disease.13","Disease.14","Disease.15","Disease.16","Disease.17","Disease.18","Disease.19","Disease.20","Disease.21","t_test_p_value"
"A0A0B4J1X5",0.69065869,0.64272894,-0.75884886,-0.1722409,0.12511421,-0.02257527,0.03153002,-0.00994566,-0.91650767,0.06926124,-0.90905126,-2.22581356,0.29403769,-0.07183478,-0.13671168,0.24546067,0.06186081,0.80487078,-0.07009055,0.61337451,-0.42322962,-0.51942613,-0.41636043,-0.85853093,-0.38317744,0.788048990716766
"A0AVT1",-0.65454991,-0.44929554,-0.73263866,0.3268379,-0.02860027,0.79234343,-0.29630698,-0.01139007,-0.15765525,0.03371789,0.20742103,-0.4051651,-0.33103315,-0.11800664,-0.0893826,-0.68759645,-0.50266901,-0.08443179,0.06013706,0.11721257,-0.32243456,-0.30820692,0.17156145,-0.06519104,-0.08637409,0.621941008587487
"A0FGR8",-1.193307312,-0.03149724,-1.277519957,-0.247558852,-0.659395333,-0.318863692,-0.296306984,-0.319170891,0.095221463,-0.278980175,0.007805297,-0.002545678,-1.106946822,-0.870498992,-0.979812945,-0.161552345,-0.199224602,-1.41929463,-0.327596504,-0.173093543,-0.328579012,-0.047735237,-0.081194282,0.516639051,-0.944805954,0.749823860591177
"A2NJV5",0.61228916,1.15077911,0.07336845,-0.09730262,0.74730958,-0.16649636,0.49482608,0.55066771,1.1211621,0.4714867,-0.12564028,0.36430564,-0.09800392,0.25258242,0.43056757,0.0384063,0.48446651,1.02968302,0.06753758,0.26463115,0.0224761,0.40681383,-0.57154508,-0.17421846,-0.94822261,0.736634902446411
"A3KMH1",0.24441374,-1.63447096,0.58799322,-0.68249506,-1.00127596,-0.94282161,-1.62599666,-1.35296598,-1.72845043,-1.95169348,-0.07886188,-1.21579737,-1.2226206,-0.37937701,-0.48772217,-0.68972841,-0.56261903,-0.70457434,-1.40648891,-0.55004412,-0.96162476,-0.5285665,-2.13108151,-0.25953008,-1.531629,0.56817148984851
"A5YKK6",-0.8634832,-1.6238657,-1.7780362,-0.3715894,-1.2588049,-0.3849287,-1.0225852,-0.8647318,-0.9386923,-0.6992937,-0.4738177,-1.3563705,-0.7905986,-0.4205188,-0.7120485,-1.4253009,-0.934487,-0.7049797,-0.8927009,-0.9556787,-1.1445629,-1.171862,-0.7437766,-0.7192111,-1.3532468,0.510402937549941
"A6NIH7",-0.004344295,-0.200750586,-0.72018938,-0.270248547,-0.252620637,-0.826190793,-0.670092243,-0.678559786,-0.801544018,-0.315454311,-0.552361277,-0.300921369,-0.436590978,-0.938564318,-0.897481634,-0.915258599,-0.511713454,-1.149051605,-0.691157094,-0.527447499,-0.218468343,-0.412442682,-0.525425261,-0.713442963,-0.896462439,0.285388100677157
"A6NKF1",0.6925503,0.8086529,0.7467502,1.1053321,0.8727977,0.7146236,0.8914679,0.7498372,0.5695024,1.0400639,0.8923709,1.2814653,1.4288998,0.8468037,1.6635634,-0.3194399,0.1454593,-1.013667,0.823492,1.3362096,-1.0713145,-0.8945885,0.6476774,0.4430666,0.8903872,0.138475314320318
"E9PAV3",-0.124432,0.484208,-0.7305719,0.6539273,0.904971,0.6873061,0.6443433,0.5685326,0.1591074,0.4947555,0.525037,0.6198105,-1.4802577,0.781555,0.2572292,-1.5921848,1.2159305,0.8903143,0.4399403,0.5610514,0.7619442,0.7327462,0.4118557,0.4382221,0.498561,0.606860830464679
"L0R6Q1",-1.08806124,-0.70597286,-0.90540589,-0.23924109,-0.48151167,-1.38752729,-1.21138743,-0.56059206,-0.47414852,-0.85426276,-0.51317433,0.02088208,-0.42413478,-0.16097672,-0.52216317,-0.53890849,-0.40416265,-0.2328932,-0.53120395,-0.69617784,-1.11010838,-0.95964891,-0.60347594,-0.86149148,-0.50940792,0.989819394371037
"O00151",0.107470162,0.566448868,0.101208529,-0.062644063,0.270188325,0.007896481,-0.049238774,-0.353867435,-0.900033572,-0.528841245,-1.23133041,-0.70386157,0.3737422,0.549069563,-0.016342502,-2.434915768,-0.571403864,1.033957769,0.08743309,0.031698539,0.339562506,0.426567812,-0.534806139,-0.359631843,0.920258109,0.18787998084185
"O00154",0.4765128,-1.4599737,1.0493349,-0.6791272,-1.0567364,0.3747623,-1.1890526,-1.5484966,-0.4209696,-0.7555772,-1.4558049,-1.0349169,-0.55511,-0.9426933,-0.9538732,-0.1422611,-0.8820991,-0.858033,-0.4735791,-0.9355427,-0.6856966,-0.7918917,-1.8568624,-0.3493245,-1.8652246,0.562645288906733
"O00159",0.33526495,0.53436773,0.17520285,1.56967278,0.7983044,0.4780189,0.81426498,-0.04237409,0.67959322,0.47994351,0.47608203,0.24086688,1.14204609,0.61786231,0.63722746,0.06362666,0.61323949,0.5262052,0.83064809,0.56576676,0.4814242,0.86503802,0.5600378,1.20748234,0.39212838,0.728149856720493
"O00161",-1.908792,-1.3628824,0.3874837,-0.4566073,-1.4071041,-1.2413011,-0.7174135,-0.6049576,0.1305272,-1.3440242,-1.2761952,-2.2415094,-0.482773,-0.8010052,-0.5283487,0.1427636,-0.2631313,0.2598938,-0.2729679,-0.2021568,-0.8057217,-0.3753259,-0.4844686,-1.2098299,-0.5280284,0.732919902936987
"O00170",-0.0176722,0.4627803,-0.7192688,-0.2244367,-0.5530543,-1.329888,-1.7566826,-0.5380543,-1.2245395,-0.4571448,-0.3581043,-0.5237982,-0.2255813,-0.353078,-0.1455843,-0.6550849,-0.2593518,-0.7259709,-0.1510769,-0.6016485,-0.2505175,-0.3063907,-0.5768655,-0.5284054,-0.2332657,0.364088079868165
"O00186",-1.12783703,-1.2921414,0.26430795,-1.76067573,-0.76410823,-1.39910428,-1.18487902,-0.98002558,-0.53463677,-0.45183706,-0.44992489,-0.75859645,-0.27238319,-0.52626503,-0.48951945,-0.4483607,-0.34610052,-0.52624871,-0.07832218,-0.50199107,-1.32868887,-0.64536577,-0.78874915,-0.06985944,-0.83130847,0.680831262067734
"O00203",0.17418578,-0.90747038,0.66546287,-0.67001388,-0.12065662,-0.35183458,-0.18265523,-0.05916232,-0.82809049,-0.51772654,-0.48432865,-0.07340267,0.03048631,-0.37562567,-0.36761763,-0.18075672,-0.43299131,-0.639613,-0.52173454,-0.17074501,-0.04672749,0.02641273,-0.66871104,0.48155214,-0.36167781,0.963160634342088
"O00217",-0.12294947,-0.20319224,0.4865602,-0.32510576,0.16549738,-0.83028987,-0.29946845,0.08750675,-0.0409299,0.17703943,-0.2433617,0.48437221,-0.54349759,-0.2006151,-0.28266078,-0.64873565,-0.06947277,-1.33082139,-0.27229496,-0.17930942,-0.49482317,-0.94782512,-0.75268918,-1.39089039,-1.38202091,0.235303465659196
"O00231",0.112413122,0.004374471,-1.406787705,1.044537763,0.72616913,0.594160589,0.71583755,0.575017403,-0.657818686,-0.069586688,0.113228828,0.831234151,0.613147469,0.871782168,0.560806605,-1.160409521,0.491712109,0.319562971,0.759771078,0.711468641,0.428954689,0.868972402,0.61734807,0.641484224,0.726915866,0.513442999637521
"O00232",-0.38464593,-0.33103851,-0.26295308,0.53531504,0.26453369,0.21752299,0.16678738,0.39055063,-0.48442478,0.03504827,0.14345216,0.32712823,0.41306227,0.51456526,0.36710751,-0.50200652,0.20045695,0.60766716,0.48501242,0.15391722,-0.50121922,0.4282007,0.30368104,0.40153242,0.47683769,0.499122014991338
"O00233",-0.49336622,0.11511081,-1.91884376,0.08475497,-0.47583607,-0.18344799,-0.62256943,-0.00972998,0.28232672,-0.02882982,-0.54304811,-0.12213959,-0.90650292,-0.22729471,-1.21442344,-0.33707214,0.46187852,0.47206167,-0.05777419,-0.34663892,-0.41606497,-0.48508095,-0.39764846,-0.54649886,0.06797823,0.696283671779154
"O00244",-0.94013642,-1.09437392,-1.32989903,-0.43726151,-0.65385497,-0.08554033,-0.61256144,-0.60634338,-0.53244233,-1.35217442,-0.99214505,-1.02383185,-0.56510391,-0.33463611,-0.33750399,-0.09697189,0.2957388,0.66234189,-0.29149086,-0.96324235,-0.65521527,-0.49726434,-1.14306226,-1.39031701,-1.24160531,0.30657010494711
"O00264",0.435293564,1.048409634,0.826627081,0.982504917,0.532521559,0.129374336,0.832629787,0.213179717,1.002562465,1.262071984,0.840010358,0.523687855,1.198979549,0.852795189,0.063126454,0.915426531,1.494045985,1.064286228,1.0895001,0.008583786,-0.114721569,0.187016598,1.016594544,0.29802328,0.883932893,0.0413192759585662
"O00273",-0.2412429,-0.51632196,0.77189212,-0.22652346,-0.32728815,-0.57939274,-0.69891015,-1.19415695,-1.13601047,-0.71806304,-1.02325244,-0.72984976,-0.54373004,-0.29573414,-0.36698556,-0.43621242,0.04704012,-0.9002422,-0.27843922,-0.07521663,-0.55873776,-0.3790087,-1.97915488,-1.67371132,-0.8420758,0.204397199660753
