"","Control","Control.1","Control.2","Control.3","Control.4","Control.5","Disease","Disease.1","Disease.2","Disease.3","Disease.4","Disease.5","Disease.6","Disease.7","Disease.8","Disease.9","Disease.10","Disease.11","t_test_p_value"
"A2RUH7",-0.087159,-0.4586262,-0.134036,-0.1522972,-0.1747572,-0.3150947,-0.5063297,-0.3279609,-0.1614697,-0.2540964,-0.2913385,-0.4854628,-0.2428879,-0.5031498,-0.5102817,-0.507111,-0.2742343,-0.1622209,0.555751471866364
"A2RUS2",0.236387652,0.006612206,0.43809099,0.871709552,-0.366174439,-0.104206012,-0.14340654,-0.166130468,-1.175131025,-0.217607866,-0.211596183,0.311041805,0.259303589,-0.36086449,0.315587851,-0.493336062,-0.429722154,0.313951608,0.244438220403999
"A6NHL2",-0.22485826,-0.65623237,1.27056418,0.52679749,-0.01842989,0.51850509,0.48549859,1.02711009,-0.53660921,-0.69575916,-0.36652231,-0.66386828,1.46299974,0.59143382,0.78416616,1.07218496,0.16710416,-0.15130086,0.760492435222385
"O00154",0.313597559,0.150853411,0.072553393,-0.490037834,-0.057764681,0.003218736,0.570820796,-0.55284732,0.111941728,0.263359437,-0.010248409,0.221587769,0.76899509,0.847279666,-0.963024556,0.26845099,0.464571367,-0.290572397,0.780325220498421
"O00168",0.163435533,0.407728281,0.001167508,0.309166963,0.068056254,-0.152100491,-1.621078954,0.036630832,0.005300709,-0.099619164,0.246359172,0.19350538,0.286191322,-0.059739463,0.480160536,0.070314845,-0.026224777,0.330275248,0.375965650366572
"O00217",-0.25170416,-0.6031849,0.35800445,-0.35859713,-0.5515197,-0.50593148,-1.01232283,-0.29270674,-0.23568542,-0.10560872,-0.45956711,-0.47970533,-0.07223484,-0.72716495,0.23801859,-1.16806816,-0.48127546,-0.60685783,0.834429710480425
"O00264",0.67951315,-0.29245906,0.65564227,0.18992179,0.41977363,0.18052534,0.26129191,0.3603746,-0.03886001,0.58185164,0.68340733,0.4427812,0.6944847,0.42270559,0.7542414,0.36212531,-0.12350258,0.6527144,0.228688326730592
"O00330",-0.377807489,0.032525059,0.742281143,-0.010088277,0.421887014,-1.471229894,-0.134869102,0.279456541,0.123555192,0.095358679,-0.403560073,0.231066635,-1.486277363,-1.180336302,0.21105638,-0.367715794,-0.008096755,-0.757657221,0.545520245888411
"O00408",-0.9106471,-1.090847,-0.6139896,-0.8657201,-0.1431598,-1.195178,-1.6617451,-0.7221263,-1.2009568,-1.2935051,-0.9975784,-0.9642438,-1.118268,-1.2499559,-1.0771855,-0.8552167,-1.2314131,-0.9143318,0.581204403188324
"O00429",-0.37067092,-0.08723691,-0.17892219,-0.34547215,0.1706936,-0.49336856,-0.07850985,0.15402689,-0.32576031,-0.44734073,-0.43772757,-0.61277205,-0.58024592,-0.4233796,-0.21807848,0.27236098,0.21018638,-0.10870821,0.662519861532793
