"","Control","Control.1","Control.2","Control.3","Control.4","Control.5","Control.6","Control.7","Disease","Disease.1","Disease.2","Disease.3","Disease.4","Disease.5","Disease.6","Disease.7","Disease.8","Disease.9","Disease.10","Disease.11","Disease.12","Disease.13","Disease.14","Disease.15","Disease.16","Disease.17","Disease.18","Disease.19","Disease.20","t_test_p_value"
"A0A075B6K5",-0.20414312,-0.68778706,-0.78027494,-0.52914741,0.24505742,0.47128107,0.73448024,-0.24026335,-0.80600244,-0.66815124,-0.06789697,-0.08394106,-0.38880782,-0.49462794,-0.15043912,-0.78987733,-0.51577049,-0.3038101,-1.36946907,-0.96181007,-0.3924005,-0.70707926,-0.27915688,-0.74712315,-0.45491298,-0.41777712,0.54691274,-0.79746641,-0.07834612,0.296279723913131
"A0AVT1",-0.79438367,-1.043967632,-0.754362828,-0.880125592,-0.589655808,-0.040230015,-0.215379506,-0.973375851,0.022912789,-0.559345928,-0.16593723,-0.279437332,-0.489277333,-0.414143554,0.175225471,-0.20260227,-0.27479454,0.002356074,-0.781715566,-0.524448433,-0.274055814,-0.400588973,0.018910688,-0.478131882,-0.022790684,-0.217922663,-0.677181878,-0.954032879,0.037463844,0.184260395881517
"A0FGR8",-0.31632483,-0.39573093,-0.3318289,0.08833105,-0.5021365,-0.28267578,-0.49809238,-0.40630979,0.04009312,-0.07239278,-0.27866769,-0.37845715,0.19868774,0.23361362,-0.84975513,0.40384619,-0.02293287,0.26220281,0.0869223,-0.21686198,-0.43418136,-0.05224728,0.23332362,0.09068106,0.32381247,0.04095255,1.81969432,0.13693783,-0.60850975,0.0291241565135512
"A1L0T0",-0.31286044,-0.76116595,-0.20417714,-0.29000092,-1.09683434,-0.50327114,-0.68780342,-0.72534349,-0.53890157,-0.07406525,-0.56054945,-0.21473933,-0.35087311,-0.04753823,-0.23003559,-0.15112713,-0.09171214,-0.18227529,-0.03316022,-0.16670952,-0.79064091,0.08071163,-0.42881132,-0.10882704,-0.57760998,-1.40163046,-0.26905302,-0.02036903,-0.04343795,0.0230752184058468
"A5YKK6",-0.405953816,-0.69307231,-0.020564051,-0.916923401,-0.284599117,-0.314566486,-0.235768971,0.009448788,-0.45347053,-1.074249757,-0.040270946,-0.84409494,-0.451412248,-1.146795634,-0.666655347,-0.843145746,-1.548056302,-0.631358282,-0.664548022,-1.179839485,-0.777001217,-1.104593131,-0.74257987,-1.317997017,-0.340036676,-0.820665344,-0.624049874,-0.609825331,-0.599641786,0.0063429638341195
"A6NDG6",-0.61056401,-0.68609547,-0.35717869,0.13102241,0.14079554,0.35892794,-0.0748139,-0.01979828,-1.04728545,-1.40834313,-0.48365386,-1.11318987,-0.93200513,-0.99244299,-0.64979591,-0.7080263,-1.22163673,-0.74079305,-0.54009777,-0.88661664,-0.85615539,-1.12835785,-1.174266,-0.67625957,-0.17837725,-0.47518455,1.81969432,-0.51783512,-0.44524105,0.0492005332939034
"A6NMZ7",-0.03406154,0.20201307,0.23327157,-0.23239615,-0.3473163,-0.33402226,0.25451439,1.12026968,-0.93009729,-0.73312451,1.7744338,-0.01453921,-0.50290855,1.2052122,-0.7541246,-1.28378908,-0.55052913,-0.62642705,-1.54338286,-0.4844293,-0.27961215,-0.76037905,-0.87671674,-0.52550821,1.67754229,-0.15618211,2.51938094,-0.39147167,-0.43347667,0.683167421859855
"E9PAV3",0.09313638,-0.06670985,-0.30371196,0.02902342,-0.01491913,0.33869338,0.34512108,0.7522929,0.01457298,-1.65971309,0.01995195,0.34107831,0.58563445,0.21620205,-0.11901957,0.18654991,0.12827656,0.30881613,0.1908406,0.2822651,0.3406009,0.47220374,0.21090657,-0.20438434,0.03258122,0.60311808,-0.2338899,0.40693572,0.51479102,0.972137183101132
"L0R6Q1",-0.61336418,-0.5929251,-0.47339411,-0.06316615,-0.25657521,0.60967327,-0.54985439,-0.16754124,-0.43600856,-0.41017261,-0.61654576,-0.75659411,-1.28251573,-0.2834607,-0.37425528,-1.01983298,-0.27230219,-1.16502288,-1.11547921,-1.49096406,-0.63829419,-0.71191398,-1.09615654,-0.7668605,-1.23199436,-0.00600567,0.04429373,0.37016116,-0.64929409,0.0262919453328345
"O00151",0.04583266,0.08988949,-0.21109816,0.69606164,0.61885087,0.17983371,-0.12321718,0.78883345,-0.21037982,0.01721877,0.19551571,0.19208281,0.14518332,0.52861489,-0.14423549,-0.39299224,0.3587966,0.39281947,0.05637835,-0.15211689,-0.24724675,-0.28370758,-0.3429279,-0.12207153,-0.03273116,0.93844839,-0.04428833,0.45968118,-0.62754665,0.298269426478969
