"","Control","Control.1","Control.2","Disease","Disease.1","Disease.2","Disease.3","Disease.4","Disease.5","Disease.6","Disease.7","Disease.8","Disease.9","Disease.10","Disease.11","Disease.12","Disease.13","Disease.14","Disease.15","Disease.16","Disease.17","t_test_p_value"
"A0A0A0MS15",-0.95455655,-1.87041389,-1.5542242,-0.82055417,-0.2521149,-1.45582948,-0.46205245,-2.10315835,-1.04530004,-0.6005394,-0.73101846,-1.30599321,-0.9311595,-1.00825656,-0.48887649,-0.53371568,-0.60327974,-0.04424673,-1.09232002,-0.99432856,-1.45734471,0.224627790473699
"A0A0B4J1X5",-0.9129887,-0.493284,-1.0792342,-0.369951,0.1966217,-0.8840432,-0.2608013,-1.0723552,-0.6169358,-0.4920325,0.398607,-0.2751029,0.2588027,-0.954819,-0.5963413,-0.3470895,-0.4801843,-0.6279278,-0.5143329,0.6788309,-0.6852363,0.337899439861391
"A0AVT1",0.43998538,0.54887119,-0.08856355,0.65479389,0.45357795,-0.03925422,0.28329742,0.10632263,0.31583841,0.0300975,0.60584581,0.51872154,0.16183388,0.50089503,0.2853362,0.46638324,0.3925418,-0.78406707,0.27511566,-0.92860634,0.76919641,0.553318729975413
"A0FGR8",-0.430145946,-0.307209383,-0.0783864,0.247755506,0.005733315,-0.111411266,-0.587481438,0.026467625,0.179181976,0.047434305,-0.309373977,-0.893799619,0.127614964,0.057014049,-0.177679461,0.972675737,-1.597974855,-0.409697086,-0.300590917,-0.800109587,-0.880386317,0.32742165890396
"A0MZ66",-0.476929053,0.052740337,0.093318068,0.543386617,-0.390316949,0.194686186,-0.551603561,-0.076347001,-0.106764767,0.033596231,-0.448699967,0.055724086,0.04585648,0.162139165,-1.392275338,-0.2740909,-0.159136773,-0.394849641,-0.112432554,0.004940403,-0.391155979,0.0756769433938868
"A1L020",-0.1601376,-0.0958808,-0.1220402,0.1429195,-0.5300566,-0.3011828,-0.407878,-0.5419636,-0.1669963,-0.4112379,0.1199338,-0.4335716,-0.1986588,-0.5085379,-0.8887113,-0.4911279,-0.3816858,1.0947344,-0.601019,-1.5144384,-0.1457737,0.0392356692518751
"A1L0T0",-1.14632262,-0.93820961,-1.32025404,-0.19213693,-0.37336094,-0.7378519,-0.68660953,-0.43058907,-0.8125169,-0.07205702,-0.11251048,-0.20932933,0.47720416,-0.64648181,-0.77599397,-0.80656197,-0.18859896,1.09473436,-1.19580505,0.15036696,-0.83951607,0.302374092610421
"A4UGR9",0.52540654,0.01076458,-0.12758889,0.20640006,-0.01403642,-0.95565692,-0.18909665,-1.16267928,-0.7610123,0.18517777,0.10032715,0.18196368,0.48784844,-0.04596587,-0.49897981,-0.09535478,0.9924316,-0.31957179,-0.36300367,-0.19179517,0.4409733,0.345951694194656
"A5YKK6",-0.08613809,0.22851727,-1.94788534,0.04480522,-0.25617858,-0.17493755,-0.10673433,-0.33814319,0.0450705,0.29161739,-0.32267992,-0.24136376,-0.03976372,0.3179315,0.0889338,-0.40595018,-0.50978603,-0.6120117,-0.03862019,-0.83639717,-0.15405265,0.653814089495559
"A6NDG6",-0.70943396,-0.64022385,-0.70378475,-0.31282152,-0.72073071,-0.24913328,-1.55654772,-0.32075147,-0.93087941,-0.86647581,-0.70919261,-0.34189736,-0.13583221,-1.46250885,-0.09005868,-0.40979546,0.23327369,-0.17775246,-0.94126034,0.24126835,-1.01680645,0.982907280351056
"A6NE02",-0.33581213,-1.11031465,0.85773828,-1.08804413,-0.45535093,0.51458927,-0.22900959,0.84683831,-0.02516679,-0.50157492,0.05104356,-0.89495374,0.10351935,-0.91670481,-0.21259355,-0.27742832,-0.3713878,1.09473436,-0.43163604,-0.10515562,-1.13384179,0.718500554231707
