"","Control","Control.1","Control.2","Control.3","Control.4","Control.5","Control.6","Control.7","Disease","Disease.1","Disease.2","Disease.3","Disease.4","Disease.5","Disease.6","Disease.7","Disease.8","Disease.9","Disease.10","Disease.11","t_test_p_value"
"A0A075B6K5",-0.19127993,-0.35221045,-0.23903074,-0.20430031,-0.22847667,-0.22160262,-0.42163704,-0.12259836,-0.11314419,-0.15993164,-0.22362771,-0.23286935,-0.02037086,-0.31884998,-0.29334492,-0.36741545,-0.29765758,0.26066025,-0.39648191,-0.40175158,0.832176183420831
"A0A0B4J1Y9",-0.9939554,-1.1545233,-0.6113294,-0.7892159,-0.3632151,-1.0358112,-1.0616027,-0.7212383,-0.7306649,-1.086233,-1.1907969,-0.8031222,-0.7101016,-0.8226223,-1.0827569,-0.7373016,-0.973484,0.3171342,-0.7848114,-0.8001994,0.89786681271654
"A0A0C4DH25",-0.603817,-0.5857953,-0.4020413,-0.6212162,-0.4061485,-0.5661753,-0.7497345,-0.4970437,-0.4502812,-0.7862978,-0.8285996,-0.6869824,-0.6587555,-0.695484,-0.6611407,-0.5974731,-0.6897707,0.5172715,-0.6356565,-0.6464903,0.716644181052632
"A0A3B3IRV3",0.027669528,0.06457744,0.085478884,-0.069994095,0.005745288,0.127416929,-0.057093287,0.019135948,0.120733486,0.134254127,0.018672129,0.008945391,0.069650891,0.132636945,0.130775135,0.141423688,0.058710995,0.190097048,0.153442178,0.140049525,0.0476544964777485
"A0A494C0Y3",-0.3859424,-0.7824971,-1.384469,-0.8865915,-0.9430063,-0.8163494,-0.9701391,-0.5979403,-0.8256277,-1.3568307,-0.3966186,-1.0017502,-0.5183389,-0.4940551,-0.5927842,-0.377478,-1.0859392,-0.6962851,-1.0823545,-0.5542679,0.230971519193693
"A0AVT1",0.7066469,0.6986825,0.6923925,0.7602132,0.7103183,0.8023315,0.810239,0.5751266,0.7253351,0.7347595,0.6561004,0.7798374,0.7800672,0.7687531,0.7810686,0.7850979,0.7789068,0.6425275,0.7283968,0.6838931,0.607954581798658
"A0FGR8",-0.33867402,-0.46806958,-0.37379505,-0.29767982,-0.5089369,-0.7198764,-0.20238785,0.17796336,0.18909349,-0.35022232,-0.20725541,-0.36018232,-0.04205754,-0.17168132,-0.71606557,-0.28145249,-0.2380614,0.07171948,-0.37723935,-0.02129527,0.819687061517006
"A0MZ66",0.21081522,0.20607932,0.1997555,0.15574366,0.05157433,0.38800592,0.22231431,0.40893702,0.22963272,0.25924496,0.29222161,0.38341064,0.21653754,0.31461257,0.33830123,0.42313479,0.25961583,0.25054693,0.45185466,0.33381624,0.08998240603353
"A1L0T0",0.144115642,0.158164209,0.155480591,0.205621259,0.153677942,0.192261791,0.191275103,0.057514354,0.215717809,0.135928892,0.209479732,0.098117831,0.247869699,-0.023588465,-0.032992744,-0.00075391,0.222164848,0.428387106,0.108593073,0.06742529,0.472294381540679
"A1Z1Q3",-0.054932518,0.110953672,-0.167452404,-0.008242855,0.005046202,-0.082378932,-0.184478758,-0.126673557,-0.237410271,-0.155891266,-0.202363367,0.09502419,-0.127354447,-0.046541976,-0.091852693,0.110428995,0.080493951,-0.569198566,-0.099893481,-0.084576769,0.855583990255985
"A2NJV5",-0.81274066,-0.07825215,0.04534509,-0.28299899,0.11354743,-0.20347656,-0.23566096,-0.46015891,-0.12946236,-0.35354794,-0.36727912,-0.04542091,-0.13262236,-0.36625947,-0.35111647,0.12654689,-0.12202129,0.92599658,-0.13571236,-0.26576775,0.678941645304028
"A2RRP1",-0.1557993,-0.3146525,-0.5051275,-0.5484841,-0.2571896,-0.3946686,-0.37608,-0.5633259,-0.1851615,-0.1910083,-0.3010949,-0.5944128,-0.8048467,-0.3473915,-0.5701912,-0.233049,-0.2002976,-0.4061448,-0.498789,-0.8606412,0.477784392352962
"A2RTX5",-0.314345868,-0.337517135,-0.251672221,-0.270637055,0.047693649,0.000877445,-0.055032178,-0.019090501,-0.089406097,-0.063998672,0.015816305,-0.17597879,-0.124475136,-0.172082811,-0.145588624,-0.118523224,0.104058452,-0.247499067,0.122516484,-0.217262218,0.65555449946365
"A2RU67",-0.8541089,-0.9460641,-0.8056332,-0.8152922,-0.8937984,-0.8505821,-0.7530827,-0.6206855,-0.7741808,-0.7702485,-1.0039473,-0.7253688,-0.9935983,-0.9696027,-0.8508634,-0.6229247,-0.8388092,-0.9533525,-0.7314004,-0.6670987,0.683348143280706
"A3KMH1",-0.70620228,-0.24860564,-0.32948129,-0.28223465,-0.17078063,-0.13299787,-0.3578479,-0.21221964,-0.21817852,-0.39228479,0.07430703,-0.36121469,-0.08532026,-0.4446249,-0.51399354,-0.36389956,-0.3847547,-0.07922654,-0.3442111,-0.4498355,0.353087703889199
"A4D126",-0.9676711,-0.9982472,-0.8734722,-0.7874909,-1.5152339,-1.4930387,-1.0304958,-1.4327371,-0.7314248,-0.9015344,-0.7141549,-1.016081,-0.9249908,-1.015559,-1.5932188,-0.7800973,-0.963653,-0.7136182,-0.8110939,-0.9508361,0.251048815695631
"A4D1P6",-0.10403802,-0.22758617,-0.31715646,-0.27988362,-0.07093869,-0.52445861,-0.36001632,-0.32927474,-0.23015584,-0.29360876,-0.40735363,-0.16144079,-0.53400266,-0.30433985,-0.41818079,-0.05774093,-0.34328624,-0.52745735,-0.60035881,-0.51638906,0.224001892600774
"A5YKK6",-1.1721082,-1.1839586,-1.0660932,-1.1931456,-1.2354266,-0.8310469,-1.1919293,-0.8945916,-1.2295656,-1.2052729,-1.1537481,-0.9894113,-0.9623573,-1.4857044,-1.1739047,-0.7034991,-1.1903813,-1.2025072,-1.4932809,-0.9493222,0.708734518027717
"A5YM72",-0.05928106,-0.30898946,-0.34877554,-1.20532794,-0.09906906,-0.45752041,-0.32931067,-0.32029073,-0.02355651,0.2436118,-0.36452647,-0.09371609,-0.058486,-0.13584011,0.19387999,0.2224175,0.25006862,0.3008664,0.17991035,-0.14746076,0.0108978995562755
"A6NCS6",-0.8976022,-0.9882345,-0.7642798,-0.7460933,-0.8900362,-0.9428647,-0.9129309,-0.8805248,-0.9428526,-1.5608383,-0.4284853,-1.0889638,-0.6271514,-0.801617,-1.1416135,-1.2165706,-0.7655431,-0.6529474,-0.6879327,-1.2218922,0.69362861081271
"A6NDG6",0.12755956,0.28024842,0.29367829,0.182857,0.24474138,0.14013534,0.32878853,0.52390368,0.25441305,0.22086757,0.26111648,0.30805909,0.19551588,0.37903172,0.42739784,0.27097111,0.3085941,-0.04250129,0.16817107,0.53693155,0.932236178869583
"A6NDU8",-0.19980893,-0.15152586,-0.2772645,-0.72083416,0.02489264,-0.25368244,-0.10110093,-0.47472807,-0.20839011,-0.39081261,-0.57204263,-0.11065945,-0.15061603,-0.56945079,-0.20545569,-0.19808582,-0.17378594,-0.07415263,-0.04533148,-0.15140049,0.766725888160885
"A6NE02",-1.0068586,-1.3295673,-1.1756421,-1.2530554,-0.9718064,-1.1014597,-1.1735108,-1.0188106,-1.0100722,-0.942606,-1.0169371,-0.7517399,-1.1430385,-1.1992017,-1.0027173,-1.0107614,-0.9858178,0.3336198,-1.4577853,-1.1727036,0.219401016328543
"A6NGN9",-1.2169679,-1.3193561,-0.9575106,-1.3940476,-1.2112361,-1.1346118,-0.990107,-1.0161127,-1.0173274,-1.1239785,-1.5445053,-1.144568,-1.2906361,-1.379557,-1.3142364,-0.9410995,-1.1800738,-1.2620433,-1.1542671,-0.822149,0.439297204156445
"A6NHL2",1.206788,1.198302,1.286946,1.30401,1.082717,1.277402,1.262983,1.323581,1.33602,1.415051,1.385895,1.348629,1.482056,1.507334,1.543568,1.255914,1.335508,1.373272,1.39002,1.383305,0.00201231832323767
"A6NHR9",-1.2721746,-1.3321666,-1.1130155,-1.4114078,-1.2225568,-1.7362981,-1.222879,-1.2506923,-1.312063,-1.3781746,-1.4676918,-1.150918,-1.2264614,-0.9561303,-1.1746842,-1.2420686,-1.3813084,-1.0601673,-1.3681902,-1.0922285,0.252486587630094
"A6NHX0",-0.29352107,-0.18106899,-0.11627368,-0.21347026,-0.14078501,-0.77969903,-0.05241594,-0.04005009,-0.29545581,-0.25402232,-0.2201633,-0.19795762,-0.14552396,-0.12860277,-0.26768822,-0.16800669,0.07001702,-0.57650113,-0.14254447,-0.1052823,0.737199225140909
"A6NIH7",-0.3826287,-0.27344254,-0.31370781,-0.3062621,-0.42512246,-0.22146963,-0.4509403,-0.34993299,-0.58906711,-0.21947479,-0.08866291,-0.59280358,-0.3302884,-0.29032524,-0.26078764,-0.50192021,-0.48629483,-0.79229956,-0.38363692,-0.89208566,0.398252344437852
"A6XGL0",-0.29930656,-0.76786759,0.0394388,-0.62557535,-0.6726776,-0.86558359,-1.04288572,-0.45250946,-0.29965678,-0.59184806,-0.15086597,-0.63816687,-0.68902963,-0.67803043,-0.71954749,-0.63800658,-0.04066806,-0.51694732,-0.23376461,-0.98381153,0.733659934945046
"A8MXV4",-0.7087304,-1.3097051,-0.7237039,-0.8451292,-1.2496393,-1.1092042,-0.9906711,-1.1421608,-1.0896951,-1.0581348,-1.5849351,-0.7210312,-0.8106903,-1.299815,-1.0875865,-1.0412336,-1.2142562,-0.8297097,-1.2987405,-0.7065266,0.986689325320878
"C9J069",-0.4502272,-0.6893152,-0.5149848,-0.5422464,-0.9360774,-0.519109,-0.2528879,-0.1659226,-0.5730799,-0.5096317,-0.8968413,-0.6077529,-0.5216137,-0.4608359,-0.5744634,-0.8798159,-0.5041495,-1.1143409,-0.3744935,-0.2909621,0.448067216395723
"E9PAV3",0.1849983,0.20567185,0.10834177,0.23034285,0.33375816,0.14423608,0.12457629,0.23852904,0.35551964,0.23535747,0.23884711,0.12281295,0.31511112,0.340782,0.39663868,0.03503886,0.30803641,0.54992735,0.28390869,0.11419855,0.371674550947217
"M0R2J8",-0.3632213,-0.3994113,-0.1902828,-0.7021017,-0.4809047,-0.2137601,-0.5485404,-0.7048186,-0.9751361,-0.3624396,-0.979233,-1.0250859,-0.1988995,-0.9517429,-0.5689414,-0.5726212,-0.364042,-0.8535234,-0.4461987,-0.2539046,0.596284615867689
"O00116",-0.2303258,-0.5784945,-0.5061243,-0.3281028,-1.0552481,-0.4257452,-0.5215753,-1.0656786,-0.4498527,-0.61881,-0.5483638,-0.2792355,-0.4578922,-0.4085482,-0.4772731,-0.465494,-0.2509462,-0.660536,-0.8204079,-0.9340117,0.522794522199118
"O00139",0.7336098,0.6621702,0.7214885,0.7189921,0.4668613,0.7296778,0.7862472,0.8538792,0.7096241,0.8122728,0.7752295,0.7590017,0.7899837,0.7729673,0.8737408,0.7339059,0.7075294,0.2182252,0.7551808,0.7134457,0.843700642497057
"O00142",-0.4535619,-0.3744698,-0.636283,-0.4950256,-0.3581054,-0.4463204,-0.7873997,-0.3664352,-0.538778,-0.5106473,-0.8040198,-0.3267193,-0.1275551,-0.3963281,-0.6140322,-0.2320149,-0.2976235,-0.2236306,-0.4885156,-0.85058,0.527843959064501
"O00151",-0.9254626,-0.881264,-0.6383217,-0.8985235,-0.6745341,0.140706,-0.8759679,-0.8144743,0.2414457,-0.5396785,-0.4836159,-0.8134536,0.6359407,0.6149347,0.7431511,-0.478832,-1.0747935,0.840534,-1.0311352,0.1647554,0.149417621087847
"O00154",1.32433,1.34576,1.24549,1.199609,1.200505,1.251286,1.271283,1.516099,1.300958,1.296661,1.205573,1.268178,1.230075,1.243813,1.186108,1.171802,1.28471,1.093276,1.310884,1.518316,0.472209900910499
"O00159",-0.04657324,-0.2283418,-0.35603291,0.11746816,-0.01758061,-0.11108225,-0.08389594,-0.95796111,-0.05308188,-0.31789185,-0.49616726,-0.12962638,-0.38131689,-0.39771033,-0.67658222,-0.2383776,-0.34336202,0.91655535,-0.10376905,-0.3627838,0.913949915373081
"O00161",-0.8119593,-0.634537,-0.7515041,-0.8943443,-0.836689,-0.9258751,-0.6067677,-0.7046963,-0.8397923,-0.9570833,-0.8202866,-0.7118533,-0.8674551,-0.9364014,-0.7616894,-0.659476,-0.9137615,-0.7927521,-1.0450108,-0.7629452,0.25478883377479
"O00165",-0.8682923,-0.9373393,-1.298423,-1.071279,-0.8697506,-0.7831747,-0.9622343,-1.0666481,-1.1731332,-1.3119678,-0.882323,-1.2753262,-1.1809208,-0.888887,-1.3427993,-1.0394885,-1.2423937,-0.7301725,-0.8634766,-0.9607872,0.612306013846617
"O00170",0.5834361,0.5663969,0.6209772,0.619067,0.1903228,0.4418587,0.4661788,0.5475059,0.6826325,0.7224236,0.6640915,0.580298,0.6474807,0.5836976,0.671762,0.3817684,0.6326872,0.1654177,0.6592497,0.5328567,0.499721301005777
"O00178",-0.9240249,-0.8896526,-0.3636729,-0.718525,-0.4407658,-0.8352202,-0.2310843,-1.1021352,-0.808117,-0.9757261,-0.997103,-0.4047284,-0.3200074,-0.4151761,-0.520089,-0.3746263,-0.4682906,-0.8123299,-0.9056365,-0.3835756,0.576811820730797
"O00182",-0.25088359,-0.31501506,0.031889,-0.19177382,-0.19927177,-0.67646707,-0.48159533,-0.58757686,-0.15192872,-0.33480468,-0.41934044,-0.23803512,-0.33703078,-0.35718414,-0.64286248,-0.86441696,-0.35185611,-0.05477222,-0.28808012,-0.35471571,0.555697410092393
"O00186",0.4586089,0.5973729,0.5974322,0.5085743,0.5539627,0.614569,0.574037,0.3769049,0.6391074,0.549997,0.5544329,0.4916224,0.4905573,0.501198,0.6233071,0.4463742,0.4918542,0.4617198,0.6199974,0.4194077,0.237178739449481
"O00192",0.08683298,0.03588316,0.13072626,0.06640657,0.02959477,0.17972244,0.01645367,-0.40930818,0.2397214,-0.06623771,0.12777512,-0.2995636,0.15285172,0.10269292,0.16961289,0.24600505,-0.13874975,-0.07150422,-0.02505684,-0.09174138,0.76042378121674
"O00194",-0.1904044,-0.3241458,-0.4593803,-0.245607,-0.3031066,-0.3758306,-0.275226,0.2034612,-0.2654307,-0.4695047,-0.4962996,-0.5753251,-0.659042,-0.4503045,-0.509143,-0.9489435,-0.3420757,-0.5044289,-0.513862,0.1546867,0.0458344468065698
"O00203",0.01745991,-0.13071391,-0.23336661,-0.04561883,0.04926858,-0.14520676,-0.15638573,-0.32792486,-0.11234651,-0.15807872,0.03237486,-0.05509227,0.04394922,-0.10001907,-0.13503621,0.01781915,-0.02387941,0.06656918,-0.11911968,-0.23180801,0.139702547096829
