"","Control","Control.1","Control.2","Disease","Disease.1","Disease.2","t_test_p_value"
"A0MZ66",0.2104704,0.1500479,0.349621,0.1853332,-0.3266268,-0.1099098,0.091030562617095
"A5YM72",0.2900964,0.5558553,0.4895474,0.2948929,-0.8526261,-0.1667579,0.204729378664426
"A6NCE7",0.03262778,0.12671737,0.06120747,-0.06377451,0.11824651,0.10985601,0.322910305355493
"A8MU93",-0.2063281,-0.5868956,-0.5170022,-0.5534595,-0.4775654,-0.6639799,0.877046555965432
"B7Z368",-0.3508735,-0.651346,-0.4719242,-0.9136596,-1.1424124,-1.0651911,0.0705702497192763
"O00116",-0.9500004,-1.3388331,-1.3581652,-0.8565953,-0.6996127,-0.896821,0.138790384901592
"O00154",0.6222351,0.5894065,0.5114328,0.6081955,0.6267859,0.4566348,0.800028968326095
"O00159",-0.1053501,-0.18833437,-0.75088559,-0.6266445,0.02580554,-0.25768148,0.16692664381693
"O00186",-1.0626965,-0.9932888,-0.9299814,-1.1295415,-1.3794406,-1.3527576,0.0229901154837531
"O00217",-1.3983377,-1.4967214,-1.5241567,-1.2663825,-0.9465415,-1.3000858,0.301297070354881
"O00429",-1.0966232,-1.1450867,-1.1187619,-1.0919629,-0.8277032,-0.9319148,0.113792057466389
"O00483",-0.31101752,-0.76223701,-0.2676523,-0.13283837,0.0128006,-0.08436101,0.202606492588369
"O00499",0.25152806,0.33747487,0.24581588,0.3074327,0.17691622,-0.05969377,0.280986598655208
"O00533",-1.346149,-1.283623,-1.586781,-1.471943,-1.3506,-1.419665,0.565877925191232
"O00560",-0.7010193,-0.5655211,-0.7127188,-0.6386747,-0.6470847,-0.7572665,0.453317976190657
"O00567",-0.3206355,-0.4147876,-0.3543759,-0.1725667,-0.9346833,-0.4036031,0.397731560762789
"O14531",0.6093044,0.8106321,0.8729803,0.6630772,0.3996431,0.5734019,0.108190242448623
"O14594",2.139728,2.152241,1.644631,1.812954,1.761571,1.218947,0.368651520551014
"O14617",0.2247499,0.3422094,-0.1095479,0.178349,0.3294729,0.2109161,0.43282218996982
"O14734",-0.4981731,-0.7056526,-0.7350993,-0.8755184,-0.4857936,-0.6848421,0.271042862867479
"O14745",-0.4690399,-0.5392736,-0.5496715,-0.6652857,-0.6346954,-0.7467648,0.262643416622005
"O14773",0.9692247,0.8704183,0.9323934,0.8775398,0.9933756,0.7079971,0.814857924885806
"O14818",2.029549,1.947539,1.952933,1.925393,1.953374,1.933385,0.92188125935979
"O14880",-0.13826337,-0.24887241,-0.32318685,-0.13943837,0.05163901,-0.14576067,0.262052448265654
"O14907",-0.08197727,0.01262483,0.1219572,-0.07212275,-0.37258254,-0.27457659,0.0209618018263397
"O14966",-0.2450271,-0.2562978,-0.1322755,-0.3055832,-0.4436906,-0.5065781,0.0282539320758798
"O14972",-0.9208384,-0.736534,-0.9741166,-0.7467794,-0.9974495,-1.1008923,0.0904832653772348
"O15075",-0.5469462,-1.3327981,-0.9963118,-0.7513284,-0.1792282,-0.3483665,0.0313065933213324
"O15083",-0.843316,-0.9787648,-0.8650354,-0.9966192,-0.622399,-0.8920928,0.379637861895327
"O15145",-0.7056412,-0.3442532,-0.4900087,-0.4869801,-0.4916329,-0.6489968,0.309409649747533
"O15230",0.4524865,0.6349092,0.4303811,1.2279782,0.8768897,0.5166434,0.835801982640021
"O15254",0.7216171,0.374986,0.5479594,0.5017042,0.6496126,0.4401753,0.626583509655127
"O15258",-0.049124142,-0.120272208,-0.093099587,0.12449333,0.002266816,0.028502007,0.621784941804039
"O15394",-0.4719978,-0.377434,-0.4617598,-0.3966019,-0.1742548,-0.4012202,0.465833910788769
"O15540",-1.4211392,-1.1921866,-1.0265968,-1.174241,-0.4158559,-0.3622183,0.00150624223846877
"O43149",-0.669224,-0.8562649,-0.6161042,-0.5594829,-0.3503557,-0.3305472,0.06420785541026
"O43175",0.6820433,0.6906626,0.884234,0.6961345,0.3289939,0.4829178,0.0589108958903503
"O43242",0.4563492,0.7053553,0.3641743,0.6400734,0.7701059,0.6695838,0.294353904324128
"O43301",0.7048068,0.7605959,0.701469,0.5865756,0.5972404,0.4751556,0.188820539684575
"O43390",0.6359815,0.1680018,0.3883145,0.3697993,0.3736254,0.3124725,0.689243177265063
"O43396",-0.5361537,-0.8955333,-0.4417818,-0.9321297,-0.2475791,-0.4676234,0.129713517491683
"O43426",0.056341223,-0.018599641,-0.145275831,-0.145598521,-0.123339906,0.009387868,0.621588206830804
"O43491",0.379106056,0.58820195,0.158093088,0.263299887,-0.001496596,-0.023925314,0.11323851150642
"O43615",-0.9617261,-1.1025983,-1.1469316,-1.0532011,-0.9747935,-0.7100661,0.291374351118832
"O43674",-0.4249524,-0.5608626,-0.6881256,-0.7806839,-0.646492,-0.515322,0.382491664564546
"O43681",-0.9995244,-0.9128763,-1.0121846,-1.0358723,-0.8664597,-1.0436918,0.783909475998478
"O43707",-0.36905863,-0.12898915,-0.37275286,-0.08469976,-0.37625125,-0.28103232,0.285304315912027
"O43759",-0.28535693,-0.33605132,-0.26926597,-0.11656675,-0.03544208,0.10543384,0.0785762580672298
"O43761",-0.143013077,-0.222224315,-0.167526072,-0.129580819,0.002634335,0.0190581,0.014773748909788
