"","Control","Control.1","Control.2","Control.3","Disease","Disease.1","Disease.2","Disease.3","Disease.4","Disease.5","Disease.6","Disease.7","Disease.8","Disease.9","Disease.10","Disease.11","Disease.12","Disease.13","Disease.14","Disease.15","Disease.16","Disease.17","Disease.18","Disease.19","Disease.20","Disease.21","Disease.22","Disease.23","Disease.24","Disease.25","Disease.26","Disease.27","Disease.28","Disease.29","Disease.30","Disease.31","Disease.32","Disease.33","Disease.34","Disease.35","Disease.36","Disease.37","Disease.38","t_test_p_value"
"A0A0B4J1X5",-1.84179455,-1.60226135,-1.6716325,-0.51987695,-1.56932533,0.13476672,0.25544388,-1.46935401,-1.53204272,-1.72587193,0.02180923,-0.24059012,0.08285676,0.07329055,-0.37103899,-1.68567843,0.41936412,-0.68389918,-1.52640615,-1.47046645,-1.75626353,-1.59803171,0.07795099,-1.77632594,-0.23677126,-0.06470598,-0.70529195,0.06363446,-0.61206348,-0.46689722,-1.61897816,-1.44977683,-1.45278065,-1.44566166,-1.32396039,-1.5953902,0.10231012,0.18666708,-1.59958621,0.48898716,0.18624942,-1.7121337,-0.40218342,0.115125695846304
"A0AVT1",-0.02807777,-1.11935446,-0.57846522,0.02701978,-1.81744518,-1.28020072,0.43732423,-1.7174739,-1.78016259,-0.29499772,0.15496573,0.49850119,-0.20112258,-0.44522777,-1.98153715,-1.93379821,-0.4698166,-0.22961562,0.15569083,-0.45946275,-2.00438324,0.4709208,-0.0268984,0.14943323,0.18972545,-0.09062236,-0.1106758,0.03517109,-0.56191961,0.06391636,-0.30276791,1.62951575,-0.3480327,-1.69378155,-1.57208031,-1.01513519,-1.96904949,-1.92972604,-0.2597101,-0.45275743,0.06654853,0.24299446,-0.49717977,0.441636653176209
"A0FGR8",-1.988381,-1.7488479,-1.8182191,-1.7693854,-1.7159119,-1.8776372,-1.5165943,-1.6159406,-1.6786293,-1.8724585,-1.781548,-1.4414107,-1.6768127,-1.9803283,-1.8800039,-1.832265,-1.747441,-1.8358574,-1.6729927,-1.6170531,-1.90285,-1.7446183,-1.9169171,-1.9229124,-1.6903512,-0.9102626,-0.8518786,-1.6655363,-0.972012,-0.6515845,-1.7655647,-1.5963634,-1.5993673,-1.5922483,-1.470547,-1.7419768,-1.8675163,-1.8281928,-0.8866523,-1.8676657,-1.7824535,-0.3807699,-1.838742,0.0137801974573342
"A0MZ66",-2.19480168,-0.07330679,0.12952986,-1.97580638,-1.92233296,-2.08405809,0.53563481,0.18079903,-1.88505038,-2.07887934,-1.98796898,0.88891725,-1.88323375,-2.18674894,-2.08642482,-2.03868592,-1.953862,-2.04227831,-1.87941381,0.56269003,-2.10927088,-1.95103931,-0.47403373,-2.12933325,-1.8967723,-0.4177138,0.44322459,0.01164732,-0.43353386,-2.17080953,-1.97198574,-1.80278454,-1.80578836,-1.79866937,-1.67696815,-1.9483978,-2.07393717,-2.03461375,-1.95259381,-2.07408663,-0.48580344,-2.06514115,-0.44336043,0.505994708385229
"A1L0T0",0.005174921,-1.178862763,-0.710551876,-0.151727399,-0.843194788,-0.480298323,-0.436116704,-1.744925304,0.041343346,-0.933148229,0.541378663,-1.570395377,-1.086576592,-0.201458059,-0.192641478,0.194074489,-0.389275979,-0.273433611,-0.326155756,-0.193780527,-2.031834602,-0.024923952,-0.257233435,-0.056631242,-0.375794289,-1.039247345,-0.980863316,-0.361164137,-0.22648205,-0.639228709,0.254139417,-0.189335422,-0.565319018,-1.001637248,-0.326799973,-0.252505034,-0.092966589,-1.957177416,0.152662506,-0.339342573,-0.2606174,0.031830418,-0.325954124,0.343028063742789
"A1X283",0.684471081,-0.51746906,-1.402654219,0.220126092,0.025025759,0.996443945,0.001004943,-0.068710095,-1.26306441,-1.456893656,0.0827801,-1.025845713,0.67485587,1.069917655,-0.381960653,0.705207373,0.947494036,0.302154071,0.070483389,0.169688658,-0.388255971,0.636957891,0.270711652,0.37671847,0.515007835,0.204272364,-0.436313611,0.251980922,0.369939097,0.193526909,-0.023942387,0.501454593,-1.183802333,-0.042548,-1.054982061,0.58930272,0.082927112,-0.255244685,0.327058253,0.976630966,0.53500409,0.289905516,0.556872259,0.244699162430747
"A2NJV5",0.212993981,-0.242029918,-0.038076374,0.496646123,0.496327879,1.093398129,1.050773204,0.26641738,-1.217868032,-1.411697282,0.390422991,0.759201658,0.78466308,0.808617612,0.278237278,-1.371503775,0.972258612,-0.002661176,0.19794829,0.602458976,-1.442088894,0.332343411,0.649367313,0.176485833,0.395787996,0.249468743,0.511280957,0.51166819,0.059148694,0.473890053,0.33986096,0.952014112,-1.138605955,0.256987808,0.758594893,0.278752813,0.273770444,0.38026238,-1.285411538,1.215003276,0.645604903,-1.397959055,0.345475756,0.997343761482202
"A5YM72",-2.91423373,-2.67471629,-2.7440845,-2.69525297,-2.64178137,-0.51475252,-0.05171463,-2.54181253,-2.60449982,-2.79832086,-2.70741509,0.88944478,-0.41837122,-2.90618183,-2.80586586,-2.7581297,-2.67330939,-2.76172191,-2.5988634,-0.1800309,-2.82871039,-2.6704868,-2.84277635,-2.84877126,-2.61622144,-1.13716874,-0.08013845,-2.5914071,-1.1186792,-2.89024398,-2.69143247,-2.52223571,-0.22510616,-2.51812062,-2.39642098,-2.66784538,-2.79337899,-2.75405774,-2.67204125,-2.79352844,-2.70832059,-2.78458349,-2.76460638,0.00342096414526545
"A6NCS6",-2.596711853,-2.357182219,-0.291440996,-0.182823397,-0.522527426,0.263987603,-0.15969898,-0.722704628,-2.286964078,0.004301619,0.145783004,-2.049746252,-0.439603814,0.118719235,-0.049811043,0.172496142,0.207945213,-0.10490202,-2.281327543,-2.225388127,0.089614278,-0.422137104,-0.80316597,-0.447913983,-2.298685935,-0.819628613,-1.46021456,-0.768233566,0.023095898,-0.280737191,-0.029698311,0.210660639,0.045939001,-0.433242184,-0.122459951,-2.350311121,-2.475849324,-0.434443564,0.058784381,-0.155302416,-0.634728539,-2.467053406,-0.175544542,0.772966233443162
"A6NE02",-2.1709575,-1.9314247,-2.0007958,-1.2529924,-1.8984887,-2.0602139,-1.6991712,-1.7985175,-1.8612061,-2.0550351,-1.9641247,-1.6239876,-1.8593895,-2.1629048,-2.0625806,-2.0148417,-1.9300178,-2.0184341,-1.8555696,-0.5277626,-2.0854267,-1.9271951,-2.0994937,-2.1054891,-1.8729281,-1.0928395,-1.0344555,-1.8481131,-1.8535588,-2.1469653,-1.9481415,-1.7789403,-1.7819441,-1.7748251,-1.6531239,-1.9245536,-2.050093,-2.0107695,-1.9287496,-2.0502424,-1.9650303,-0.9383481,-2.0213187,0.780111362848972
