"","Control","Control.1","Control.2","Control.3","Control.4","Control.5","Control.6","Control.7","Disease","Disease.1","Disease.2","Disease.3","Disease.4","Disease.5","Disease.6","Disease.7","X","t_test_p_value"
"A0A0C4DH25",-1.0761586,-0.4348028,-0.9595164,-1.025746,-1.0567953,-1.0355096,-0.9132753,-1.389646,-0.4110154,-0.8069974,-0.725628,-0.5867214,-0.8742558,-0.986267,-0.7404106,-0.7551428,NA,0.603459506146253
"A0A0U1RRL7",-1.0159043,-0.6592318,-0.8544569,-0.6677959,-1.0020238,-1.0806478,-0.8858549,-0.7622122,-1.269271,-1.2609829,-0.53701,-1.6614398,-1.2161872,-1.3610606,-1.4885281,-0.67001,NA,0.393317148042957
"A0AVT1",0.41739166,0.43486232,0.52801891,0.10109937,0.28496142,0.01832625,0.16477152,0.06954364,0.04468818,0.30851027,0.20936986,0.07074149,-0.16425173,0.33446151,0.22050918,0.16178463,NA,0.704703940400327
"A0FGR8",0.22889006,0.16601788,0.15883829,0.18422908,0.11588105,0.21280111,0.06702933,0.1867064,0.35368785,0.33369563,0.39640282,0.32515478,0.46164821,0.19884589,0.32441772,0.39709315,NA,0.144217528628384
"A0MZ66",0.55283494,0.84326458,0.87735259,0.42275339,0.5880928,0.4662273,0.37043154,0.3127299,0.19587454,0.22727856,0.2417761,-0.03300351,0.28360473,0.28346466,0.16698046,0.34400755,NA,0.0384720215624639
"A1A5C7",-0.6713545,-0.5770175,-0.5719165,-0.3391909,-0.5462799,-0.4593216,-0.6804921,-0.4902943,-1.028004,-1.0083341,-0.9701675,-1.4522992,-1.1395292,-1.36169,-1.6204183,-1.0042274,NA,0.0374898316585911
"A1L0T0",0.16060201,-0.18025342,0.14514415,0.06468011,-0.04996954,0.17988357,0.06403082,0.09363689,0.13814222,0.38658106,0.20798873,0.3549688,0.15063263,0.17099177,0.21452019,0.10986886,NA,0.0688604832751214
"A2RTX5",-0.1254429,-0.7948642,-0.2045601,-0.5420016,-0.4400812,-0.6410959,-0.7795432,-0.5384015,-0.6538551,-0.9277971,-1.0394635,-0.5820447,-1.4024078,-0.4604527,-0.8511231,-1.0016603,NA,0.349382722216699
"A3KMH1",-1.0141075,-1.2907114,-1.8229489,-1.2554059,-1.5194257,-1.4214032,-1.3723025,-0.8948675,-0.8423264,-1.0618555,-0.7920804,-0.7463808,-1.0460407,-0.9102373,-0.9406641,-1.0876918,NA,0.0304255322655228
"A4D1P6",0.2932462,-0.1556692,-0.5389745,-0.5921639,-0.5735401,-0.7269482,-0.6391877,-0.787923,-0.7633507,-0.6336641,-0.7457708,-0.7484736,-1.0327284,-2.1694312,-0.8809484,-1.6130454,NA,0.119440081447635
